,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Houston,0.00%,0.00%,0.00%,0.00%,0.00%,2.75%,2022-09-20,/nfl/stat/pass-intercepted-pct
1,1,Kansas City,0.00%,0.00%,0.00%,0.00%,0.00%,2.01%,2022-09-20,/nfl/stat/pass-intercepted-pct
2,3,NY Jets,0.96%,0.96%,0.00%,1.69%,0.00%,3.32%,2022-09-20,/nfl/stat/pass-intercepted-pct
3,4,Arizona,1.15%,1.15%,2.04%,0.00%,2.04%,2.08%,2022-09-20,/nfl/stat/pass-intercepted-pct
4,5,LA Chargers,1.22%,1.22%,2.08%,0.00%,2.08%,2.23%,2022-09-20,/nfl/stat/pass-intercepted-pct
5,6,Dallas,1.37%,1.37%,0.00%,1.37%,0,1.74%,2022-09-20,/nfl/stat/pass-intercepted-pct
6,6,Denver,1.37%,1.37%,3.23%,3.23%,0.00%,1.66%,2022-09-20,/nfl/stat/pass-intercepted-pct
7,8,Jacksonville,1.39%,1.39%,0.00%,0.00%,2.38%,2.81%,2022-09-20,/nfl/stat/pass-intercepted-pct
8,9,Pittsburgh,1.41%,1.41%,3.03%,3.03%,0.00%,1.55%,2022-09-20,/nfl/stat/pass-intercepted-pct
9,9,Detroit,1.41%,1.41%,0.00%,1.41%,0,2.36%,2022-09-20,/nfl/stat/pass-intercepted-pct
10,11,Green Bay,1.56%,1.56%,0.00%,0.00%,2.56%,1.13%,2022-09-20,/nfl/stat/pass-intercepted-pct
11,12,Philadelphia,1.59%,1.59%,3.23%,3.23%,0.00%,2.23%,2022-09-20,/nfl/stat/pass-intercepted-pct
12,13,Cleveland,1.64%,1.64%,3.70%,3.70%,0.00%,2.69%,2022-09-20,/nfl/stat/pass-intercepted-pct
13,13,Tampa Bay,1.64%,1.64%,0.00%,0,1.64%,1.58%,2022-09-20,/nfl/stat/pass-intercepted-pct
14,15,Baltimore,1.69%,1.69%,0.00%,0.00%,3.33%,2.95%,2022-09-20,/nfl/stat/pass-intercepted-pct
15,16,Carolina,1.79%,1.79%,0.00%,3.70%,0.00%,3.51%,2022-09-20,/nfl/stat/pass-intercepted-pct
16,17,NY Giants,1.82%,1.82%,0.00%,0.00%,4.76%,3.37%,2022-09-20,/nfl/stat/pass-intercepted-pct
17,18,San Francisco,1.92%,1.92%,0.00%,0.00%,3.57%,2.89%,2022-09-20,/nfl/stat/pass-intercepted-pct
18,19,Miami,2.41%,2.41%,4.00%,0.00%,4.00%,2.28%,2022-09-20,/nfl/stat/pass-intercepted-pct
19,20,Buffalo,2.82%,2.82%,0.00%,0.00%,6.45%,2.23%,2022-09-20,/nfl/stat/pass-intercepted-pct
20,21,New England,3.08%,3.08%,2.86%,0,3.08%,2.62%,2022-09-20,/nfl/stat/pass-intercepted-pct
21,22,Atlanta,3.39%,3.39%,7.69%,0.00%,7.69%,2.62%,2022-09-20,/nfl/stat/pass-intercepted-pct
22,22,Seattle,3.39%,3.39%,6.45%,0.00%,6.45%,1.41%,2022-09-20,/nfl/stat/pass-intercepted-pct
23,24,Washington,3.45%,3.45%,2.17%,4.88%,2.17%,2.73%,2022-09-20,/nfl/stat/pass-intercepted-pct
24,25,Tennessee,3.51%,3.51%,8.33%,0.00%,8.33%,3.04%,2022-09-20,/nfl/stat/pass-intercepted-pct
25,26,Minnesota,3.85%,3.85%,6.52%,0.00%,6.52%,1.16%,2022-09-20,/nfl/stat/pass-intercepted-pct
26,27,Las Vegas,3.95%,3.95%,0.00%,0.00%,8.11%,2.20%,2022-09-20,/nfl/stat/pass-intercepted-pct
27,28,New Orleans,4.05%,4.05%,7.50%,7.50%,0.00%,2.58%,2022-09-20,/nfl/stat/pass-intercepted-pct
28,29,Cincinnati,4.49%,4.49%,0.00%,7.55%,0.00%,2.29%,2022-09-20,/nfl/stat/pass-intercepted-pct
29,30,Indianapolis,5.00%,5.00%,10.00%,0,5.00%,1.54%,2022-09-20,/nfl/stat/pass-intercepted-pct
30,31,LA Rams,6.49%,6.49%,5.56%,6.49%,0,2.80%,2022-09-20,/nfl/stat/pass-intercepted-pct
31,32,Chicago,7.14%,7.14%,9.09%,5.88%,9.09%,3.69%,2022-09-20,/nfl/stat/pass-intercepted-pct
