,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Las Vegas,81.58%,81.58%,70.00%,70.00%,94.44%,62.37%,2022-09-20,/nfl/stat/passing-first-down-pct
1,2,Miami,77.78%,77.78%,81.48%,72.22%,81.48%,63.38%,2022-09-20,/nfl/stat/passing-first-down-pct
2,3,NY Jets,77.27%,77.27%,80.00%,75.00%,80.00%,62.90%,2022-09-20,/nfl/stat/passing-first-down-pct
3,4,Minnesota,71.79%,71.79%,80.00%,63.16%,80.00%,60.84%,2022-09-20,/nfl/stat/passing-first-down-pct
4,5,LA Rams,69.77%,69.77%,66.67%,69.77%,0,66.67%,2022-09-20,/nfl/stat/passing-first-down-pct
5,6,LA Chargers,69.23%,69.23%,71.43%,66.67%,71.43%,63.84%,2022-09-20,/nfl/stat/passing-first-down-pct
6,7,Kansas City,68.75%,68.75%,73.33%,73.33%,66.67%,64.93%,2022-09-20,/nfl/stat/passing-first-down-pct
7,8,Cincinnati,68.63%,68.63%,68.42%,68.75%,68.42%,62.99%,2022-09-20,/nfl/stat/passing-first-down-pct
8,9,Washington,65.96%,65.96%,71.43%,61.54%,71.43%,52.46%,2022-09-20,/nfl/stat/passing-first-down-pct
9,10,Pittsburgh,65.52%,65.52%,68.75%,68.75%,61.54%,64.04%,2022-09-20,/nfl/stat/passing-first-down-pct
10,11,Indianapolis,61.90%,61.90%,66.67%,0,61.90%,47.18%,2022-09-20,/nfl/stat/passing-first-down-pct
11,12,Dallas,61.29%,61.29%,57.89%,61.29%,0,63.41%,2022-09-20,/nfl/stat/passing-first-down-pct
12,12,Tennessee,61.29%,61.29%,50.00%,68.42%,50.00%,53.70%,2022-09-20,/nfl/stat/passing-first-down-pct
13,14,Buffalo,60.87%,60.87%,56.52%,56.52%,65.22%,58.44%,2022-09-20,/nfl/stat/passing-first-down-pct
14,15,Detroit,60.00%,60.00%,70.59%,60.00%,0,58.66%,2022-09-20,/nfl/stat/passing-first-down-pct
15,15,Jacksonville,60.00%,60.00%,66.67%,66.67%,54.17%,58.55%,2022-09-20,/nfl/stat/passing-first-down-pct
16,15,Denver,60.00%,60.00%,55.00%,55.00%,65.00%,54.08%,2022-09-20,/nfl/stat/passing-first-down-pct
17,18,New Orleans,58.33%,58.33%,50.00%,50.00%,66.67%,53.75%,2022-09-20,/nfl/stat/passing-first-down-pct
18,18,Baltimore,58.33%,58.33%,56.52%,56.52%,61.54%,53.05%,2022-09-20,/nfl/stat/passing-first-down-pct
19,20,Seattle,57.58%,57.58%,71.43%,47.37%,71.43%,54.97%,2022-09-20,/nfl/stat/passing-first-down-pct
20,21,New England,57.14%,57.14%,55.56%,0,57.14%,52.36%,2022-09-20,/nfl/stat/passing-first-down-pct
21,22,Tampa Bay,54.84%,54.84%,61.54%,0,54.84%,67.34%,2022-09-20,/nfl/stat/passing-first-down-pct
22,23,Arizona,54.35%,54.35%,46.43%,66.67%,46.43%,58.01%,2022-09-20,/nfl/stat/passing-first-down-pct
23,24,Houston,51.43%,51.43%,40.00%,60.00%,40.00%,60.90%,2022-09-20,/nfl/stat/passing-first-down-pct
24,25,Green Bay,48.94%,48.94%,38.46%,38.46%,61.90%,62.47%,2022-09-20,/nfl/stat/passing-first-down-pct
25,26,Philadelphia,48.08%,48.08%,52.00%,52.00%,44.44%,48.36%,2022-09-20,/nfl/stat/passing-first-down-pct
26,27,Atlanta,44.19%,44.19%,64.71%,30.77%,64.71%,64.05%,2022-09-20,/nfl/stat/passing-first-down-pct
27,28,Carolina,42.42%,42.42%,38.89%,46.67%,38.89%,54.04%,2022-09-20,/nfl/stat/passing-first-down-pct
28,29,Cleveland,42.31%,42.31%,51.72%,51.72%,30.43%,51.75%,2022-09-20,/nfl/stat/passing-first-down-pct
29,30,NY Giants,40.54%,40.54%,44.44%,44.44%,36.84%,57.19%,2022-09-20,/nfl/stat/passing-first-down-pct
30,31,San Francisco,30.95%,30.95%,32.00%,32.00%,29.41%,56.10%,2022-09-20,/nfl/stat/passing-first-down-pct
31,32,Chicago,23.08%,23.08%,18.18%,26.67%,18.18%,54.05%,2022-09-20,/nfl/stat/passing-first-down-pct
