,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Kansas City,3.0,2.7,4.0,3.0,3.0,2.5,2022-10-11,/nfl/stat/passing-touchdowns-per-game
1,2,Buffalo,2.8,2.3,4.0,4.0,2.0,2.4,2022-10-11,/nfl/stat/passing-touchdowns-per-game
2,3,Baltimore,2.4,2.0,1.0,1.7,3.5,1.2,2022-10-11,/nfl/stat/passing-touchdowns-per-game
3,4,Detroit,2.2,1.7,0.0,3.3,0.5,1.4,2022-10-11,/nfl/stat/passing-touchdowns-per-game
4,5,Washington,2.0,1.0,2.0,2.0,2.0,1.2,2022-10-11,/nfl/stat/passing-touchdowns-per-game
5,5,LA Chargers,2.0,1.3,1.0,2.0,2.0,2.2,2022-10-11,/nfl/stat/passing-touchdowns-per-game
6,7,Miami,1.8,0.7,0.0,1.0,2.3,1.2,2022-10-11,/nfl/stat/passing-touchdowns-per-game
7,7,Cincinnati,1.8,2.0,1.0,2.0,1.7,2.0,2022-10-11,/nfl/stat/passing-touchdowns-per-game
8,7,Seattle,1.8,2.3,3.0,2.0,1.7,1.8,2022-10-11,/nfl/stat/passing-touchdowns-per-game
9,10,Las Vegas,1.6,1.3,2.0,1.0,2.0,1.3,2022-10-11,/nfl/stat/passing-touchdowns-per-game
10,10,Jacksonville,1.6,1.7,0.0,1.0,2.0,0.7,2022-10-11,/nfl/stat/passing-touchdowns-per-game
11,10,Green Bay,1.6,2.0,2.0,2.0,1.3,2.2,2022-10-11,/nfl/stat/passing-touchdowns-per-game
12,13,New Orleans,1.4,1.3,2.0,1.5,1.3,1.7,2022-10-11,/nfl/stat/passing-touchdowns-per-game
13,13,NY Jets,1.4,0.7,0.0,0.3,3.0,1.2,2022-10-11,/nfl/stat/passing-touchdowns-per-game
14,13,Tampa Bay,1.4,1.7,1.0,1.7,1.0,2.4,2022-10-11,/nfl/stat/passing-touchdowns-per-game
15,13,Minnesota,1.4,1.3,1.0,1.7,1.0,2.0,2022-10-11,/nfl/stat/passing-touchdowns-per-game
16,17,Tennessee,1.2,1.3,1.0,1.5,1.0,1.3,2022-10-11,/nfl/stat/passing-touchdowns-per-game
17,17,Arizona,1.2,1.0,1.0,1.0,1.5,1.5,2022-10-11,/nfl/stat/passing-touchdowns-per-game
18,19,San Francisco,1.0,1.3,2.0,1.0,1.0,1.4,2022-10-11,/nfl/stat/passing-touchdowns-per-game
19,19,Cleveland,1.0,1.0,1.0,1.3,0.5,1.2,2022-10-11,/nfl/stat/passing-touchdowns-per-game
20,19,Houston,1.0,1.0,0.0,2.0,0.3,1.2,2022-10-11,/nfl/stat/passing-touchdowns-per-game
21,19,LA Rams,1.0,0.3,1.0,1.7,0.0,2.4,2022-10-11,/nfl/stat/passing-touchdowns-per-game
22,19,Indianapolis,1.0,1.3,0.0,2.0,0.3,1.6,2022-10-11,/nfl/stat/passing-touchdowns-per-game
23,24,Dallas,0.8,1.0,0.0,1.0,0.5,2.3,2022-10-11,/nfl/stat/passing-touchdowns-per-game
24,24,Atlanta,0.8,0.7,1.0,0.0,1.3,1.2,2022-10-11,/nfl/stat/passing-touchdowns-per-game
25,24,New England,0.8,0.7,1.0,0.5,1.0,1.4,2022-10-11,/nfl/stat/passing-touchdowns-per-game
26,24,Denver,0.8,0.7,0.0,0.3,1.5,1.2,2022-10-11,/nfl/stat/passing-touchdowns-per-game
27,24,Carolina,0.8,0.7,0.0,0.8,1.0,0.8,2022-10-11,/nfl/stat/passing-touchdowns-per-game
28,24,Philadelphia,0.8,1.0,0.0,0.5,1.0,1.2,2022-10-11,/nfl/stat/passing-touchdowns-per-game
29,30,Chicago,0.6,0.3,1.0,1.0,0.3,0.9,2022-10-11,/nfl/stat/passing-touchdowns-per-game
30,30,NY Giants,0.6,0.0,0.0,0.3,1.0,0.9,2022-10-11,/nfl/stat/passing-touchdowns-per-game
31,32,Pittsburgh,0.4,0.0,0.0,0.5,0.3,1.4,2022-10-11,/nfl/stat/passing-touchdowns-per-game
