,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Kansas City,311.8,386.0,422.0,308.0,315.5,288.5,2022-11-09,/nfl/stat/passing-yards-per-game
1,2,Miami,293.6,310.7,302.0,264.8,316.6,214.8,2022-11-09,/nfl/stat/passing-yards-per-game
2,3,Buffalo,292.1,239.0,183.0,320.3,275.2,258.2,2022-11-09,/nfl/stat/passing-yards-per-game
3,4,LA Chargers,275.1,248.3,245.0,266.3,284.0,282.4,2022-11-09,/nfl/stat/passing-yards-per-game
4,5,Tampa Bay,271.1,284.3,272.0,310.4,222.0,304.2,2022-11-09,/nfl/stat/passing-yards-per-game
5,6,Cincinnati,263.0,291.7,223.0,321.3,216.4,256.0,2022-11-09,/nfl/stat/passing-yards-per-game
6,7,New Orleans,253.1,270.3,231.0,203.3,303.0,187.4,2022-11-09,/nfl/stat/passing-yards-per-game
7,8,Detroit,243.1,214.3,137.0,252.4,227.7,211.6,2022-11-09,/nfl/stat/passing-yards-per-game
8,9,Philadelphia,242.3,213.0,217.0,234.0,250.5,202.7,2022-11-09,/nfl/stat/passing-yards-per-game
9,10,Minnesota,238.1,203.0,245.0,259.8,216.5,249.3,2022-11-09,/nfl/stat/passing-yards-per-game
10,11,San Francisco,237.1,298.7,257.0,255.3,226.2,236.6,2022-11-09,/nfl/stat/passing-yards-per-game
11,12,Indianapolis,228.4,153.0,43.0,270.5,194.8,197.7,2022-11-09,/nfl/stat/passing-yards-per-game
12,13,Las Vegas,228.1,209.7,248.0,217.7,234.4,269.4,2022-11-09,/nfl/stat/passing-yards-per-game
13,14,Seattle,226.0,214.7,263.0,208.8,239.8,201.9,2022-11-09,/nfl/stat/passing-yards-per-game
14,15,Green Bay,224.7,222.3,283.0,224.3,224.8,250.6,2022-11-09,/nfl/stat/passing-yards-per-game
15,16,Cleveland,221.1,249.7,268.0,236.4,195.7,195.3,2022-11-09,/nfl/stat/passing-yards-per-game
16,17,Jacksonville,220.7,219.7,235.0,266.5,184.0,202.1,2022-11-09,/nfl/stat/passing-yards-per-game
17,17,Arizona,220.7,208.7,140.0,208.4,236.0,244.3,2022-11-09,/nfl/stat/passing-yards-per-game
18,19,Denver,220.5,203.0,230.0,207.5,233.5,211.4,2022-11-09,/nfl/stat/passing-yards-per-game
19,20,NY Jets,219.0,192.3,136.0,241.6,190.8,208.3,2022-11-09,/nfl/stat/passing-yards-per-game
20,21,LA Rams,217.6,184.7,138.0,232.8,192.3,277.5,2022-11-09,/nfl/stat/passing-yards-per-game
21,22,Washington,215.4,196.7,126.0,224.8,203.8,202.4,2022-11-09,/nfl/stat/passing-yards-per-game
22,23,Pittsburgh,204.1,199.0,158.0,174.3,222.0,221.1,2022-11-09,/nfl/stat/passing-yards-per-game
23,24,New England,202.7,161.3,133.0,203.3,202.2,226.3,2022-11-09,/nfl/stat/passing-yards-per-game
24,25,Baltimore,193.8,170.3,222.0,179.0,208.5,233.0,2022-11-09,/nfl/stat/passing-yards-per-game
25,26,Dallas,190.6,204.7,242.0,210.6,157.3,279.4,2022-11-09,/nfl/stat/passing-yards-per-game
26,27,Houston,188.6,183.0,135.0,172.5,204.8,194.4,2022-11-09,/nfl/stat/passing-yards-per-game
27,28,Carolina,184.6,214.3,164.0,189.8,178.0,190.5,2022-11-09,/nfl/stat/passing-yards-per-game
28,29,NY Giants,159.1,167.3,147.0,139.3,179.0,188.0,2022-11-09,/nfl/stat/passing-yards-per-game
29,30,Atlanta,157.2,153.3,114.0,164.0,148.8,218.4,2022-11-09,/nfl/stat/passing-yards-per-game
30,31,Tennessee,136.3,71.0,57.0,211.3,91.2,201.7,2022-11-09,/nfl/stat/passing-yards-per-game
31,32,Chicago,125.7,131.3,116.0,114.3,134.8,188.6,2022-11-09,/nfl/stat/passing-yards-per-game
