,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Baltimore,2.7,2.7,2.0,1.0,3.5,6.0,2022-09-27,/nfl/stat/penalties-per-game
1,2,Minnesota,3.7,3.7,3.0,3.0,5.0,6.5,2022-09-27,/nfl/stat/penalties-per-game
2,3,Washington,4.0,4.0,4.0,5.0,2.0,4.8,2022-09-27,/nfl/stat/penalties-per-game
3,4,New England,4.3,4.3,3.0,3.0,5.0,5.6,2022-09-27,/nfl/stat/penalties-per-game
4,4,LA Rams,4.3,4.3,6.0,3.5,6.0,4.3,2022-09-27,/nfl/stat/penalties-per-game
5,4,Green Bay,4.3,4.3,8.0,3.0,5.0,4.1,2022-09-27,/nfl/stat/penalties-per-game
6,7,Atlanta,5.0,5.0,2.0,8.0,3.5,5.4,2022-09-27,/nfl/stat/penalties-per-game
7,7,Detroit,5.0,5.0,7.0,4.0,7.0,6.2,2022-09-27,/nfl/stat/penalties-per-game
8,7,Kansas City,5.0,5.0,6.0,6.0,4.5,5.9,2022-09-27,/nfl/stat/penalties-per-game
9,7,LA Chargers,5.0,5.0,7.0,6.0,3.0,6.8,2022-09-27,/nfl/stat/penalties-per-game
10,11,Pittsburgh,5.3,5.3,5.0,3.0,6.5,6.1,2022-09-27,/nfl/stat/penalties-per-game
11,11,Chicago,5.3,5.3,6.0,4.5,7.0,6.2,2022-09-27,/nfl/stat/penalties-per-game
12,11,Miami,5.3,5.3,4.0,4.0,8.0,6.2,2022-09-27,/nfl/stat/penalties-per-game
13,11,Cincinnati,5.3,5.3,5.0,4.0,6.0,4.4,2022-09-27,/nfl/stat/penalties-per-game
14,11,Indianapolis,5.3,5.3,4.0,4.0,6.0,4.5,2022-09-27,/nfl/stat/penalties-per-game
15,16,Houston,5.7,5.7,3.0,6.0,5.5,6.7,2022-09-27,/nfl/stat/penalties-per-game
16,16,Carolina,5.7,5.7,4.0,6.0,5.0,6.3,2022-09-27,/nfl/stat/penalties-per-game
17,18,Jacksonville,6.0,6.0,2.0,3.0,7.5,6.1,2022-09-27,/nfl/stat/penalties-per-game
18,18,NY Jets,6.0,6.0,4.0,5.0,8.0,6.1,2022-09-27,/nfl/stat/penalties-per-game
19,20,Las Vegas,6.3,6.3,6.0,10.0,4.5,7.3,2022-09-27,/nfl/stat/penalties-per-game
20,20,Cleveland,6.3,6.3,5.0,5.0,9.0,6.6,2022-09-27,/nfl/stat/penalties-per-game
21,20,Tampa Bay,6.3,6.3,6.0,6.0,6.5,5.5,2022-09-27,/nfl/stat/penalties-per-game
22,23,San Francisco,6.7,6.7,7.0,1.0,9.5,6.1,2022-09-27,/nfl/stat/penalties-per-game
23,23,Buffalo,6.7,6.7,7.0,8.0,6.0,6.3,2022-09-27,/nfl/stat/penalties-per-game
24,25,Seattle,7.0,7.0,6.0,5.5,10.0,5.7,2022-09-27,/nfl/stat/penalties-per-game
25,26,Dallas,7.7,7.7,8.0,7.5,8.0,7.8,2022-09-27,/nfl/stat/penalties-per-game
26,26,Tennessee,7.7,7.7,7.0,7.0,9.0,5.8,2022-09-27,/nfl/stat/penalties-per-game
27,26,Arizona,7.7,7.7,6.0,5.5,12.0,6.7,2022-09-27,/nfl/stat/penalties-per-game
28,26,Philadelphia,7.7,7.7,5.0,8.0,7.5,6.2,2022-09-27,/nfl/stat/penalties-per-game
29,30,New Orleans,8.0,8.0,7.0,9.0,7.5,5.8,2022-09-27,/nfl/stat/penalties-per-game
30,30,NY Giants,8.0,8.0,8.0,8.0,8.0,5.2,2022-09-27,/nfl/stat/penalties-per-game
31,32,Denver,10.0,10.0,5.0,9.0,12.0,4.9,2022-09-27,/nfl/stat/penalties-per-game
