,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Atlanta,31.7,23.3,20.0,33.7,29.7,44.3,2022-11-29,/nfl/stat/penalty-yards-per-game
1,2,Cincinnati,36.2,53.0,80.0,38.3,35.0,37.3,2022-11-29,/nfl/stat/penalty-yards-per-game
2,3,LA Rams,37.9,36.3,25.0,40.7,34.6,35.7,2022-11-29,/nfl/stat/penalty-yards-per-game
3,4,Houston,39.5,33.3,45.0,38.2,40.5,57.5,2022-11-29,/nfl/stat/penalty-yards-per-game
4,5,LA Chargers,40.2,20.0,30.0,51.8,30.5,60.8,2022-11-29,/nfl/stat/penalty-yards-per-game
5,6,Minnesota,41.5,47.7,20.0,45.0,37.2,61.4,2022-11-29,/nfl/stat/penalty-yards-per-game
6,7,Jacksonville,42.1,26.3,19.0,39.4,44.3,50.4,2022-11-29,/nfl/stat/penalty-yards-per-game
7,8,Indianapolis,43.5,45.0,20.0,45.2,41.8,40.5,2022-11-29,/nfl/stat/penalty-yards-per-game
8,9,Philadelphia,43.5,51.7,25.0,41.7,45.8,49.3,2022-11-29,/nfl/stat/penalty-yards-per-game
9,10,Buffalo,44.0,63.0,36.0,44.0,44.0,54.8,2022-11-29,/nfl/stat/penalty-yards-per-game
10,11,Pittsburgh,44.3,43.0,19.0,46.0,42.8,48.7,2022-11-29,/nfl/stat/penalty-yards-per-game
11,12,Green Bay,45.2,38.3,35.0,37.4,50.7,39.1,2022-11-29,/nfl/stat/penalty-yards-per-game
12,13,San Francisco,45.8,48.7,64.0,49.4,42.8,60.9,2022-11-29,/nfl/stat/penalty-yards-per-game
13,14,Detroit,46.6,30.7,32.0,42.2,52.0,48.5,2022-11-29,/nfl/stat/penalty-yards-per-game
14,15,Kansas City,47.1,26.3,25.0,46.3,48.0,48.6,2022-11-29,/nfl/stat/penalty-yards-per-game
15,16,Tampa Bay,47.5,55.0,70.0,43.0,51.3,51.1,2022-11-29,/nfl/stat/penalty-yards-per-game
16,17,New England,48.0,48.3,55.0,36.4,57.7,49.3,2022-11-29,/nfl/stat/penalty-yards-per-game
17,18,Chicago,48.1,50.7,10.0,55.2,43.0,53.8,2022-11-29,/nfl/stat/penalty-yards-per-game
18,19,Miami,48.4,38.7,35.0,40.8,57.4,48.5,2022-11-29,/nfl/stat/penalty-yards-per-game
19,20,Baltimore,48.5,48.0,20.0,53.8,44.2,50.1,2022-11-29,/nfl/stat/penalty-yards-per-game
20,21,Cleveland,49.9,45.3,42.0,48.0,52.2,60.9,2022-11-29,/nfl/stat/penalty-yards-per-game
21,22,Tennessee,51.6,45.3,57.0,53.4,50.2,54.9,2022-11-29,/nfl/stat/penalty-yards-per-game
22,23,Washington,52.1,40.7,28.0,48.3,55.8,43.7,2022-11-29,/nfl/stat/penalty-yards-per-game
23,24,NY Giants,52.7,51.0,66.0,47.7,58.8,39.6,2022-11-29,/nfl/stat/penalty-yards-per-game
24,25,Carolina,53.4,63.0,34.0,54.7,51.6,50.8,2022-11-29,/nfl/stat/penalty-yards-per-game
25,26,Arizona,54.0,45.3,19.0,38.3,69.7,57.8,2022-11-29,/nfl/stat/penalty-yards-per-game
26,27,New Orleans,55.1,45.0,46.0,38.8,71.3,47.7,2022-11-29,/nfl/stat/penalty-yards-per-game
27,28,Las Vegas,56.1,74.0,50.0,52.8,58.0,63.9,2022-11-29,/nfl/stat/penalty-yards-per-game
28,28,NY Jets,56.1,16.7,5.0,52.8,60.0,50.6,2022-11-29,/nfl/stat/penalty-yards-per-game
29,30,Seattle,56.2,30.0,10.0,40.6,69.2,47.2,2022-11-29,/nfl/stat/penalty-yards-per-game
30,31,Dallas,56.9,69.3,86.0,53.3,61.2,66.2,2022-11-29,/nfl/stat/penalty-yards-per-game
31,32,Denver,67.2,46.3,44.0,51.6,80.2,41.8,2022-11-29,/nfl/stat/penalty-yards-per-game
