,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Tampa Bay,12.5%,0.0%,0.0%,0.0%,25.0%,52.6%,2022-11-02,/nfl/stat/percent-of-games-with-an-interception-thrown
1,2,Philadelphia,28.6%,0.0%,0.0%,50.0%,0.0%,44.4%,2022-11-02,/nfl/stat/percent-of-games-with-an-interception-thrown
2,3,Dallas,37.5%,66.7%,100.0%,40.0%,33.3%,55.6%,2022-11-02,/nfl/stat/percent-of-games-with-an-interception-thrown
3,3,NY Giants,37.5%,0.0%,0.0%,50.0%,25.0%,64.7%,2022-11-02,/nfl/stat/percent-of-games-with-an-interception-thrown
4,3,Cincinnati,37.5%,33.3%,100.0%,33.3%,40.0%,52.4%,2022-11-02,/nfl/stat/percent-of-games-with-an-interception-thrown
5,3,Seattle,37.5%,33.3%,0.0%,25.0%,50.0%,29.4%,2022-11-02,/nfl/stat/percent-of-games-with-an-interception-thrown
6,7,Las Vegas,42.9%,33.3%,100.0%,0.0%,75.0%,72.2%,2022-11-02,/nfl/stat/percent-of-games-with-an-interception-thrown
7,7,Tennessee,42.9%,33.3%,100.0%,33.3%,50.0%,55.6%,2022-11-02,/nfl/stat/percent-of-games-with-an-interception-thrown
8,7,Minnesota,42.9%,33.3%,0.0%,25.0%,66.7%,35.3%,2022-11-02,/nfl/stat/percent-of-games-with-an-interception-thrown
9,10,Atlanta,50.0%,33.3%,100.0%,50.0%,50.0%,41.2%,2022-11-02,/nfl/stat/percent-of-games-with-an-interception-thrown
10,10,New Orleans,50.0%,33.3%,0.0%,50.0%,50.0%,41.2%,2022-11-02,/nfl/stat/percent-of-games-with-an-interception-thrown
11,10,Jacksonville,50.0%,33.3%,100.0%,33.3%,60.0%,47.1%,2022-11-02,/nfl/stat/percent-of-games-with-an-interception-thrown
12,10,San Francisco,50.0%,66.7%,0.0%,33.3%,60.0%,65.0%,2022-11-02,/nfl/stat/percent-of-games-with-an-interception-thrown
13,10,NY Jets,50.0%,33.3%,100.0%,75.0%,25.0%,64.7%,2022-11-02,/nfl/stat/percent-of-games-with-an-interception-thrown
14,10,Miami,50.0%,33.3%,0.0%,25.0%,75.0%,64.7%,2022-11-02,/nfl/stat/percent-of-games-with-an-interception-thrown
15,10,Denver,50.0%,66.7%,100.0%,75.0%,25.0%,35.3%,2022-11-02,/nfl/stat/percent-of-games-with-an-interception-thrown
16,10,Green Bay,50.0%,33.3%,100.0%,33.3%,60.0%,27.8%,2022-11-02,/nfl/stat/percent-of-games-with-an-interception-thrown
17,18,Houston,57.1%,66.7%,100.0%,66.7%,50.0%,52.9%,2022-11-02,/nfl/stat/percent-of-games-with-an-interception-thrown
18,18,Kansas City,57.1%,66.7%,100.0%,33.3%,75.0%,60.0%,2022-11-02,/nfl/stat/percent-of-games-with-an-interception-thrown
19,18,Buffalo,57.1%,66.7%,100.0%,66.7%,50.0%,52.6%,2022-11-02,/nfl/stat/percent-of-games-with-an-interception-thrown
20,18,LA Chargers,57.1%,66.7%,100.0%,75.0%,33.3%,64.7%,2022-11-02,/nfl/stat/percent-of-games-with-an-interception-thrown
21,22,Pittsburgh,62.5%,66.7%,100.0%,66.7%,60.0%,50.0%,2022-11-02,/nfl/stat/percent-of-games-with-an-interception-thrown
22,22,Chicago,62.5%,66.7%,0.0%,100.0%,40.0%,70.6%,2022-11-02,/nfl/stat/percent-of-games-with-an-interception-thrown
23,22,Cleveland,62.5%,66.7%,100.0%,80.0%,33.3%,52.9%,2022-11-02,/nfl/stat/percent-of-games-with-an-interception-thrown
24,22,Arizona,62.5%,66.7%,100.0%,25.0%,100.0%,50.0%,2022-11-02,/nfl/stat/percent-of-games-with-an-interception-thrown
25,22,Carolina,62.5%,66.7%,100.0%,60.0%,66.7%,76.5%,2022-11-02,/nfl/stat/percent-of-games-with-an-interception-thrown
26,22,Baltimore,62.5%,33.3%,0.0%,50.0%,75.0%,64.7%,2022-11-02,/nfl/stat/percent-of-games-with-an-interception-thrown
27,22,Indianapolis,62.5%,33.3%,0.0%,25.0%,100.0%,29.4%,2022-11-02,/nfl/stat/percent-of-games-with-an-interception-thrown
28,29,Detroit,71.4%,66.7%,0.0%,50.0%,100.0%,58.8%,2022-11-02,/nfl/stat/percent-of-games-with-an-interception-thrown
29,29,LA Rams,71.4%,66.7%,0.0%,80.0%,50.0%,61.9%,2022-11-02,/nfl/stat/percent-of-games-with-an-interception-thrown
30,31,Washington,75.0%,66.7%,100.0%,75.0%,75.0%,64.7%,2022-11-02,/nfl/stat/percent-of-games-with-an-interception-thrown
31,31,New England,75.0%,66.7%,100.0%,100.0%,60.0%,55.6%,2022-11-02,/nfl/stat/percent-of-games-with-an-interception-thrown
