,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Las Vegas,3.0,3.0,3.0,3.0,3.0,2.8,2022-10-18,/nfl/stat/points-per-field-goal-attempt
1,1,Chicago,3.0,3.0,0,3.0,3.0,2.6,2022-10-18,/nfl/stat/points-per-field-goal-attempt
2,3,Tampa Bay,2.8,3.0,3.0,3.0,2.7,2.4,2022-10-18,/nfl/stat/points-per-field-goal-attempt
3,4,Carolina,2.8,2.5,3.0,2.7,3.0,2.7,2022-10-18,/nfl/stat/points-per-field-goal-attempt
4,4,LA Chargers,2.8,3.0,3.0,2.6,3.0,2.7,2022-10-18,/nfl/stat/points-per-field-goal-attempt
5,4,Seattle,2.8,2.7,3.0,3.0,2.4,2.2,2022-10-18,/nfl/stat/points-per-field-goal-attempt
6,7,Baltimore,2.8,2.7,2.0,3.0,2.4,2.8,2022-10-18,/nfl/stat/points-per-field-goal-attempt
7,8,Houston,2.7,2.5,3.0,2.3,3.0,2.3,2022-10-18,/nfl/stat/points-per-field-goal-attempt
8,9,Jacksonville,2.7,3.0,0,3.0,2.6,2.3,2022-10-18,/nfl/stat/points-per-field-goal-attempt
9,9,LA Rams,2.7,2.5,3.0,2.4,3.0,2.7,2022-10-18,/nfl/stat/points-per-field-goal-attempt
10,11,Arizona,2.7,2.4,3.0,2.5,3.0,2.4,2022-10-18,/nfl/stat/points-per-field-goal-attempt
11,11,Philadelphia,2.7,3.0,3.0,2.4,3.0,2.7,2022-10-18,/nfl/stat/points-per-field-goal-attempt
12,13,Dallas,2.6,2.7,1.5,3.0,2.3,2.5,2022-10-18,/nfl/stat/points-per-field-goal-attempt
13,13,Green Bay,2.6,2.5,1.5,2.5,3.0,2.2,2022-10-18,/nfl/stat/points-per-field-goal-attempt
14,15,NY Giants,2.6,2.5,3.0,2.5,3.0,2.6,2022-10-18,/nfl/stat/points-per-field-goal-attempt
15,16,Cleveland,2.5,2.1,3.0,2.1,3.0,2.2,2022-10-18,/nfl/stat/points-per-field-goal-attempt
16,16,Cincinnati,2.5,3.0,3.0,2.4,2.6,2.7,2022-10-18,/nfl/stat/points-per-field-goal-attempt
17,16,Indianapolis,2.5,2.6,3.0,2.5,2.6,2.5,2022-10-18,/nfl/stat/points-per-field-goal-attempt
18,19,NY Jets,2.5,2.4,2.0,2.6,2.4,2.3,2022-10-18,/nfl/stat/points-per-field-goal-attempt
19,19,New England,2.5,2.6,1.5,3.0,1.8,2.8,2022-10-18,/nfl/stat/points-per-field-goal-attempt
20,21,Denver,2.5,2.6,3.0,2.3,2.6,2.5,2022-10-18,/nfl/stat/points-per-field-goal-attempt
21,22,Buffalo,2.5,2.5,3.0,2.3,2.6,2.6,2022-10-18,/nfl/stat/points-per-field-goal-attempt
22,23,Washington,2.4,2.4,2.0,3.0,2.3,2.5,2022-10-18,/nfl/stat/points-per-field-goal-attempt
23,23,Tennessee,2.4,3.0,0,2.3,3.0,2.5,2022-10-18,/nfl/stat/points-per-field-goal-attempt
24,25,Atlanta,2.3,2.3,0,2.6,1.8,2.8,2022-10-18,/nfl/stat/points-per-field-goal-attempt
25,26,Kansas City,2.3,2.1,2.0,2.1,2.4,2.6,2022-10-18,/nfl/stat/points-per-field-goal-attempt
26,27,Pittsburgh,2.2,2.1,3.0,3.0,1.7,2.7,2022-10-18,/nfl/stat/points-per-field-goal-attempt
27,28,Miami,2.1,1.9,1.5,2.3,2.0,2.2,2022-10-18,/nfl/stat/points-per-field-goal-attempt
28,29,New Orleans,2.1,2.6,3.0,3.0,1.3,2.5,2022-10-18,/nfl/stat/points-per-field-goal-attempt
29,29,Minnesota,2.1,2.3,3.0,1.3,3.0,2.6,2022-10-18,/nfl/stat/points-per-field-goal-attempt
30,31,Detroit,2.0,1.5,0,3.0,1.0,2.6,2022-10-18,/nfl/stat/points-per-field-goal-attempt
31,31,San Francisco,2.0,1.5,0,1.8,2.3,2.6,2022-10-18,/nfl/stat/points-per-field-goal-attempt
