,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Kansas City,30.4,28.0,20.0,24.3,36.5,29.4,2022-11-09,/nfl/stat/points-per-game
1,2,Philadelphia,28.1,30.0,29.0,28.5,27.8,25.5,2022-11-09,/nfl/stat/points-per-game
2,3,Buffalo,27.5,22.7,17.0,35.3,22.8,29.8,2022-11-09,/nfl/stat/points-per-game
3,4,Seattle,26.8,31.7,31.0,21.5,31.0,23.2,2022-11-09,/nfl/stat/points-per-game
4,5,Baltimore,26.0,23.3,27.0,25.0,27.0,22.8,2022-11-09,/nfl/stat/points-per-game
5,6,Cincinnati,25.3,30.0,42.0,31.0,20.8,26.3,2022-11-09,/nfl/stat/points-per-game
6,7,Cleveland,25.0,22.3,32.0,26.8,22.0,20.5,2022-11-09,/nfl/stat/points-per-game
7,8,New Orleans,24.9,28.0,24.0,24.8,25.0,21.4,2022-11-09,/nfl/stat/points-per-game
8,9,Minnesota,24.1,26.0,20.0,28.5,19.8,25.0,2022-11-09,/nfl/stat/points-per-game
9,10,Atlanta,24.1,23.7,17.0,26.2,21.5,18.4,2022-11-09,/nfl/stat/points-per-game
10,11,Miami,23.7,27.3,35.0,18.3,28.0,20.1,2022-11-09,/nfl/stat/points-per-game
11,12,Detroit,23.5,16.0,15.0,31.6,10.0,19.1,2022-11-09,/nfl/stat/points-per-game
12,13,LA Chargers,23.0,20.7,20.0,19.0,27.0,27.9,2022-11-09,/nfl/stat/points-per-game
13,14,Dallas,22.9,30.0,49.0,24.2,20.7,30.4,2022-11-09,/nfl/stat/points-per-game
14,14,Las Vegas,22.9,19.3,20.0,31.0,18.0,21.8,2022-11-09,/nfl/stat/points-per-game
15,16,Arizona,22.6,29.7,21.0,22.6,22.5,25.6,2022-11-09,/nfl/stat/points-per-game
16,16,New England,22.6,20.7,26.0,23.8,21.6,26.6,2022-11-09,/nfl/stat/points-per-game
17,18,Jacksonville,22.1,20.3,27.0,18.5,25.0,14.9,2022-11-09,/nfl/stat/points-per-game
18,19,San Francisco,22.0,22.7,31.0,24.7,20.4,24.0,2022-11-09,/nfl/stat/points-per-game
19,20,NY Jets,21.8,17.7,20.0,19.6,24.5,18.2,2022-11-09,/nfl/stat/points-per-game
20,21,Chicago,20.8,31.3,32.0,20.3,21.2,18.3,2022-11-09,/nfl/stat/points-per-game
21,22,NY Giants,20.4,20.0,13.0,19.8,21.0,15.2,2022-11-09,/nfl/stat/points-per-game
22,23,Carolina,19.9,25.3,21.0,19.6,20.3,17.9,2022-11-09,/nfl/stat/points-per-game
23,24,Tennessee,18.6,17.7,17.0,21.0,17.2,24.2,2022-11-09,/nfl/stat/points-per-game
24,25,Tampa Bay,18.0,13.7,16.0,20.4,15.0,29.9,2022-11-09,/nfl/stat/points-per-game
25,26,Washington,17.7,19.0,17.0,18.6,16.5,19.7,2022-11-09,/nfl/stat/points-per-game
26,27,Green Bay,17.1,15.7,9.0,21.3,15.0,25.6,2022-11-09,/nfl/stat/points-per-game
27,28,Houston,16.6,15.7,17.0,17.8,15.5,16.5,2022-11-09,/nfl/stat/points-per-game
28,29,LA Rams,16.4,17.0,13.0,17.8,14.0,27.0,2022-11-09,/nfl/stat/points-per-game
29,30,Denver,15.1,15.3,21.0,11.3,19.0,19.7,2022-11-09,/nfl/stat/points-per-game
30,31,Pittsburgh,15.0,14.3,13.0,18.0,13.2,20.2,2022-11-09,/nfl/stat/points-per-game
31,32,Indianapolis,14.7,9.7,3.0,21.8,9.0,26.5,2022-11-09,/nfl/stat/points-per-game
