,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Washington,5.7,5.7,8.0,5.5,6.0,3.7,2022-09-27,/nfl/stat/punt-attempts-per-game
1,1,Pittsburgh,5.7,5.7,5.0,4.0,6.5,4.7,2022-09-27,/nfl/stat/punt-attempts-per-game
2,1,Houston,5.7,5.7,5.0,7.0,5.0,5.2,2022-09-27,/nfl/stat/punt-attempts-per-game
3,4,New Orleans,5.3,5.3,6.0,5.0,5.5,4.9,2022-09-27,/nfl/stat/punt-attempts-per-game
4,4,Denver,5.3,5.3,10.0,7.5,1.0,3.9,2022-09-27,/nfl/stat/punt-attempts-per-game
5,4,Carolina,5.3,5.3,6.0,5.5,5.0,4.4,2022-09-27,/nfl/stat/punt-attempts-per-game
6,7,Tennessee,5.0,5.0,3.0,4.5,6.0,3.4,2022-09-27,/nfl/stat/punt-attempts-per-game
7,7,Tampa Bay,5.0,5.0,6.0,6.0,4.5,3.8,2022-09-27,/nfl/stat/punt-attempts-per-game
8,9,Dallas,4.7,4.7,4.0,5.0,4.0,3.9,2022-09-27,/nfl/stat/punt-attempts-per-game
9,9,Chicago,4.7,4.7,4.0,5.0,4.0,3.6,2022-09-27,/nfl/stat/punt-attempts-per-game
10,9,San Francisco,4.7,4.7,7.0,3.0,5.5,3.7,2022-09-27,/nfl/stat/punt-attempts-per-game
11,9,LA Chargers,4.7,4.7,4.0,4.0,6.0,2.8,2022-09-27,/nfl/stat/punt-attempts-per-game
12,9,NY Giants,4.7,4.7,3.0,4.0,6.0,4.4,2022-09-27,/nfl/stat/punt-attempts-per-game
13,14,NY Jets,4.3,4.3,3.0,4.5,4.0,4.2,2022-09-27,/nfl/stat/punt-attempts-per-game
14,14,Green Bay,4.3,4.3,7.0,2.0,5.5,3.3,2022-09-27,/nfl/stat/punt-attempts-per-game
15,14,Philadelphia,4.3,4.3,6.0,4.0,4.5,3.4,2022-09-27,/nfl/stat/punt-attempts-per-game
16,14,Minnesota,4.3,4.3,3.0,4.0,5.0,4.6,2022-09-27,/nfl/stat/punt-attempts-per-game
17,18,Detroit,4.0,4.0,3.0,4.5,3.0,3.8,2022-09-27,/nfl/stat/punt-attempts-per-game
18,18,Cleveland,4.0,4.0,5.0,4.0,4.0,3.9,2022-09-27,/nfl/stat/punt-attempts-per-game
19,18,Arizona,4.0,4.0,4.0,4.5,3.0,3.2,2022-09-27,/nfl/stat/punt-attempts-per-game
20,18,Indianapolis,4.0,4.0,3.0,3.0,4.5,3.5,2022-09-27,/nfl/stat/punt-attempts-per-game
21,22,Miami,3.7,3.7,5.0,4.5,2.0,4.6,2022-09-27,/nfl/stat/punt-attempts-per-game
22,22,Kansas City,3.7,3.7,3.0,6.0,2.5,2.5,2022-09-27,/nfl/stat/punt-attempts-per-game
23,22,Cincinnati,3.7,3.7,3.0,3.0,4.0,3.9,2022-09-27,/nfl/stat/punt-attempts-per-game
24,22,Baltimore,3.7,3.7,3.0,2.0,4.5,4.2,2022-09-27,/nfl/stat/punt-attempts-per-game
25,26,Jacksonville,3.0,3.0,1.0,5.0,2.0,4.2,2022-09-27,/nfl/stat/punt-attempts-per-game
26,26,New England,3.0,3.0,2.0,2.0,3.5,3.1,2022-09-27,/nfl/stat/punt-attempts-per-game
27,26,Seattle,3.0,3.0,2.0,2.0,5.0,4.9,2022-09-27,/nfl/stat/punt-attempts-per-game
28,29,Las Vegas,2.7,2.7,3.0,3.0,2.5,3.7,2022-09-27,/nfl/stat/punt-attempts-per-game
29,29,LA Rams,2.7,2.7,3.0,2.5,3.0,3.2,2022-09-27,/nfl/stat/punt-attempts-per-game
30,31,Atlanta,2.0,2.0,1.0,4.0,1.0,3.9,2022-09-27,/nfl/stat/punt-attempts-per-game
31,32,Buffalo,1.3,1.3,1.0,3.0,0.5,3.0,2022-09-27,/nfl/stat/punt-attempts-per-game
