,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Kansas City,0.5,0.5,1.0,1.0,0.0,1.9,2022-09-20,/nfl/stat/qb-sacked-per-game
1,2,Jacksonville,1.0,1.0,0.0,0.0,2.0,1.9,2022-09-20,/nfl/stat/qb-sacked-per-game
2,2,Cleveland,1.0,1.0,1.0,1.0,1.0,2.9,2022-09-20,/nfl/stat/qb-sacked-per-game
3,2,New England,1.0,1.0,0.0,0,1.0,1.7,2022-09-20,/nfl/stat/qb-sacked-per-game
4,2,LA Chargers,1.0,1.0,2.0,0.0,2.0,1.8,2022-09-20,/nfl/stat/qb-sacked-per-game
5,2,Baltimore,1.0,1.0,0.0,0.0,2.0,3.4,2022-09-20,/nfl/stat/qb-sacked-per-game
6,7,Atlanta,1.5,1.5,3.0,0.0,3.0,2.4,2022-09-20,/nfl/stat/qb-sacked-per-game
7,7,San Francisco,1.5,1.5,1.0,1.0,2.0,1.9,2022-09-20,/nfl/stat/qb-sacked-per-game
8,7,Tennessee,1.5,1.5,2.0,1.0,2.0,2.7,2022-09-20,/nfl/stat/qb-sacked-per-game
9,7,Tampa Bay,1.5,1.5,1.0,0,1.5,1.6,2022-09-20,/nfl/stat/qb-sacked-per-game
10,7,Buffalo,1.5,1.5,1.0,1.0,2.0,1.5,2022-09-20,/nfl/stat/qb-sacked-per-game
11,7,Minnesota,1.5,1.5,2.0,1.0,2.0,1.8,2022-09-20,/nfl/stat/qb-sacked-per-game
12,13,Pittsburgh,2.0,2.0,3.0,3.0,1.0,2.2,2022-09-20,/nfl/stat/qb-sacked-per-game
13,13,Detroit,2.0,2.0,3.0,2.0,0,2.1,2022-09-20,/nfl/stat/qb-sacked-per-game
14,13,Miami,2.0,2.0,1.0,3.0,1.0,2.4,2022-09-20,/nfl/stat/qb-sacked-per-game
15,13,Arizona,2.0,2.0,1.0,3.0,1.0,2.3,2022-09-20,/nfl/stat/qb-sacked-per-game
16,13,Seattle,2.0,2.0,2.0,2.0,2.0,2.7,2022-09-20,/nfl/stat/qb-sacked-per-game
17,13,Philadelphia,2.0,2.0,3.0,3.0,1.0,1.8,2022-09-20,/nfl/stat/qb-sacked-per-game
18,19,Dallas,2.5,2.5,1.0,2.5,0,2.1,2022-09-20,/nfl/stat/qb-sacked-per-game
19,19,Chicago,2.5,2.5,3.0,2.0,3.0,3.4,2022-09-20,/nfl/stat/qb-sacked-per-game
20,19,NY Jets,2.5,2.5,2.0,3.0,2.0,3.1,2022-09-20,/nfl/stat/qb-sacked-per-game
21,19,Denver,2.5,2.5,3.0,3.0,2.0,2.4,2022-09-20,/nfl/stat/qb-sacked-per-game
22,23,Washington,3.0,3.0,5.0,1.0,5.0,2.5,2022-09-20,/nfl/stat/qb-sacked-per-game
23,23,Houston,3.0,3.0,3.0,3.0,3.0,2.6,2022-09-20,/nfl/stat/qb-sacked-per-game
24,23,Carolina,3.0,3.0,2.0,4.0,2.0,3.1,2022-09-20,/nfl/stat/qb-sacked-per-game
25,26,Las Vegas,3.5,3.5,1.0,1.0,6.0,2.4,2022-09-20,/nfl/stat/qb-sacked-per-game
26,26,Green Bay,3.5,3.5,3.0,3.0,4.0,2.1,2022-09-20,/nfl/stat/qb-sacked-per-game
27,26,Indianapolis,3.5,3.5,5.0,0,3.5,1.9,2022-09-20,/nfl/stat/qb-sacked-per-game
28,29,NY Giants,4.0,4.0,3.0,3.0,5.0,2.2,2022-09-20,/nfl/stat/qb-sacked-per-game
29,29,LA Rams,4.0,4.0,1.0,4.0,0,1.8,2022-09-20,/nfl/stat/qb-sacked-per-game
30,31,New Orleans,5.0,5.0,6.0,6.0,4.0,2.2,2022-09-20,/nfl/stat/qb-sacked-per-game
31,32,Cincinnati,6.5,6.5,6.0,7.0,6.0,3.5,2022-09-20,/nfl/stat/qb-sacked-per-game
