,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Detroit,3.7,3.7,3.0,4.0,3.0,1.2,2022-09-27,/nfl/stat/red-zone-scores-per-game
1,2,Kansas City,3.0,3.0,2.0,1.0,4.0,2.6,2022-09-27,/nfl/stat/red-zone-scores-per-game
2,3,Cleveland,2.7,2.7,3.0,3.5,1.0,1.8,2022-09-27,/nfl/stat/red-zone-scores-per-game
3,3,Baltimore,2.7,2.7,5.0,2.0,3.0,2.0,2022-09-27,/nfl/stat/red-zone-scores-per-game
4,5,Atlanta,2.3,2.3,3.0,2.0,2.5,1.7,2022-09-27,/nfl/stat/red-zone-scores-per-game
5,5,Jacksonville,2.3,2.3,3.0,2.0,2.5,1.2,2022-09-27,/nfl/stat/red-zone-scores-per-game
6,5,Miami,2.3,2.3,3.0,1.5,4.0,1.8,2022-09-27,/nfl/stat/red-zone-scores-per-game
7,5,Buffalo,2.3,2.3,2.0,3.0,2.0,3.0,2022-09-27,/nfl/stat/red-zone-scores-per-game
8,5,Philadelphia,2.3,2.3,2.0,1.0,3.0,2.2,2022-09-27,/nfl/stat/red-zone-scores-per-game
9,10,Washington,2.0,2.0,1.0,1.5,3.0,1.5,2022-09-27,/nfl/stat/red-zone-scores-per-game
10,10,New Orleans,2.0,2.0,2.0,1.0,2.5,1.9,2022-09-27,/nfl/stat/red-zone-scores-per-game
11,10,Las Vegas,2.0,2.0,2.0,2.0,2.0,1.8,2022-09-27,/nfl/stat/red-zone-scores-per-game
12,10,Tennessee,2.0,2.0,3.0,2.5,1.0,2.2,2022-09-27,/nfl/stat/red-zone-scores-per-game
13,10,Arizona,2.0,2.0,0.0,1.5,3.0,2.2,2022-09-27,/nfl/stat/red-zone-scores-per-game
14,10,LA Chargers,2.0,2.0,1.0,1.5,3.0,2.8,2022-09-27,/nfl/stat/red-zone-scores-per-game
15,10,LA Rams,2.0,2.0,1.0,2.5,1.0,2.5,2022-09-27,/nfl/stat/red-zone-scores-per-game
16,10,Green Bay,2.0,2.0,2.0,3.0,1.5,2.3,2022-09-27,/nfl/stat/red-zone-scores-per-game
17,18,Chicago,1.7,1.7,2.0,2.0,1.0,1.4,2022-09-27,/nfl/stat/red-zone-scores-per-game
18,18,New England,1.7,1.7,3.0,3.0,1.0,2.3,2022-09-27,/nfl/stat/red-zone-scores-per-game
19,18,Cincinnati,1.7,1.7,2.0,2.0,1.5,1.7,2022-09-27,/nfl/stat/red-zone-scores-per-game
20,18,Minnesota,1.7,1.7,3.0,2.0,1.0,1.9,2022-09-27,/nfl/stat/red-zone-scores-per-game
21,22,Dallas,1.3,1.3,2.0,1.0,2.0,2.3,2022-09-27,/nfl/stat/red-zone-scores-per-game
22,22,Pittsburgh,1.3,1.3,2.0,1.0,1.5,1.6,2022-09-27,/nfl/stat/red-zone-scores-per-game
23,22,San Francisco,1.3,1.3,1.0,2.0,1.0,1.9,2022-09-27,/nfl/stat/red-zone-scores-per-game
24,22,NY Jets,1.3,1.3,0.0,0.5,3.0,1.6,2022-09-27,/nfl/stat/red-zone-scores-per-game
25,22,Indianapolis,1.3,1.3,2.0,2.0,1.0,2.1,2022-09-27,/nfl/stat/red-zone-scores-per-game
26,27,Houston,1.0,1.0,2.0,1.0,1.0,1.1,2022-09-27,/nfl/stat/red-zone-scores-per-game
27,27,Carolina,1.0,1.0,0.0,1.0,1.0,1.5,2022-09-27,/nfl/stat/red-zone-scores-per-game
28,27,NY Giants,1.0,1.0,0.0,0.5,2.0,1.0,2022-09-27,/nfl/stat/red-zone-scores-per-game
29,30,Tampa Bay,0.7,0.7,1.0,1.0,0.5,2.6,2022-09-27,/nfl/stat/red-zone-scores-per-game
30,30,Seattle,0.7,0.7,2.0,1.0,0.0,1.8,2022-09-27,/nfl/stat/red-zone-scores-per-game
31,32,Denver,0.3,0.3,1.0,0.5,0.0,1.7,2022-09-27,/nfl/stat/red-zone-scores-per-game
