,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Washington,100.00%,100.00%,100.00%,100.00%,0,52.00%,2022-09-13,/nfl/stat/red-zone-scoring-pct
1,1,New Orleans,100.00%,100.00%,100.00%,0,100.00%,58.93%,2022-09-13,/nfl/stat/red-zone-scoring-pct
2,1,Detroit,100.00%,100.00%,100.00%,100.00%,0,46.67%,2022-09-13,/nfl/stat/red-zone-scoring-pct
3,1,Chicago,100.00%,100.00%,100.00%,100.00%,0,47.92%,2022-09-13,/nfl/stat/red-zone-scoring-pct
4,1,Houston,100.00%,100.00%,100.00%,100.00%,0,51.35%,2022-09-13,/nfl/stat/red-zone-scoring-pct
5,1,Arizona,100.00%,100.00%,100.00%,100.00%,0,60.61%,2022-09-13,/nfl/stat/red-zone-scoring-pct
6,1,New England,100.00%,100.00%,100.00%,0,100.00%,63.08%,2022-09-13,/nfl/stat/red-zone-scoring-pct
7,1,Kansas City,100.00%,100.00%,100.00%,0,100.00%,62.20%,2022-09-13,/nfl/stat/red-zone-scoring-pct
8,1,Buffalo,100.00%,100.00%,100.00%,0,100.00%,66.28%,2022-09-13,/nfl/stat/red-zone-scoring-pct
9,10,Philadelphia,80.00%,80.00%,80.00%,0,80.00%,62.90%,2022-09-13,/nfl/stat/red-zone-scoring-pct
10,11,Las Vegas,66.67%,66.67%,66.67%,0,66.67%,49.23%,2022-09-13,/nfl/stat/red-zone-scoring-pct
11,11,Tennessee,66.67%,66.67%,66.67%,66.67%,0,62.50%,2022-09-13,/nfl/stat/red-zone-scoring-pct
12,11,Carolina,66.67%,66.67%,66.67%,66.67%,0,53.19%,2022-09-13,/nfl/stat/red-zone-scoring-pct
13,11,LA Chargers,66.67%,66.67%,66.67%,66.67%,0,64.00%,2022-09-13,/nfl/stat/red-zone-scoring-pct
14,11,NY Giants,66.67%,66.67%,66.67%,0,66.67%,44.74%,2022-09-13,/nfl/stat/red-zone-scoring-pct
15,16,Atlanta,50.00%,50.00%,50.00%,50.00%,0,53.70%,2022-09-13,/nfl/stat/red-zone-scoring-pct
16,16,Pittsburgh,50.00%,50.00%,50.00%,0,50.00%,54.72%,2022-09-13,/nfl/stat/red-zone-scoring-pct
17,16,NY Jets,50.00%,50.00%,50.00%,50.00%,0,54.90%,2022-09-13,/nfl/stat/red-zone-scoring-pct
18,16,LA Rams,50.00%,50.00%,50.00%,50.00%,0,59.09%,2022-09-13,/nfl/stat/red-zone-scoring-pct
19,16,Baltimore,50.00%,50.00%,50.00%,0,50.00%,60.71%,2022-09-13,/nfl/stat/red-zone-scoring-pct
20,21,Jacksonville,40.00%,40.00%,40.00%,0,40.00%,51.28%,2022-09-13,/nfl/stat/red-zone-scoring-pct
21,21,Cincinnati,40.00%,40.00%,40.00%,40.00%,0,54.55%,2022-09-13,/nfl/stat/red-zone-scoring-pct
22,21,Indianapolis,40.00%,40.00%,40.00%,0,40.00%,56.25%,2022-09-13,/nfl/stat/red-zone-scoring-pct
23,24,San Francisco,33.33%,33.33%,33.33%,0,33.33%,64.41%,2022-09-13,/nfl/stat/red-zone-scoring-pct
24,24,Tampa Bay,33.33%,33.33%,33.33%,0,33.33%,65.79%,2022-09-13,/nfl/stat/red-zone-scoring-pct
25,24,Green Bay,33.33%,33.33%,33.33%,0,33.33%,57.53%,2022-09-13,/nfl/stat/red-zone-scoring-pct
26,24,Minnesota,33.33%,33.33%,33.33%,33.33%,0,62.26%,2022-09-13,/nfl/stat/red-zone-scoring-pct
27,28,Cleveland,25.00%,25.00%,25.00%,0,25.00%,62.00%,2022-09-13,/nfl/stat/red-zone-scoring-pct
28,29,Miami,0.00%,0.00%,0.00%,0.00%,0,61.22%,2022-09-13,/nfl/stat/red-zone-scoring-pct
29,29,Denver,0.00%,0.00%,0.00%,0,0.00%,54.72%,2022-09-13,/nfl/stat/red-zone-scoring-pct
30,29,Seattle,0.00%,0.00%,0.00%,0.00%,0,64.58%,2022-09-13,/nfl/stat/red-zone-scoring-pct
31,32,Dallas,0,0,0,0,0,63.64%,2022-09-13,/nfl/stat/red-zone-scoring-pct
