,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,San Francisco,64.71%,64.71%,64.71%,0,64.71%,34.88%,2022-09-13,/nfl/stat/rushing-first-down-pct
1,2,NY Giants,57.89%,57.89%,57.89%,0,57.89%,30.10%,2022-09-13,/nfl/stat/rushing-first-down-pct
2,3,Atlanta,50.00%,50.00%,50.00%,50.00%,0,24.51%,2022-09-13,/nfl/stat/rushing-first-down-pct
3,3,Tampa Bay,50.00%,50.00%,50.00%,0,50.00%,26.62%,2022-09-13,/nfl/stat/rushing-first-down-pct
4,5,Philadelphia,48.15%,48.15%,48.15%,0,48.15%,45.36%,2022-09-13,/nfl/stat/rushing-first-down-pct
5,6,Cleveland,47.83%,47.83%,47.83%,0,47.83%,40.35%,2022-09-13,/nfl/stat/rushing-first-down-pct
6,7,Chicago,40.00%,40.00%,40.00%,40.00%,0,35.74%,2022-09-13,/nfl/stat/rushing-first-down-pct
7,8,Detroit,39.13%,39.13%,39.13%,39.13%,0,31.61%,2022-09-13,/nfl/stat/rushing-first-down-pct
8,9,Green Bay,38.10%,38.10%,38.10%,0,38.10%,29.31%,2022-09-13,/nfl/stat/rushing-first-down-pct
9,10,Minnesota,36.84%,36.84%,36.84%,36.84%,0,31.02%,2022-09-13,/nfl/stat/rushing-first-down-pct
10,11,Dallas,33.33%,33.33%,33.33%,33.33%,0,28.78%,2022-09-13,/nfl/stat/rushing-first-down-pct
11,11,Arizona,33.33%,33.33%,33.33%,33.33%,0,34.91%,2022-09-13,/nfl/stat/rushing-first-down-pct
12,11,Carolina,33.33%,33.33%,33.33%,33.33%,0,36.65%,2022-09-13,/nfl/stat/rushing-first-down-pct
13,11,Indianapolis,33.33%,33.33%,33.33%,0,33.33%,43.50%,2022-09-13,/nfl/stat/rushing-first-down-pct
14,15,Pittsburgh,30.77%,30.77%,30.77%,0,30.77%,25.73%,2022-09-13,/nfl/stat/rushing-first-down-pct
15,15,Baltimore,30.77%,30.77%,30.77%,0,30.77%,40.36%,2022-09-13,/nfl/stat/rushing-first-down-pct
16,17,Buffalo,30.43%,30.43%,30.43%,0,30.43%,34.89%,2022-09-13,/nfl/stat/rushing-first-down-pct
17,18,New England,29.41%,29.41%,29.41%,0,29.41%,37.70%,2022-09-13,/nfl/stat/rushing-first-down-pct
18,19,New Orleans,27.78%,27.78%,27.78%,0,27.78%,36.81%,2022-09-13,/nfl/stat/rushing-first-down-pct
19,19,LA Chargers,27.78%,27.78%,27.78%,27.78%,0,27.93%,2022-09-13,/nfl/stat/rushing-first-down-pct
20,21,Washington,26.92%,26.92%,26.92%,26.92%,0,37.39%,2022-09-13,/nfl/stat/rushing-first-down-pct
21,22,Jacksonville,25.00%,25.00%,25.00%,0,25.00%,30.26%,2022-09-13,/nfl/stat/rushing-first-down-pct
22,22,Denver,25.00%,25.00%,25.00%,0,25.00%,37.46%,2022-09-13,/nfl/stat/rushing-first-down-pct
23,24,Kansas City,21.21%,21.21%,21.21%,0,21.21%,27.66%,2022-09-13,/nfl/stat/rushing-first-down-pct
24,25,Houston,20.00%,20.00%,20.00%,20.00%,0,28.95%,2022-09-13,/nfl/stat/rushing-first-down-pct
25,26,Miami,16.67%,16.67%,16.67%,16.67%,0,26.77%,2022-09-13,/nfl/stat/rushing-first-down-pct
26,27,LA Rams,15.79%,15.79%,15.79%,15.79%,0,26.26%,2022-09-13,/nfl/stat/rushing-first-down-pct
27,27,Seattle,15.79%,15.79%,15.79%,15.79%,0,35.10%,2022-09-13,/nfl/stat/rushing-first-down-pct
28,29,Cincinnati,15.63%,15.63%,15.63%,15.63%,0,28.68%,2022-09-13,/nfl/stat/rushing-first-down-pct
29,30,NY Jets,12.50%,12.50%,12.50%,12.50%,0,28.06%,2022-09-13,/nfl/stat/rushing-first-down-pct
30,31,Tennessee,10.53%,10.53%,10.53%,10.53%,0,37.30%,2022-09-13,/nfl/stat/rushing-first-down-pct
31,32,Las Vegas,5.56%,5.56%,5.56%,0,5.56%,26.61%,2022-09-13,/nfl/stat/rushing-first-down-pct
