,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Cleveland,192.4,187.0,213.0,189.3,197.0,145.4,2022-10-11,/nfl/stat/rushing-yards-per-game
1,2,NY Giants,179.0,184.7,125.0,177.3,181.5,99.3,2022-10-11,/nfl/stat/rushing-yards-per-game
2,3,Atlanta,164.6,177.3,151.0,201.5,140.0,85.4,2022-10-11,/nfl/stat/rushing-yards-per-game
3,4,Philadelphia,160.0,140.3,139.0,186.5,142.3,156.1,2022-10-11,/nfl/stat/rushing-yards-per-game
4,5,Chicago,157.4,169.3,78.0,190.0,135.7,118.7,2022-10-11,/nfl/stat/rushing-yards-per-game
5,6,Detroit,151.4,128.3,101.0,172.3,120.0,110.9,2022-10-11,/nfl/stat/rushing-yards-per-game
6,7,Baltimore,144.6,168.3,155.0,157.3,125.5,145.8,2022-10-11,/nfl/stat/rushing-yards-per-game
7,8,San Francisco,138.8,109.7,153.0,138.5,139.0,124.6,2022-10-11,/nfl/stat/rushing-yards-per-game
8,9,New England,138.0,162.7,176.0,160.5,123.0,124.4,2022-10-11,/nfl/stat/rushing-yards-per-game
9,10,New Orleans,136.2,143.3,235.0,167.5,115.3,117.1,2022-10-11,/nfl/stat/rushing-yards-per-game
10,11,Green Bay,134.8,120.0,94.0,201.0,90.7,109.3,2022-10-11,/nfl/stat/rushing-yards-per-game
11,12,Seattle,122.0,166.0,151.0,94.0,140.7,122.0,2022-10-11,/nfl/stat/rushing-yards-per-game
12,13,Las Vegas,121.4,154.3,155.0,146.0,105.0,95.6,2022-10-11,/nfl/stat/rushing-yards-per-game
13,14,Buffalo,116.4,120.0,120.0,110.5,120.3,131.2,2022-10-11,/nfl/stat/rushing-yards-per-game
14,15,Dallas,115.8,133.7,163.0,80.0,169.5,122.0,2022-10-11,/nfl/stat/rushing-yards-per-game
15,16,Jacksonville,115.4,119.3,136.0,116.0,115.0,103.2,2022-10-11,/nfl/stat/rushing-yards-per-game
16,17,Arizona,114.4,108.7,124.0,99.0,137.5,118.7,2022-10-11,/nfl/stat/rushing-yards-per-game
17,18,Kansas City,114.2,116.7,103.0,98.0,125.0,119.1,2022-10-11,/nfl/stat/rushing-yards-per-game
18,19,Denver,112.6,103.7,125.0,125.0,94.0,119.1,2022-10-11,/nfl/stat/rushing-yards-per-game
19,20,Tennessee,102.8,113.7,105.0,101.0,104.0,141.3,2022-10-11,/nfl/stat/rushing-yards-per-game
20,21,Minnesota,101.8,107.0,117.0,122.0,71.5,113.5,2022-10-11,/nfl/stat/rushing-yards-per-game
21,22,Houston,99.2,113.0,116.0,104.0,96.0,83.6,2022-10-11,/nfl/stat/rushing-yards-per-game
22,22,LA Chargers,99.2,115.0,238.0,51.0,131.3,107.9,2022-10-11,/nfl/stat/rushing-yards-per-game
23,24,NY Jets,97.0,103.0,135.0,98.0,95.5,98.1,2022-10-11,/nfl/stat/rushing-yards-per-game
24,25,Cincinnati,91.8,79.0,101.0,100.0,86.3,99.3,2022-10-11,/nfl/stat/rushing-yards-per-game
25,26,Indianapolis,91.4,75.3,106.0,60.0,112.3,149.4,2022-10-11,/nfl/stat/rushing-yards-per-game
26,27,Carolina,89.8,83.0,64.0,75.8,146.0,108.4,2022-10-11,/nfl/stat/rushing-yards-per-game
27,28,Washington,89.0,90.7,43.0,71.7,115.0,121.2,2022-10-11,/nfl/stat/rushing-yards-per-game
28,29,Pittsburgh,88.6,92.3,54.0,105.0,77.7,91.1,2022-10-11,/nfl/stat/rushing-yards-per-game
29,30,Miami,82.8,87.7,137.0,53.0,102.7,92.2,2022-10-11,/nfl/stat/rushing-yards-per-game
30,31,Tampa Bay,66.0,35.3,69.0,35.3,112.0,96.3,2022-10-11,/nfl/stat/rushing-yards-per-game
31,32,LA Rams,62.4,65.0,38.0,51.7,78.5,95.7,2022-10-11,/nfl/stat/rushing-yards-per-game
