,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Seattle,44.4,46.0,44.0,44.0,44.8,44.6,2022-10-25,/nfl/stat/solo-tackles-per-game
1,2,Detroit,44.3,43.7,42.0,46.0,42.7,39.0,2022-10-25,/nfl/stat/solo-tackles-per-game
2,3,Houston,43.0,41.3,39.0,46.5,41.3,40.5,2022-10-25,/nfl/stat/solo-tackles-per-game
3,3,Minnesota,43.0,37.3,46.0,40.3,45.7,41.8,2022-10-25,/nfl/stat/solo-tackles-per-game
4,5,Dallas,42.3,41.7,42.0,41.8,43.0,37.7,2022-10-25,/nfl/stat/solo-tackles-per-game
5,6,Indianapolis,41.9,41.0,41.0,37.0,45.5,40.8,2022-10-25,/nfl/stat/solo-tackles-per-game
6,7,Pittsburgh,40.7,36.7,38.0,38.0,42.8,42.1,2022-10-25,/nfl/stat/solo-tackles-per-game
7,8,Tennessee,40.5,39.3,45.0,42.7,38.3,38.2,2022-10-25,/nfl/stat/solo-tackles-per-game
8,9,Baltimore,40.1,40.0,40.0,36.8,44.7,36.2,2022-10-25,/nfl/stat/solo-tackles-per-game
9,10,Kansas City,40.0,39.7,43.0,40.0,40.0,37.8,2022-10-25,/nfl/stat/solo-tackles-per-game
10,11,Jacksonville,39.7,43.0,44.0,38.0,41.0,39.1,2022-10-25,/nfl/stat/solo-tackles-per-game
11,11,Carolina,39.7,38.3,39.0,38.0,44.0,36.6,2022-10-25,/nfl/stat/solo-tackles-per-game
12,13,LA Chargers,39.6,41.7,47.0,42.5,35.7,40.2,2022-10-25,/nfl/stat/solo-tackles-per-game
13,14,Las Vegas,39.3,35.7,37.0,35.0,43.7,38.4,2022-10-25,/nfl/stat/solo-tackles-per-game
14,15,Atlanta,39.3,39.0,40.0,35.3,42.3,39.6,2022-10-25,/nfl/stat/solo-tackles-per-game
15,15,Chicago,39.3,37.3,28.0,37.3,40.8,37.2,2022-10-25,/nfl/stat/solo-tackles-per-game
16,17,Buffalo,39.0,43.7,40.0,42.5,37.3,38.1,2022-10-25,/nfl/stat/solo-tackles-per-game
17,18,NY Jets,38.7,40.7,43.0,36.3,40.5,41.7,2022-10-25,/nfl/stat/solo-tackles-per-game
18,19,San Francisco,38.4,37.7,34.0,38.3,38.5,37.9,2022-10-25,/nfl/stat/solo-tackles-per-game
19,19,Miami,38.4,36.0,49.0,42.3,33.3,37.8,2022-10-25,/nfl/stat/solo-tackles-per-game
20,21,Denver,38.0,41.7,31.0,32.8,45.0,35.6,2022-10-25,/nfl/stat/solo-tackles-per-game
21,22,Tampa Bay,37.9,35.7,29.0,43.0,34.0,40.3,2022-10-25,/nfl/stat/solo-tackles-per-game
22,22,Arizona,37.9,44.0,43.0,40.3,34.7,38.3,2022-10-25,/nfl/stat/solo-tackles-per-game
23,22,Green Bay,37.9,38.0,36.0,36.3,39.0,37.9,2022-10-25,/nfl/stat/solo-tackles-per-game
24,25,Cincinnati,37.6,35.7,33.0,35.3,39.3,38.7,2022-10-25,/nfl/stat/solo-tackles-per-game
25,26,Cleveland,37.4,42.7,47.0,38.8,35.7,37.8,2022-10-25,/nfl/stat/solo-tackles-per-game
26,27,New Orleans,37.0,35.3,38.0,32.7,40.3,37.7,2022-10-25,/nfl/stat/solo-tackles-per-game
27,27,New England,37.0,38.0,40.0,37.7,36.5,38.2,2022-10-25,/nfl/stat/solo-tackles-per-game
28,29,LA Rams,36.5,28.3,25.0,33.8,42.0,39.6,2022-10-25,/nfl/stat/solo-tackles-per-game
29,30,Philadelphia,36.2,35.0,33.0,28.7,43.7,36.8,2022-10-25,/nfl/stat/solo-tackles-per-game
30,31,NY Giants,35.7,35.0,32.0,35.0,36.7,39.1,2022-10-25,/nfl/stat/solo-tackles-per-game
31,32,Washington,35.3,34.7,21.0,35.0,35.7,37.3,2022-10-25,/nfl/stat/solo-tackles-per-game
