,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Atlanta,100.00%,100.00%,100.00%,100.00%,100.00%,36.36%,2022-11-09,/nfl/stat/takeaway-fumble-recovery-pct
1,2,Baltimore,58.33%,75.00%,0,60.00%,57.14%,46.15%,2022-11-09,/nfl/stat/takeaway-fumble-recovery-pct
2,3,Cincinnati,55.56%,66.67%,100.00%,33.33%,66.67%,36.00%,2022-11-09,/nfl/stat/takeaway-fumble-recovery-pct
3,4,Dallas,54.55%,57.14%,100.00%,50.00%,66.67%,57.14%,2022-11-09,/nfl/stat/takeaway-fumble-recovery-pct
4,4,Philadelphia,54.55%,50.00%,0,62.50%,33.33%,23.53%,2022-11-09,/nfl/stat/takeaway-fumble-recovery-pct
5,4,Minnesota,54.55%,50.00%,0,50.00%,60.00%,53.33%,2022-11-09,/nfl/stat/takeaway-fumble-recovery-pct
6,7,NY Giants,52.94%,75.00%,100.00%,54.55%,50.00%,41.18%,2022-11-09,/nfl/stat/takeaway-fumble-recovery-pct
7,8,New Orleans,50.00%,0.00%,0.00%,60.00%,40.00%,43.75%,2022-11-09,/nfl/stat/takeaway-fumble-recovery-pct
8,8,Las Vegas,50.00%,100.00%,100.00%,100.00%,33.33%,42.86%,2022-11-09,/nfl/stat/takeaway-fumble-recovery-pct
9,8,Kansas City,50.00%,100.00%,0,50.00%,50.00%,53.57%,2022-11-09,/nfl/stat/takeaway-fumble-recovery-pct
10,8,Buffalo,50.00%,33.33%,50.00%,75.00%,25.00%,45.83%,2022-11-09,/nfl/stat/takeaway-fumble-recovery-pct
11,8,Seattle,50.00%,50.00%,33.33%,60.00%,40.00%,36.84%,2022-11-09,/nfl/stat/takeaway-fumble-recovery-pct
12,8,Indianapolis,50.00%,66.67%,50.00%,50.00%,50.00%,53.85%,2022-11-09,/nfl/stat/takeaway-fumble-recovery-pct
13,14,Washington,44.44%,60.00%,0,20.00%,75.00%,44.44%,2022-11-09,/nfl/stat/takeaway-fumble-recovery-pct
14,15,Green Bay,42.86%,0.00%,0,50.00%,40.00%,42.11%,2022-11-09,/nfl/stat/takeaway-fumble-recovery-pct
15,16,Pittsburgh,40.00%,0.00%,0,0.00%,66.67%,40.00%,2022-11-09,/nfl/stat/takeaway-fumble-recovery-pct
16,16,Detroit,40.00%,40.00%,0.00%,40.00%,40.00%,47.06%,2022-11-09,/nfl/stat/takeaway-fumble-recovery-pct
17,16,Tennessee,40.00%,100.00%,0,50.00%,33.33%,28.57%,2022-11-09,/nfl/stat/takeaway-fumble-recovery-pct
18,16,Arizona,40.00%,50.00%,0.00%,25.00%,57.14%,50.00%,2022-11-09,/nfl/stat/takeaway-fumble-recovery-pct
19,16,New England,40.00%,0.00%,0,28.57%,50.00%,50.00%,2022-11-09,/nfl/stat/takeaway-fumble-recovery-pct
20,16,LA Chargers,40.00%,66.67%,100.00%,28.57%,66.67%,43.48%,2022-11-09,/nfl/stat/takeaway-fumble-recovery-pct
21,22,Cleveland,38.46%,100.00%,100.00%,66.67%,14.29%,25.00%,2022-11-09,/nfl/stat/takeaway-fumble-recovery-pct
22,23,Jacksonville,37.50%,100.00%,100.00%,33.33%,40.00%,16.67%,2022-11-09,/nfl/stat/takeaway-fumble-recovery-pct
23,23,Miami,37.50%,0,0,42.86%,0.00%,60.00%,2022-11-09,/nfl/stat/takeaway-fumble-recovery-pct
24,25,San Francisco,33.33%,33.33%,0,75.00%,0.00%,33.33%,2022-11-09,/nfl/stat/takeaway-fumble-recovery-pct
25,25,LA Rams,33.33%,0.00%,0,42.86%,0.00%,31.82%,2022-11-09,/nfl/stat/takeaway-fumble-recovery-pct
26,27,Chicago,28.57%,50.00%,0.00%,14.29%,42.86%,40.00%,2022-11-09,/nfl/stat/takeaway-fumble-recovery-pct
27,27,Houston,28.57%,40.00%,50.00%,40.00%,0.00%,32.00%,2022-11-09,/nfl/stat/takeaway-fumble-recovery-pct
28,29,Tampa Bay,27.27%,0.00%,0.00%,16.67%,40.00%,54.84%,2022-11-09,/nfl/stat/takeaway-fumble-recovery-pct
29,30,NY Jets,25.00%,0.00%,0.00%,28.57%,20.00%,26.92%,2022-11-09,/nfl/stat/takeaway-fumble-recovery-pct
30,31,Denver,23.08%,0.00%,0.00%,22.22%,25.00%,50.00%,2022-11-09,/nfl/stat/takeaway-fumble-recovery-pct
31,32,Carolina,18.18%,0.00%,0.00%,22.22%,0.00%,26.92%,2022-11-09,/nfl/stat/takeaway-fumble-recovery-pct
