,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Buffalo,90.00%,90.00%,90.00%,0,90.00%,47.33%,2022-09-13,/nfl/stat/third-down-conversion-pct
1,2,Washington,70.00%,70.00%,70.00%,70.00%,0,38.84%,2022-09-13,/nfl/stat/third-down-conversion-pct
2,3,Detroit,64.29%,64.29%,64.29%,64.29%,0,34.74%,2022-09-13,/nfl/stat/third-down-conversion-pct
3,4,Kansas City,62.50%,62.50%,62.50%,0,62.50%,53.31%,2022-09-13,/nfl/stat/third-down-conversion-pct
4,5,Philadelphia,58.82%,58.82%,58.82%,0,58.82%,45.11%,2022-09-13,/nfl/stat/third-down-conversion-pct
5,6,Seattle,54.55%,54.55%,54.55%,54.55%,0,37.31%,2022-09-13,/nfl/stat/third-down-conversion-pct
6,7,Denver,53.33%,53.33%,53.33%,0,53.33%,38.50%,2022-09-13,/nfl/stat/third-down-conversion-pct
7,8,Cincinnati,50.00%,50.00%,50.00%,50.00%,0,40.08%,2022-09-13,/nfl/stat/third-down-conversion-pct
8,9,San Francisco,47.06%,47.06%,47.06%,0,47.06%,40.09%,2022-09-13,/nfl/stat/third-down-conversion-pct
9,10,LA Rams,46.15%,46.15%,46.15%,46.15%,0,44.66%,2022-09-13,/nfl/stat/third-down-conversion-pct
10,11,Las Vegas,45.45%,45.45%,45.45%,0,45.45%,37.95%,2022-09-13,/nfl/stat/third-down-conversion-pct
11,12,Cleveland,44.44%,44.44%,44.44%,0,44.44%,39.15%,2022-09-13,/nfl/stat/third-down-conversion-pct
12,12,New England,44.44%,44.44%,44.44%,0,44.44%,43.95%,2022-09-13,/nfl/stat/third-down-conversion-pct
13,14,Miami,42.86%,42.86%,42.86%,42.86%,0,40.77%,2022-09-13,/nfl/stat/third-down-conversion-pct
14,14,LA Chargers,42.86%,42.86%,42.86%,42.86%,0,45.25%,2022-09-13,/nfl/stat/third-down-conversion-pct
15,16,Indianapolis,40.00%,40.00%,40.00%,0,40.00%,40.95%,2022-09-13,/nfl/stat/third-down-conversion-pct
16,17,Atlanta,38.46%,38.46%,38.46%,38.46%,0,38.86%,2022-09-13,/nfl/stat/third-down-conversion-pct
17,17,Baltimore,38.46%,38.46%,38.46%,0,38.46%,36.44%,2022-09-13,/nfl/stat/third-down-conversion-pct
18,19,Carolina,36.36%,36.36%,36.36%,36.36%,0,35.74%,2022-09-13,/nfl/stat/third-down-conversion-pct
19,20,Chicago,35.71%,35.71%,35.71%,35.71%,0,34.72%,2022-09-13,/nfl/stat/third-down-conversion-pct
20,20,Tampa Bay,35.71%,35.71%,35.71%,0,35.71%,44.80%,2022-09-13,/nfl/stat/third-down-conversion-pct
21,22,Houston,33.33%,33.33%,33.33%,33.33%,0,39.75%,2022-09-13,/nfl/stat/third-down-conversion-pct
22,22,Green Bay,33.33%,33.33%,33.33%,0,33.33%,43.46%,2022-09-13,/nfl/stat/third-down-conversion-pct
23,24,New Orleans,30.77%,30.77%,30.77%,0,30.77%,35.45%,2022-09-13,/nfl/stat/third-down-conversion-pct
24,24,Minnesota,30.77%,30.77%,30.77%,30.77%,0,36.40%,2022-09-13,/nfl/stat/third-down-conversion-pct
25,26,Tennessee,27.27%,27.27%,27.27%,27.27%,0,42.62%,2022-09-13,/nfl/stat/third-down-conversion-pct
26,27,Pittsburgh,26.67%,26.67%,26.67%,0,26.67%,39.22%,2022-09-13,/nfl/stat/third-down-conversion-pct
27,28,Jacksonville,25.00%,25.00%,25.00%,0,25.00%,35.85%,2022-09-13,/nfl/stat/third-down-conversion-pct
28,28,Arizona,25.00%,25.00%,25.00%,25.00%,0,43.48%,2022-09-13,/nfl/stat/third-down-conversion-pct
29,30,Dallas,20.00%,20.00%,20.00%,20.00%,0,42.98%,2022-09-13,/nfl/stat/third-down-conversion-pct
30,30,NY Giants,20.00%,20.00%,20.00%,0,20.00%,36.52%,2022-09-13,/nfl/stat/third-down-conversion-pct
31,32,NY Jets,14.29%,14.29%,14.29%,14.29%,0,36.32%,2022-09-13,/nfl/stat/third-down-conversion-pct
