,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Philadelphia,2.0,2.7,3.0,3.0,1.0,-0.2,2022-10-25,/nfl/stat/turnover-margin-per-game
1,2,Dallas,0.9,1.3,4.0,1.3,0.3,0.8,2022-10-25,/nfl/stat/turnover-margin-per-game
2,3,Arizona,0.7,0.3,3.0,1.0,0.3,0.6,2022-10-25,/nfl/stat/turnover-margin-per-game
3,3,Baltimore,0.7,0.0,1.0,0.8,0.7,-0.6,2022-10-25,/nfl/stat/turnover-margin-per-game
4,5,Minnesota,0.7,1.3,3.0,0.7,0.7,0.6,2022-10-25,/nfl/stat/turnover-margin-per-game
5,6,Tennessee,0.5,2.0,2.0,1.0,0.0,-0.3,2022-10-25,/nfl/stat/turnover-margin-per-game
6,6,Buffalo,0.5,0.3,1.0,2.0,-0.3,0.5,2022-10-25,/nfl/stat/turnover-margin-per-game
7,8,Tampa Bay,0.4,0.0,0.0,-0.3,1.0,0.8,2022-10-25,/nfl/stat/turnover-margin-per-game
8,8,NY Giants,0.4,0.7,1.0,0.8,0.0,-0.5,2022-10-25,/nfl/stat/turnover-margin-per-game
9,10,Houston,0.3,0.0,-1.0,0.0,0.5,0.2,2022-10-25,/nfl/stat/turnover-margin-per-game
10,11,Atlanta,0.3,1.0,0.0,1.0,-0.3,-0.4,2022-10-25,/nfl/stat/turnover-margin-per-game
11,11,NY Jets,0.3,1.3,1.0,-0.7,1.0,-0.8,2022-10-25,/nfl/stat/turnover-margin-per-game
12,11,LA Chargers,0.3,0.3,0.0,0.3,0.3,-0.1,2022-10-25,/nfl/stat/turnover-margin-per-game
13,11,Seattle,0.3,0.7,0.0,1.0,-0.3,0.3,2022-10-25,/nfl/stat/turnover-margin-per-game
14,15,Chicago,0.1,0.3,3.0,-0.3,0.5,-0.8,2022-10-25,/nfl/stat/turnover-margin-per-game
15,16,Kansas City,0.0,0.0,1.0,0.0,0.0,0.1,2022-10-25,/nfl/stat/turnover-margin-per-game
16,16,Cincinnati,0.0,-0.3,0.0,-1.0,0.8,0.3,2022-10-25,/nfl/stat/turnover-margin-per-game
17,18,Jacksonville,-0.1,-1.3,-1.0,0.0,-0.3,-1.2,2022-10-25,/nfl/stat/turnover-margin-per-game
18,18,Denver,-0.1,-0.3,-1.0,0.3,-0.7,0.1,2022-10-25,/nfl/stat/turnover-margin-per-game
19,20,Las Vegas,-0.2,0.7,1.0,0.7,-1.0,-0.6,2022-10-25,/nfl/stat/turnover-margin-per-game
20,21,Pittsburgh,-0.3,-1.0,-3.0,-1.0,0.3,0.2,2022-10-25,/nfl/stat/turnover-margin-per-game
21,21,Miami,-0.3,-0.7,3.0,1.0,-2.0,0.0,2022-10-25,/nfl/stat/turnover-margin-per-game
22,21,New England,-0.3,0.3,-3.0,-1.3,0.5,0.3,2022-10-25,/nfl/stat/turnover-margin-per-game
23,21,Carolina,-0.3,0.0,0.0,0.0,-1.0,-0.8,2022-10-25,/nfl/stat/turnover-margin-per-game
24,25,San Francisco,-0.4,-1.3,-1.0,1.3,-1.8,-0.2,2022-10-25,/nfl/stat/turnover-margin-per-game
25,26,Cleveland,-0.6,-1.7,-1.0,-0.8,-0.3,-0.2,2022-10-25,/nfl/stat/turnover-margin-per-game
26,26,Green Bay,-0.6,-0.3,0.0,-0.7,-0.5,0.7,2022-10-25,/nfl/stat/turnover-margin-per-game
27,28,Washington,-0.7,0.3,0.0,-1.0,-0.3,-0.3,2022-10-25,/nfl/stat/turnover-margin-per-game
28,29,LA Rams,-0.8,-1.7,0.0,-0.5,-1.5,0.0,2022-10-25,/nfl/stat/turnover-margin-per-game
29,30,Detroit,-1.0,-2.0,-4.0,-0.3,-1.7,-0.2,2022-10-25,/nfl/stat/turnover-margin-per-game
30,30,Indianapolis,-1.0,-0.3,-2.0,-0.3,-1.5,0.8,2022-10-25,/nfl/stat/turnover-margin-per-game
31,32,New Orleans,-1.4,-1.0,-3.0,-1.3,-1.5,0.4,2022-10-25,/nfl/stat/turnover-margin-per-game
