,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Buffalo,416.4,376.3,317.0,445.0,399.2,389.3,2022-11-09,/nfl/stat/yards-per-game
1,2,Kansas City,415.3,471.7,499.0,393.3,437.3,407.6,2022-11-09,/nfl/stat/yards-per-game
2,3,New Orleans,394.4,420.0,367.0,378.0,410.8,304.5,2022-11-09,/nfl/stat/yards-per-game
3,4,Philadelphia,391.0,343.0,360.0,389.0,393.0,358.8,2022-11-09,/nfl/stat/yards-per-game
4,5,Cleveland,385.8,368.0,440.0,398.4,364.7,340.6,2022-11-09,/nfl/stat/yards-per-game
5,6,Miami,380.4,409.0,379.0,337.3,415.0,307.0,2022-11-09,/nfl/stat/yards-per-game
6,7,Detroit,377.3,319.7,254.0,395.6,346.7,322.6,2022-11-09,/nfl/stat/yards-per-game
7,8,Jacksonville,367.4,386.7,403.0,402.0,339.8,305.4,2022-11-09,/nfl/stat/yards-per-game
8,9,LA Chargers,364.3,320.7,336.0,323.3,405.3,390.2,2022-11-09,/nfl/stat/yards-per-game
9,10,Cincinnati,361.8,410.0,464.0,451.0,290.4,355.3,2022-11-09,/nfl/stat/yards-per-game
10,11,Seattle,359.8,367.3,421.0,311.5,398.4,323.9,2022-11-09,/nfl/stat/yards-per-game
11,12,Baltimore,359.4,371.0,453.0,337.0,381.8,378.8,2022-11-09,/nfl/stat/yards-per-game
12,13,San Francisco,356.6,386.0,368.0,381.3,341.8,361.1,2022-11-09,/nfl/stat/yards-per-game
13,14,Green Bay,345.3,339.7,389.0,378.3,328.8,359.9,2022-11-09,/nfl/stat/yards-per-game
14,15,Minnesota,340.1,305.3,301.0,394.5,285.8,362.8,2022-11-09,/nfl/stat/yards-per-game
15,16,Las Vegas,338.4,301.3,321.0,369.7,319.6,364.9,2022-11-09,/nfl/stat/yards-per-game
16,17,Arizona,337.7,321.0,262.0,319.6,360.3,363.1,2022-11-09,/nfl/stat/yards-per-game
17,18,NY Jets,335.0,319.0,310.0,345.4,322.0,306.4,2022-11-09,/nfl/stat/yards-per-game
18,19,Tampa Bay,331.8,331.3,323.0,350.6,308.3,400.5,2022-11-09,/nfl/stat/yards-per-game
19,20,Denver,328.9,304.3,331.0,327.5,330.3,330.5,2022-11-09,/nfl/stat/yards-per-game
20,21,Washington,323.4,329.7,263.0,328.4,317.3,323.6,2022-11-09,/nfl/stat/yards-per-game
21,22,Dallas,322.1,362.3,442.0,326.4,315.0,401.4,2022-11-09,/nfl/stat/yards-per-game
22,23,Chicago,321.1,376.3,368.0,331.5,312.8,307.4,2022-11-09,/nfl/stat/yards-per-game
23,24,NY Giants,320.6,299.7,225.0,293.0,348.3,287.3,2022-11-09,/nfl/stat/yards-per-game
24,25,Atlanta,320.1,311.7,315.0,351.8,280.5,303.8,2022-11-09,/nfl/stat/yards-per-game
25,26,New England,319.9,250.3,203.0,318.5,321.0,350.7,2022-11-09,/nfl/stat/yards-per-game
26,27,Indianapolis,315.1,245.7,121.0,345.5,290.8,347.1,2022-11-09,/nfl/stat/yards-per-game
27,28,Pittsburgh,299.0,304.3,302.0,270.0,316.4,312.1,2022-11-09,/nfl/stat/yards-per-game
28,29,Houston,290.5,289.3,303.0,277.3,303.8,278.1,2022-11-09,/nfl/stat/yards-per-game
29,30,Carolina,289.9,349.7,228.0,285.0,296.0,298.9,2022-11-09,/nfl/stat/yards-per-game
30,31,LA Rams,286.0,263.0,206.0,297.2,267.3,373.2,2022-11-09,/nfl/stat/yards-per-game
31,32,Tennessee,278.5,279.0,229.0,324.7,250.8,343.1,2022-11-09,/nfl/stat/yards-per-game
