,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Buffalo,6.6,7.0,6.2,8.1,6.0,5.9,2022-10-18,/nfl/stat/yards-per-play
1,2,Seattle,6.2,7.0,4.5,5.3,7.3,5.8,2022-10-18,/nfl/stat/yards-per-play
2,3,Baltimore,6.2,5.6,7.0,6.1,6.3,5.4,2022-10-18,/nfl/stat/yards-per-play
3,4,Detroit,6.2,6.1,4.9,6.9,5.2,5.2,2022-10-18,/nfl/stat/yards-per-play
4,5,Miami,6.1,5.8,6.3,5.7,6.4,4.8,2022-10-18,/nfl/stat/yards-per-play
5,6,Kansas City,5.9,5.7,6.3,5.8,6.0,6.1,2022-10-18,/nfl/stat/yards-per-play
6,7,New Orleans,5.9,5.8,5.6,5.4,6.5,4.9,2022-10-18,/nfl/stat/yards-per-play
7,8,New England,5.9,5.8,6.1,6.8,5.4,5.7,2022-10-18,/nfl/stat/yards-per-play
8,9,Las Vegas,5.8,5.9,6.8,5.3,6.2,5.7,2022-10-18,/nfl/stat/yards-per-play
9,10,San Francisco,5.7,6.4,6.1,5.9,5.7,6.0,2022-10-18,/nfl/stat/yards-per-play
10,11,Jacksonville,5.6,5.7,6.4,5.4,5.8,5.0,2022-10-18,/nfl/stat/yards-per-play
11,12,Cleveland,5.6,5.8,4.9,5.8,5.2,5.5,2022-10-18,/nfl/stat/yards-per-play
12,13,Philadelphia,5.6,4.8,3.9,5.4,5.7,5.7,2022-10-18,/nfl/stat/yards-per-play
13,14,Atlanta,5.5,5.1,5.2,5.7,5.3,5.1,2022-10-18,/nfl/stat/yards-per-play
14,15,LA Chargers,5.4,5.4,3.6,4.7,6.1,5.9,2022-10-18,/nfl/stat/yards-per-play
15,16,Minnesota,5.4,5.3,4.7,5.9,4.8,5.7,2022-10-18,/nfl/stat/yards-per-play
16,17,Green Bay,5.4,5.1,4.0,5.5,5.2,5.8,2022-10-18,/nfl/stat/yards-per-play
17,18,Denver,5.3,5.4,4.7,4.8,5.9,5.4,2022-10-18,/nfl/stat/yards-per-play
18,19,Chicago,5.3,5.5,5.7,5.1,5.4,4.9,2022-10-18,/nfl/stat/yards-per-play
19,20,NY Jets,5.2,5.4,5.2,4.9,5.5,5.0,2022-10-18,/nfl/stat/yards-per-play
20,21,Tampa Bay,5.1,5.4,4.5,5.6,4.7,5.9,2022-10-18,/nfl/stat/yards-per-play
21,22,NY Giants,5.1,5.0,3.8,4.5,6.3,4.7,2022-10-18,/nfl/stat/yards-per-play
22,23,Dallas,5.0,4.8,4.9,4.8,5.3,5.9,2022-10-18,/nfl/stat/yards-per-play
23,24,Indianapolis,5.0,5.3,5.9,5.1,4.9,5.6,2022-10-18,/nfl/stat/yards-per-play
24,25,Cincinnati,5.0,5.7,6.4,5.1,5.0,5.7,2022-10-18,/nfl/stat/yards-per-play
25,26,Houston,5.0,5.6,4.4,5.3,4.7,4.7,2022-10-18,/nfl/stat/yards-per-play
26,27,LA Rams,5.0,4.7,5.7,4.9,5.0,5.9,2022-10-18,/nfl/stat/yards-per-play
27,28,Tennessee,4.9,5.0,3.9,6.3,4.0,5.2,2022-10-18,/nfl/stat/yards-per-play
28,29,Carolina,4.8,4.6,4.6,4.8,4.9,4.6,2022-10-18,/nfl/stat/yards-per-play
29,30,Washington,4.8,4.9,4.0,5.0,4.6,5.1,2022-10-18,/nfl/stat/yards-per-play
30,31,Arizona,4.8,4.8,4.4,4.7,4.9,5.5,2022-10-18,/nfl/stat/yards-per-play
31,32,Pittsburgh,4.8,4.8,4.4,4.5,5.0,4.8,2022-10-18,/nfl/stat/yards-per-play
