,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Kansas City,12.0,12.5,12.3,12.1,12.0,13.9,2022-10-11,/nfl/stat/yards-per-point
1,2,Baltimore,12.8,13.4,17.1,14.2,11.0,16.6,2022-10-11,/nfl/stat/yards-per-point
2,3,Atlanta,14.0,15.1,17.4,15.3,13.2,16.5,2022-10-11,/nfl/stat/yards-per-point
3,4,Las Vegas,14.4,14.0,13.0,12.9,15.6,16.7,2022-10-11,/nfl/stat/yards-per-point
4,5,Buffalo,14.5,17.2,14.5,12.2,16.9,13.1,2022-10-11,/nfl/stat/yards-per-point
5,6,Seattle,14.5,13.3,12.4,16.8,13.4,13.9,2022-10-11,/nfl/stat/yards-per-point
6,7,Tennessee,14.5,12.2,11.5,16.4,12.9,14.2,2022-10-11,/nfl/stat/yards-per-point
7,8,Carolina,14.6,15.5,20.5,14.1,17.2,16.7,2022-10-11,/nfl/stat/yards-per-point
8,9,Detroit,14.7,18.1,0,11.5,30.3,16.9,2022-10-11,/nfl/stat/yards-per-point
9,10,Cleveland,14.9,15.9,15.8,14.1,16.5,16.6,2022-10-11,/nfl/stat/yards-per-point
10,11,Miami,15.1,16.7,17.4,12.7,16.5,15.3,2022-10-11,/nfl/stat/yards-per-point
11,12,NY Jets,15.3,13.1,8.1,16.9,13.6,16.8,2022-10-11,/nfl/stat/yards-per-point
12,13,Cincinnati,15.5,14.0,17.1,17.1,14.3,13.5,2022-10-11,/nfl/stat/yards-per-point
13,14,Philadelphia,15.5,15.9,17.9,16.7,14.8,14.1,2022-10-11,/nfl/stat/yards-per-point
14,15,San Francisco,15.7,14.0,10.7,13.7,17.5,15.0,2022-10-11,/nfl/stat/yards-per-point
15,16,Minnesota,15.7,13.5,14.8,15.0,17.4,14.5,2022-10-11,/nfl/stat/yards-per-point
16,17,Jacksonville,15.9,16.2,70.3,25.1,12.5,20.5,2022-10-11,/nfl/stat/yards-per-point
17,18,Chicago,15.9,16.5,12.3,13.5,18.3,16.8,2022-10-11,/nfl/stat/yards-per-point
18,19,LA Chargers,16.0,16.2,15.5,19.6,14.6,14.0,2022-10-11,/nfl/stat/yards-per-point
19,20,Dallas,16.0,13.0,10.9,17.9,14.0,13.2,2022-10-11,/nfl/stat/yards-per-point
20,21,NY Giants,16.2,16.0,12.5,17.0,15.3,18.9,2022-10-11,/nfl/stat/yards-per-point
21,22,Tampa Bay,16.4,16.9,20.0,16.9,15.6,13.4,2022-10-11,/nfl/stat/yards-per-point
22,23,New Orleans,16.5,15.4,11.2,15.2,17.4,14.2,2022-10-11,/nfl/stat/yards-per-point
23,24,Arizona,16.8,19.4,21.4,20.2,13.7,14.2,2022-10-11,/nfl/stat/yards-per-point
24,25,New England,16.8,13.7,12.6,14.7,19.1,13.2,2022-10-11,/nfl/stat/yards-per-point
25,26,Houston,16.9,16.2,19.1,14.7,19.3,16.9,2022-10-11,/nfl/stat/yards-per-point
26,27,Green Bay,18.7,16.8,13.7,15.9,22.2,14.1,2022-10-11,/nfl/stat/yards-per-point
27,28,LA Rams,18.7,23.6,32.3,17.7,20.6,13.8,2022-10-11,/nfl/stat/yards-per-point
28,29,Washington,19.0,26.3,22.6,19.2,18.7,16.4,2022-10-11,/nfl/stat/yards-per-point
29,30,Pittsburgh,19.2,24.2,121.3,15.9,21.8,15.4,2022-10-11,/nfl/stat/yards-per-point
30,31,Denver,22.9,21.7,41.7,27.4,18.8,16.8,2022-10-11,/nfl/stat/yards-per-point
31,32,Indianapolis,24.1,19.0,25.5,16.9,32.5,13.1,2022-10-11,/nfl/stat/yards-per-point
