,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Detroit,5.9,5.7,5.8,6.7,4.0,4.4,2022-10-05,/nfl/stat/yards-per-rush-attempt
1,2,NY Giants,5.7,5.2,6.0,5.2,7.4,4.0,2022-10-05,/nfl/stat/yards-per-rush-attempt
2,3,Baltimore,5.4,6.0,4.9,5.5,5.3,4.8,2022-10-05,/nfl/stat/yards-per-rush-attempt
3,4,Chicago,5.2,6.2,4.7,4.9,5.6,4.2,2022-10-05,/nfl/stat/yards-per-rush-attempt
4,5,Seattle,5.2,5.5,7.1,4.5,5.8,5.0,2022-10-05,/nfl/stat/yards-per-rush-attempt
5,6,Atlanta,5.1,5.1,5.8,5.5,4.6,3.7,2022-10-05,/nfl/stat/yards-per-rush-attempt
6,7,New Orleans,5.1,4.3,4.1,5.0,5.1,3.9,2022-10-05,/nfl/stat/yards-per-rush-attempt
7,8,Cleveland,5.0,4.8,5.1,4.7,5.3,5.1,2022-10-05,/nfl/stat/yards-per-rush-attempt
8,9,Green Bay,5.0,4.8,5.7,5.5,4.1,4.2,2022-10-05,/nfl/stat/yards-per-rush-attempt
9,10,Las Vegas,5.0,5.0,5.6,4.9,5.0,4.0,2022-10-05,/nfl/stat/yards-per-rush-attempt
10,11,Buffalo,4.8,4.7,5.0,4.2,4.9,4.8,2022-10-05,/nfl/stat/yards-per-rush-attempt
11,12,Houston,4.5,5.4,9.4,5.0,4.1,3.4,2022-10-05,/nfl/stat/yards-per-rush-attempt
12,13,New England,4.5,4.7,5.1,5.2,4.3,4.4,2022-10-05,/nfl/stat/yards-per-rush-attempt
13,14,Carolina,4.5,4.9,3.1,3.8,6.3,4.0,2022-10-05,/nfl/stat/yards-per-rush-attempt
14,15,Kansas City,4.5,4.4,5.1,5.2,4.3,4.7,2022-10-05,/nfl/stat/yards-per-rush-attempt
15,16,Minnesota,4.4,4.4,3.2,4.7,4.0,4.3,2022-10-05,/nfl/stat/yards-per-rush-attempt
16,17,San Francisco,4.4,4.2,4.0,4.1,4.7,4.3,2022-10-05,/nfl/stat/yards-per-rush-attempt
17,18,Philadelphia,4.3,3.9,4.2,4.4,4.2,5.0,2022-10-05,/nfl/stat/yards-per-rush-attempt
18,19,Denver,4.2,4.0,4.3,3.9,4.7,4.5,2022-10-05,/nfl/stat/yards-per-rush-attempt
19,20,Arizona,4.1,4.0,3.6,4.0,4.2,4.2,2022-10-05,/nfl/stat/yards-per-rush-attempt
20,21,Washington,4.1,4.5,5.3,3.4,4.8,4.3,2022-10-05,/nfl/stat/yards-per-rush-attempt
21,22,NY Jets,4.1,3.9,3.4,4.3,3.9,4.4,2022-10-05,/nfl/stat/yards-per-rush-attempt
22,23,Pittsburgh,4.0,4.2,3.8,4.0,4.1,3.8,2022-10-05,/nfl/stat/yards-per-rush-attempt
23,24,Jacksonville,4.0,3.5,3.7,2.6,4.7,4.5,2022-10-05,/nfl/stat/yards-per-rush-attempt
24,25,Dallas,4.0,4.0,2.1,3.2,5.9,4.4,2022-10-05,/nfl/stat/yards-per-rush-attempt
25,26,Tennessee,3.8,3.9,4.5,3.8,3.8,4.4,2022-10-05,/nfl/stat/yards-per-rush-attempt
26,27,Indianapolis,3.5,2.8,1.7,2.4,4.5,5.1,2022-10-05,/nfl/stat/yards-per-rush-attempt
27,28,Miami,3.5,3.7,3.9,2.7,4.3,3.5,2022-10-05,/nfl/stat/yards-per-rush-attempt
28,29,LA Rams,3.3,3.5,3.2,2.7,4.1,3.7,2022-10-05,/nfl/stat/yards-per-rush-attempt
29,30,Tampa Bay,3.1,2.2,0.5,1.9,3.6,4.3,2022-10-05,/nfl/stat/yards-per-rush-attempt
30,31,Cincinnati,3.1,2.7,2.2,3.1,3.0,4.0,2022-10-05,/nfl/stat/yards-per-rush-attempt
31,32,LA Chargers,2.7,2.9,3.0,2.4,3.1,4.3,2022-10-05,/nfl/stat/yards-per-rush-attempt
