,Date,Opponent,Result,Location,W/L,Div,asof,url
0,09/11,Philadelphia,L 35-38,Home,0-1,0-0,2022-09-22 17:54:30.058267,/nfl/team/detroit-lions/
1,09/18,Washington,W 36-27,Home,1-1,0-0,2022-09-22 17:54:30.058267,/nfl/team/detroit-lions/
2,09/25,Minnesota,1:00 pm,Away,,,2022-09-22 17:54:30.058267,/nfl/team/detroit-lions/
3,10/02,Seattle,1:00 pm,Home,,,2022-09-22 17:54:30.058267,/nfl/team/detroit-lions/
4,10/09,New England,1:00 pm,Away,,,2022-09-22 17:54:30.058267,/nfl/team/detroit-lions/
5,10/23,Dallas,1:00 pm,Away,,,2022-09-22 17:54:30.058267,/nfl/team/detroit-lions/
6,10/30,Miami,1:00 pm,Home,,,2022-09-22 17:54:30.058267,/nfl/team/detroit-lions/
7,11/06,Green Bay,1:00 pm,Home,,,2022-09-22 17:54:30.058267,/nfl/team/detroit-lions/
8,11/13,Chicago,1:00 pm,Away,,,2022-09-22 17:54:30.058267,/nfl/team/detroit-lions/
9,11/20,NY Giants,1:00 pm,Away,,,2022-09-22 17:54:30.058267,/nfl/team/detroit-lions/
10,11/24,Buffalo,12:30 pm,Home,,,2022-09-22 17:54:30.058267,/nfl/team/detroit-lions/
11,12/04,Jacksonville,1:00 pm,Home,,,2022-09-22 17:54:30.058267,/nfl/team/detroit-lions/
12,12/11,Minnesota,1:00 pm,Home,,,2022-09-22 17:54:30.058267,/nfl/team/detroit-lions/
13,12/18,NY Jets,1:00 pm,Away,,,2022-09-22 17:54:30.058267,/nfl/team/detroit-lions/
14,12/24,Carolina,1:00 pm,Away,,,2022-09-22 17:54:30.058267,/nfl/team/detroit-lions/
15,01/01,Chicago,1:00 pm,Home,,,2022-09-22 17:54:30.058267,/nfl/team/detroit-lions/
16,01/08,Green Bay,12:00 pm,Away,,,2022-09-22 17:54:30.058267,/nfl/team/detroit-lions/
