,Date,Opponent,Result,Location,W/L,Div,asof,url
0,09/11,Arizona,W 44-21,Away,1-0,0-0,2022-09-22 17:54:36.999760,/nfl/team/kansas-city-chiefs/
1,09/15,LA Chargers,W 27-24,Home,2-0,1-0,2022-09-22 17:54:36.999760,/nfl/team/kansas-city-chiefs/
2,09/25,Indianapolis,1:00 pm,Away,,,2022-09-22 17:54:36.999760,/nfl/team/kansas-city-chiefs/
3,10/02,Tampa Bay,8:20 pm,Away,,,2022-09-22 17:54:36.999760,/nfl/team/kansas-city-chiefs/
4,10/10,Las Vegas,8:15 pm,Home,,,2022-09-22 17:54:36.999760,/nfl/team/kansas-city-chiefs/
5,10/16,Buffalo,4:25 pm,Home,,,2022-09-22 17:54:36.999760,/nfl/team/kansas-city-chiefs/
6,10/23,San Francisco,4:25 pm,Away,,,2022-09-22 17:54:36.999760,/nfl/team/kansas-city-chiefs/
7,11/06,Tennessee,8:20 pm,Home,,,2022-09-22 17:54:36.999760,/nfl/team/kansas-city-chiefs/
8,11/13,Jacksonville,1:00 pm,Home,,,2022-09-22 17:54:36.999760,/nfl/team/kansas-city-chiefs/
9,11/20,LA Chargers,4:25 pm,Away,,,2022-09-22 17:54:36.999760,/nfl/team/kansas-city-chiefs/
10,11/27,LA Rams,4:25 pm,Home,,,2022-09-22 17:54:36.999760,/nfl/team/kansas-city-chiefs/
11,12/04,Cincinnati,4:25 pm,Away,,,2022-09-22 17:54:36.999760,/nfl/team/kansas-city-chiefs/
12,12/11,Denver,8:20 pm,Away,,,2022-09-22 17:54:36.999760,/nfl/team/kansas-city-chiefs/
13,12/18,Houston,1:00 pm,Away,,,2022-09-22 17:54:36.999760,/nfl/team/kansas-city-chiefs/
14,12/24,Seattle,1:00 pm,Home,,,2022-09-22 17:54:36.999760,/nfl/team/kansas-city-chiefs/
15,01/01,Denver,1:00 pm,Home,,,2022-09-22 17:54:36.999760,/nfl/team/kansas-city-chiefs/
16,01/08,Las Vegas,12:00 pm,Away,,,2022-09-22 17:54:36.999760,/nfl/team/kansas-city-chiefs/
