,Date,Opponent,Result,Location,W/L,Div,asof,url
0,09/08,Buffalo,L 10-31,Home,0-1,0-0,2022-09-22 17:54:42.554955,/nfl/team/los-angeles-rams/
1,09/18,Atlanta,W 31-27,Home,1-1,0-0,2022-09-22 17:54:42.554955,/nfl/team/los-angeles-rams/
2,09/25,Arizona,4:25 pm,Away,,,2022-09-22 17:54:42.554955,/nfl/team/los-angeles-rams/
3,10/03,San Francisco,8:15 pm,Away,,,2022-09-22 17:54:42.554955,/nfl/team/los-angeles-rams/
4,10/09,Dallas,4:25 pm,Home,,,2022-09-22 17:54:42.554955,/nfl/team/los-angeles-rams/
5,10/16,Carolina,4:05 pm,Home,,,2022-09-22 17:54:42.554955,/nfl/team/los-angeles-rams/
6,10/30,San Francisco,4:25 pm,Home,,,2022-09-22 17:54:42.554955,/nfl/team/los-angeles-rams/
7,11/06,Tampa Bay,4:25 pm,Away,,,2022-09-22 17:54:42.554955,/nfl/team/los-angeles-rams/
8,11/13,Arizona,4:25 pm,Home,,,2022-09-22 17:54:42.554955,/nfl/team/los-angeles-rams/
9,11/20,New Orleans,1:00 pm,Away,,,2022-09-22 17:54:42.554955,/nfl/team/los-angeles-rams/
10,11/27,Kansas City,4:25 pm,Away,,,2022-09-22 17:54:42.554955,/nfl/team/los-angeles-rams/
11,12/04,Seattle,4:05 pm,Home,,,2022-09-22 17:54:42.554955,/nfl/team/los-angeles-rams/
12,12/08,Las Vegas,8:15 pm,Home,,,2022-09-22 17:54:42.554955,/nfl/team/los-angeles-rams/
13,12/19,Green Bay,8:15 pm,Away,,,2022-09-22 17:54:42.554955,/nfl/team/los-angeles-rams/
14,12/25,Denver,4:30 pm,Home,,,2022-09-22 17:54:42.554955,/nfl/team/los-angeles-rams/
15,01/01,LA Chargers,8:20 pm,Away,,,2022-09-22 17:54:42.554955,/nfl/team/los-angeles-rams/
16,01/08,Seattle,12:00 pm,Away,,,2022-09-22 17:54:42.554955,/nfl/team/los-angeles-rams/
