,Date,Opponent,Result,Location,W/L,Div,asof,url
0,09/11,Jacksonville,W 28-22,Home,1-0,0-0,2022-09-22 17:54:59.068388,/nfl/team/washington-commanders/
1,09/18,Detroit,L 27-36,Away,1-1,0-0,2022-09-22 17:54:59.068388,/nfl/team/washington-commanders/
2,09/25,Philadelphia,1:00 pm,Home,,,2022-09-22 17:54:59.068388,/nfl/team/washington-commanders/
3,10/02,Dallas,1:00 pm,Away,,,2022-09-22 17:54:59.068388,/nfl/team/washington-commanders/
4,10/09,Tennessee,1:00 pm,Home,,,2022-09-22 17:54:59.068388,/nfl/team/washington-commanders/
5,10/13,Chicago,8:15 pm,Away,,,2022-09-22 17:54:59.068388,/nfl/team/washington-commanders/
6,10/23,Green Bay,1:00 pm,Home,,,2022-09-22 17:54:59.068388,/nfl/team/washington-commanders/
7,10/30,Indianapolis,4:25 pm,Away,,,2022-09-22 17:54:59.068388,/nfl/team/washington-commanders/
8,11/06,Minnesota,1:00 pm,Home,,,2022-09-22 17:54:59.068388,/nfl/team/washington-commanders/
9,11/14,Philadelphia,8:15 pm,Away,,,2022-09-22 17:54:59.068388,/nfl/team/washington-commanders/
10,11/20,Houston,1:00 pm,Away,,,2022-09-22 17:54:59.068388,/nfl/team/washington-commanders/
11,11/27,Atlanta,1:00 pm,Home,,,2022-09-22 17:54:59.068388,/nfl/team/washington-commanders/
12,12/04,NY Giants,1:00 pm,Away,,,2022-09-22 17:54:59.068388,/nfl/team/washington-commanders/
13,12/18,NY Giants,12:00 pm,Home,,,2022-09-22 17:54:59.068388,/nfl/team/washington-commanders/
14,12/24,San Francisco,4:05 pm,Away,,,2022-09-22 17:54:59.068388,/nfl/team/washington-commanders/
15,01/01,Cleveland,1:00 pm,Home,,,2022-09-22 17:54:59.068388,/nfl/team/washington-commanders/
16,01/08,Dallas,12:00 pm,Home,,,2022-09-22 17:54:59.068388,/nfl/team/washington-commanders/
