,year,total_su,total_ats,fav_su,fav_ats,home_su,home_ats,home_fav_su,home_fav_ats,home_dog_su,home_dog_ats,under_overs
0,2021,13-4 (76.5%),11-5-1 (68.8%),10-3 (76.9%),7-5-1 (58.3%),8-0 (100.0%),7-1 (87.5%),7-0 (100.0%),6-1 (85.7%),1-0 (100.0%),1-0 (100.0%),8-9 (47.1%)
1,2020,13-3 (81.3%),10-5-1 (66.7%),11-2 (84.6%),8-4-1 (66.7%),7-1 (87.5%),5-2-1 (71.4%),7-1 (87.5%),5-2-1 (71.4%),0-0 (0.0%),0-0 (0.0%),9-7 (56.3%)
2,2019,13-3 (81.3%),10-6 (62.5%),10-2 (83.3%),7-5 (58.3%),7-1 (87.5%),5-3 (62.5%),7-1 (87.5%),5-3 (62.5%),0-0 (0.0%),0-0 (0.0%),6-10 (37.5%)
3,2018,6-9-1 (40.0%),6-9-1 (40.0%),6-3 (66.7%),4-5 (44.4%),5-2-1 (71.4%),4-4 (50.0%),5-2 (71.4%),3-4 (42.9%),0-0-1 (0.0%),1-0 (100.0%),8-8 (50.0%)
4,2017,7-9 (43.8%),7-9 (43.8%),5-1 (83.3%),4-2 (66.7%),4-4 (50.0%),3-5 (37.5%),4-0 (100.0%),3-1 (75.0%),0-4 (0.0%),0-4 (0.0%),11-5 (68.8%)
5,2016,10-6 (62.5%),9-6-1 (60.0%),8-4 (66.7%),6-5-1 (54.5%),6-2 (75.0%),5-2-1 (71.4%),5-2 (71.4%),4-2-1 (66.7%),1-0 (100.0%),1-0 (100.0%),10-6 (62.5%)
6,2015,10-6 (62.5%),9-7 (56.3%),9-5 (64.3%),8-6 (57.1%),5-3 (62.5%),4-4 (50.0%),5-3 (62.5%),4-4 (50.0%),0-0 (0.0%),0-0 (0.0%),5-11 (31.3%)
7,2014,12-4 (75.0%),9-7 (56.3%),12-1 (92.3%),9-4 (69.2%),8-0 (100.0%),6-2 (75.0%),8-0 (100.0%),6-2 (75.0%),0-0 (0.0%),0-0 (0.0%),11-5 (68.8%)
8,2013,8-7-1 (53.3%),6-9-1 (40.0%),7-3-1 (70.0%),5-5-1 (50.0%),4-3-1 (57.1%),3-5 (37.5%),4-2-1 (66.7%),3-4 (42.9%),0-1 (0.0%),0-1 (0.0%),9-7 (56.3%)
9,2012,11-5 (68.8%),9-7 (56.3%),10-4 (71.4%),8-6 (57.1%),7-1 (87.5%),5-3 (62.5%),7-1 (87.5%),5-3 (62.5%),0-0 (0.0%),0-0 (0.0%),8-8 (50.0%)
10,2011,15-1 (93.8%),11-5 (68.8%),14-1 (93.3%),10-5 (66.7%),8-0 (100.0%),7-1 (87.5%),7-0 (100.0%),6-1 (85.7%),1-0 (100.0%),1-0 (100.0%),11-5 (68.8%)
11,2010,10-6 (62.5%),9-7 (56.3%),9-4 (69.2%),7-6 (53.8%),7-1 (87.5%),5-3 (62.5%),7-1 (87.5%),5-3 (62.5%),0-0 (0.0%),0-0 (0.0%),6-10 (37.5%)
12,2009,11-5 (68.8%),11-4-1 (73.3%),9-3 (75.0%),8-3-1 (72.7%),6-2 (75.0%),5-2-1 (71.4%),5-2 (71.4%),4-2-1 (66.7%),1-0 (100.0%),1-0 (100.0%),8-8 (50.0%)
13,2008,6-10 (37.5%),8-8 (50.0%),4-4 (50.0%),3-5 (37.5%),4-4 (50.0%),3-5 (37.5%),3-3 (50.0%),2-4 (33.3%),1-1 (50.0%),1-1 (50.0%),9-7 (56.3%)
14,2007,13-3 (81.3%),12-3-1 (80.0%),8-2 (80.0%),7-2-1 (77.8%),7-1 (87.5%),6-1-1 (85.7%),5-1 (83.3%),4-1-1 (80.0%),2-0 (100.0%),2-0 (100.0%),11-4-1 (73.3%)
15,2006,8-8 (50.0%),7-8-1 (46.7%),3-0 (100.0%),2-1 (66.7%),3-5 (37.5%),2-6 (25.0%),3-0 (100.0%),2-1 (66.7%),0-4 (0.0%),0-4 (0.0%),6-10 (37.5%)
16,2005,4-12 (25.0%),4-9-3 (30.8%),3-2 (60.0%),2-3 (40.0%),3-5 (37.5%),3-4-1 (42.9%),3-2 (60.0%),2-3 (40.0%),0-3 (0.0%),1-1-1 (50.0%),6-10 (37.5%)
17,2004,10-6 (62.5%),7-8-1 (46.7%),6-4 (60.0%),3-6-1 (33.3%),4-4 (50.0%),2-6 (25.0%),4-4 (50.0%),2-6 (25.0%),0-0 (0.0%),0-0 (0.0%),11-5 (68.8%)
18,2003,10-6 (62.5%),10-6 (62.5%),8-5 (61.5%),8-5 (61.5%),5-3 (62.5%),5-3 (62.5%),5-3 (62.5%),5-3 (62.5%),0-0 (0.0%),0-0 (0.0%),9-7 (56.3%)
19,2002,12-4 (75.0%),8-8 (50.0%),9-3 (75.0%),5-7 (41.7%),8-0 (100.0%),5-3 (62.5%),8-0 (100.0%),5-3 (62.5%),0-0 (0.0%),0-0 (0.0%),9-7 (56.3%)
20,2001,12-4 (75.0%),9-7 (56.3%),11-3 (78.6%),8-6 (57.1%),7-1 (87.5%),5-3 (62.5%),6-1 (85.7%),4-3 (57.1%),0-0 (0.0%),0-0 (0.0%),8-7-1 (53.3%)
21,2000,9-7 (56.3%),8-8 (50.0%),5-2 (71.4%),3-4 (42.9%),6-2 (75.0%),4-4 (50.0%),4-2 (66.7%),2-4 (33.3%),2-0 (100.0%),2-0 (100.0%),8-8 (50.0%)
22,1999,8-8 (50.0%),7-9 (43.8%),7-6 (53.8%),5-8 (38.5%),5-3 (62.5%),3-5 (37.5%),4-3 (57.1%),2-5 (28.6%),0-0 (0.0%),0-0 (0.0%),9-7 (56.3%)
23,1998,11-5 (68.8%),6-8-2 (42.9%),11-4 (73.3%),6-7-2 (46.2%),7-1 (87.5%),5-3 (62.5%),7-1 (87.5%),5-3 (62.5%),0-0 (0.0%),0-0 (0.0%),11-5 (68.8%)
24,1997,13-3 (81.3%),6-8-2 (42.9%),12-3 (80.0%),5-8-2 (38.5%),8-0 (100.0%),2-4-2 (33.3%),8-0 (100.0%),2-4-2 (33.3%),0-0 (0.0%),0-0 (0.0%),7-8-1 (46.7%)
25,1996,13-3 (81.3%),10-6 (62.5%),13-2 (86.7%),10-5 (66.7%),8-0 (100.0%),5-3 (62.5%),8-0 (100.0%),5-3 (62.5%),0-0 (0.0%),0-0 (0.0%),9-7 (56.3%)
26,1995,11-5 (68.8%),10-6 (62.5%),10-3 (76.9%),9-4 (69.2%),7-1 (87.5%),7-1 (87.5%),7-1 (87.5%),7-1 (87.5%),0-0 (0.0%),0-0 (0.0%),11-5 (68.8%)
27,1994,9-7 (56.3%),8-7-1 (53.3%),8-1 (88.9%),5-3-1 (62.5%),7-1 (87.5%),4-3-1 (57.1%),7-1 (87.5%),4-3-1 (57.1%),0-0 (0.0%),0-0 (0.0%),8-8 (50.0%)
28,1993,9-7 (56.3%),9-7 (56.3%),7-3 (70.0%),6-4 (60.0%),6-2 (75.0%),5-3 (62.5%),6-2 (75.0%),5-3 (62.5%),0-0 (0.0%),0-0 (0.0%),9-7 (56.3%)
29,1992,9-7 (56.3%),9-7 (56.3%),3-0 (100.0%),2-1 (66.7%),6-2 (75.0%),6-2 (75.0%),3-0 (100.0%),2-1 (66.7%),2-2 (50.0%),3-1 (75.0%),7-9 (43.8%)
30,1991,4-12 (25.0%),6-10 (37.5%),2-0 (100.0%),0-2 (0.0%),2-6 (25.0%),0-8 (0.0%),2-0 (100.0%),0-2 (0.0%),0-6 (0.0%),0-6 (0.0%),7-8-1 (46.7%)
31,1990,6-10 (37.5%),6-10 (37.5%),3-3 (50.0%),2-4 (33.3%),3-5 (37.5%),4-4 (50.0%),2-3 (40.0%),2-3 (40.0%),1-2 (33.3%),2-1 (66.7%),7-9 (43.8%)
32,1989,10-6 (62.5%),9-7 (56.3%),5-3 (62.5%),2-6 (25.0%),6-2 (75.0%),4-4 (50.0%),3-2 (60.0%),1-4 (20.0%),3-0 (100.0%),3-0 (100.0%),8-7-1 (53.3%)
33,1988,4-12 (25.0%),6-10 (37.5%),0-2 (0.0%),0-2 (0.0%),2-6 (25.0%),3-5 (37.5%),0-2 (0.0%),0-2 (0.0%),2-4 (33.3%),3-3 (50.0%),4-11-1 (26.7%)
34,1987,5-9-1 (35.7%),8-7 (53.3%),2-2 (50.0%),1-3 (25.0%),2-5-1 (28.6%),3-5 (37.5%),1-2 (33.3%),0-3 (0.0%),1-3-1 (25.0%),3-2 (60.0%),3-9 (25.0%)
35,1986,4-12 (25.0%),7-9 (43.8%),2-1 (66.7%),2-1 (66.7%),1-7 (12.5%),3-5 (37.5%),1-1 (50.0%),1-1 (50.0%),0-6 (0.0%),2-4 (33.3%),5-11 (31.3%)
36,1985,8-8 (50.0%),8-8 (50.0%),5-2 (71.4%),4-3 (57.1%),5-3 (62.5%),5-3 (62.5%),4-1 (80.0%),3-2 (60.0%),0-2 (0.0%),1-1 (50.0%),10-6 (62.5%)
37,1984,8-8 (50.0%),8-8 (50.0%),6-2 (75.0%),5-3 (62.5%),5-3 (62.5%),4-4 (50.0%),5-1 (83.3%),4-2 (66.7%),0-2 (0.0%),0-2 (0.0%),8-8 (50.0%)
38,1983,8-8 (50.0%),4-10-2 (28.6%),6-5 (54.5%),2-7-2 (22.2%),5-3 (62.5%),3-3-2 (50.0%),4-3 (57.1%),2-3-2 (40.0%),1-0 (100.0%),1-0 (100.0%),10-6 (62.5%)
39,1982,5-3-1 (62.5%),6-3 (66.7%),2-1-1 (66.7%),2-2 (50.0%),3-1 (75.0%),3-1 (75.0%),2-1 (66.7%),2-1 (66.7%),1-0 (100.0%),1-0 (100.0%),5-4 (55.6%)
40,1981,8-8 (50.0%),8-8 (50.0%),4-2 (66.7%),3-3 (50.0%),4-4 (50.0%),3-5 (37.5%),3-2 (60.0%),2-3 (40.0%),1-2 (33.3%),1-2 (33.3%),11-4-1 (73.3%)
41,1980,5-10-1 (33.3%),8-8 (50.0%),2-2 (50.0%),2-2 (50.0%),4-4 (50.0%),4-4 (50.0%),2-1 (66.7%),2-1 (66.7%),2-3 (40.0%),2-3 (40.0%),5-10-1 (33.3%)
42,1979,5-11 (31.3%),6-8-2 (42.9%),3-1 (75.0%),3-1 (75.0%),4-4 (50.0%),5-3 (62.5%),3-1 (75.0%),3-1 (75.0%),1-3 (25.0%),2-2 (50.0%),6-10 (37.5%)
43,1978,8-7-1 (53.3%),8-8 (50.0%),3-1 (75.0%),2-2 (50.0%),5-2-1 (71.4%),5-3 (62.5%),3-0 (100.0%),2-1 (66.7%),2-2-1 (50.0%),3-2 (60.0%),0-0 (0.0%)
44,1977,4-10 (28.6%),5-8-1 (38.5%),3-0 (100.0%),1-1-1 (50.0%),2-5 (28.6%),1-5-1 (16.7%),2-0 (100.0%),0-1-1 (0.0%),0-5 (0.0%),1-4 (20.0%),0-0 (0.0%)
45,1976,5-9 (35.7%),7-7 (50.0%),3-0 (100.0%),2-1 (66.7%),4-3 (57.1%),4-3 (57.1%),3-0 (100.0%),2-1 (66.7%),1-3 (25.0%),2-2 (50.0%),0-0 (0.0%)
