,Rank,Player,Team,Pos,Value,asof,url
0,1,Divine Deablo,Las Vegas Raiders,LB,21,2022-10-05 16:58:56.969207,/nfl/player-stat/defense-assisted-tackles
1,2,Roquan Smith,Chicago Bears,LB,20,2022-10-05 16:58:56.969207,/nfl/player-stat/defense-assisted-tackles
2,3,Myles Jack,Pittsburgh Steelers,LB,19,2022-10-05 16:58:56.969207,/nfl/player-stat/defense-assisted-tackles
3,4,C.J. Mosley,New York Jets,LB,18,2022-10-05 16:58:56.969207,/nfl/player-stat/defense-assisted-tackles
4,4,Cole Holcomb,Washington Commanders,LB,18,2022-10-05 16:58:56.969207,/nfl/player-stat/defense-assisted-tackles
5,4,Devin Lloyd,Jacksonville Jaguars,LB,18,2022-10-05 16:58:56.969207,/nfl/player-stat/defense-assisted-tackles
6,7,Rashaan Evans,Atlanta Falcons,LB,17,2022-10-05 16:58:56.969207,/nfl/player-stat/defense-assisted-tackles
7,7,Xavier Woods,Carolina Panthers,S,17,2022-10-05 16:58:56.969207,/nfl/player-stat/defense-assisted-tackles
8,9,Mike Edwards,Tampa Bay Buccaneers,S,16,2022-10-05 16:58:56.969207,/nfl/player-stat/defense-assisted-tackles
9,10,De'Vondre Campbell,Green Bay Packers,LB,15,2022-10-05 16:58:56.969207,/nfl/player-stat/defense-assisted-tackles
10,10,Jordyn Brooks,Seattle Seahawks,LB,15,2022-10-05 16:58:56.969207,/nfl/player-stat/defense-assisted-tackles
11,10,Ja'Whaun Bentley,New England Patriots,LB,15,2022-10-05 16:58:56.969207,/nfl/player-stat/defense-assisted-tackles
12,10,Zaire Franklin,Indianapolis Colts,LB,15,2022-10-05 16:58:56.969207,/nfl/player-stat/defense-assisted-tackles
13,10,Eric Kendricks,Minnesota Vikings,LB,15,2022-10-05 16:58:56.969207,/nfl/player-stat/defense-assisted-tackles
14,10,Jalen Pitre,Houston Texans,DB,15,2022-10-05 16:58:56.969207,/nfl/player-stat/defense-assisted-tackles
15,10,Cody Barton,Seattle Seahawks,LB,15,2022-10-05 16:58:56.969207,/nfl/player-stat/defense-assisted-tackles
16,17,Jonathan Owens,Houston Texans,DB,14,2022-10-05 16:58:56.969207,/nfl/player-stat/defense-assisted-tackles
17,18,BJ Hill,Cincinnati Bengals,DT,13,2022-10-05 16:58:56.969207,/nfl/player-stat/defense-assisted-tackles
18,18,Shaq Thompson,Carolina Panthers,LB,13,2022-10-05 16:58:56.969207,/nfl/player-stat/defense-assisted-tackles
19,18,Christian Kirksey,Houston Texans,LB,13,2022-10-05 16:58:56.969207,/nfl/player-stat/defense-assisted-tackles
20,18,Budda Baker,Arizona Cardinals,S,13,2022-10-05 16:58:56.969207,/nfl/player-stat/defense-assisted-tackles
21,18,Minkah Fitzpatrick,Pittsburgh Steelers,S,13,2022-10-05 16:58:56.969207,/nfl/player-stat/defense-assisted-tackles
22,18,Ernest Jones,Los Angeles Rams,LB,13,2022-10-05 16:58:56.969207,/nfl/player-stat/defense-assisted-tackles
23,24,Dre Greenlaw,San Francisco 49ers,LB,12,2022-10-05 16:58:56.969207,/nfl/player-stat/defense-assisted-tackles
24,24,Camryn Bynum,Minnesota Vikings,S,12,2022-10-05 16:58:56.969207,/nfl/player-stat/defense-assisted-tackles
25,24,Nick Bolton,Kansas City Chiefs,LB,12,2022-10-05 16:58:56.969207,/nfl/player-stat/defense-assisted-tackles
26,24,Lamarcus Joyner,New York Jets,S,12,2022-10-05 16:58:56.969207,/nfl/player-stat/defense-assisted-tackles
27,24,Lavonte David,Tampa Bay Buccaneers,LB,12,2022-10-05 16:58:56.969207,/nfl/player-stat/defense-assisted-tackles
28,24,Logan Wilson,Cincinnati Bengals,LB,12,2022-10-05 16:58:56.969207,/nfl/player-stat/defense-assisted-tackles
29,24,Richie Grant,Atlanta Falcons,S,12,2022-10-05 16:58:56.969207,/nfl/player-stat/defense-assisted-tackles
30,24,Jordan Hicks,Minnesota Vikings,LB,12,2022-10-05 16:58:56.969207,/nfl/player-stat/defense-assisted-tackles
31,24,Bobby Wagner,Los Angeles Rams,LB,12,2022-10-05 16:58:56.969207,/nfl/player-stat/defense-assisted-tackles
32,24,Devin White,Tampa Bay Buccaneers,LB,12,2022-10-05 16:58:56.969207,/nfl/player-stat/defense-assisted-tackles
33,24,Leighton Vander Esch,Dallas Cowboys,LB,12,2022-10-05 16:58:56.969207,/nfl/player-stat/defense-assisted-tackles
34,24,Julian Love,New York Giants,S,12,2022-10-05 16:58:56.969207,/nfl/player-stat/defense-assisted-tackles
