,Rank,Player,Team,Pos,Value,asof,url
0,1,Coby Bryant,Seattle Seahawks,CB,4,2022-11-30 02:28:16.896523,/nfl/player-stat/defense-forced-fumbles
1,1,Alex Highsmith,Pittsburgh Steelers,LB,4,2022-11-30 02:28:16.896523,/nfl/player-stat/defense-forced-fumbles
2,3,Darrell Taylor,Seattle Seahawks,LB,3,2022-11-30 02:28:16.896523,/nfl/player-stat/defense-forced-fumbles
3,3,Bradley Chubb,Miami Dolphins,LB,3,2022-11-30 02:28:16.896523,/nfl/player-stat/defense-forced-fumbles
4,3,L'Jarius Sneed,Kansas City Chiefs,CB,3,2022-11-30 02:28:16.896523,/nfl/player-stat/defense-forced-fumbles
5,3,Haason Reddick,Philadelphia Eagles,LB,3,2022-11-30 02:28:16.896523,/nfl/player-stat/defense-forced-fumbles
6,3,Micah Parsons,Dallas Cowboys,LB,3,2022-11-30 02:28:16.896523,/nfl/player-stat/defense-forced-fumbles
7,8,Demarcus Lawrence,Dallas Cowboys,DE,2,2022-11-30 02:28:16.896523,/nfl/player-stat/defense-forced-fumbles
8,8,Eddie Jackson,Chicago Bears,DB,2,2022-11-30 02:28:16.896523,/nfl/player-stat/defense-forced-fumbles
9,8,Pete Werner,New Orleans Saints,LB,2,2022-11-30 02:28:16.896523,/nfl/player-stat/defense-forced-fumbles
10,8,Kerby Joseph,Detroit Lions,S,2,2022-11-30 02:28:16.896523,/nfl/player-stat/defense-forced-fumbles
11,8,Deatrich Wise Jr.,New England Patriots,DL,2,2022-11-30 02:28:16.896523,/nfl/player-stat/defense-forced-fumbles
12,8,Jalen Ramsey,Los Angeles Rams,DB,2,2022-11-30 02:28:16.896523,/nfl/player-stat/defense-forced-fumbles
13,8,Quay Walker,Green Bay Packers,LB,2,2022-11-30 02:28:16.896523,/nfl/player-stat/defense-forced-fumbles
14,8,Nick Scott,Los Angeles Rams,DB,2,2022-11-30 02:28:16.896523,/nfl/player-stat/defense-forced-fumbles
15,8,Derwin James Jr.,Los Angeles Chargers,S,2,2022-11-30 02:28:16.896523,/nfl/player-stat/defense-forced-fumbles
16,8,Jonathan Jones,New England Patriots,DB,2,2022-11-30 02:28:16.896523,/nfl/player-stat/defense-forced-fumbles
17,8,Devin White,Tampa Bay Buccaneers,LB,2,2022-11-30 02:28:16.896523,/nfl/player-stat/defense-forced-fumbles
18,8,Josey Jewell,Denver Broncos,LB,2,2022-11-30 02:28:16.896523,/nfl/player-stat/defense-forced-fumbles
19,8,Rayshawn Jenkins,Jacksonville Jaguars,S,2,2022-11-30 02:28:16.896523,/nfl/player-stat/defense-forced-fumbles
20,8,Jeremiah Owusu-Koramoah,Cleveland Browns,LB,2,2022-11-30 02:28:16.896523,/nfl/player-stat/defense-forced-fumbles
