,Rank,Player,Team,Pos,Value,asof,url
0,1,Cobie Durant,Los Angeles Rams,DB,151,2023-01-14 19:03:21.655026,/nfl/player-stat/defense-interception-yards
1,2,Tashaun Gipson Sr.,San Francisco 49ers,S,141,2023-01-14 19:03:21.655026,/nfl/player-stat/defense-interception-yards
2,3,Jaylen Watson,Kansas City Chiefs,CB,99,2023-01-14 19:03:21.655026,/nfl/player-stat/defense-interception-yards
3,4,Minkah Fitzpatrick,Pittsburgh Steelers,S,94,2023-01-14 19:03:21.655026,/nfl/player-stat/defense-interception-yards
4,5,Patrick Peterson,Minnesota Vikings,CB,92,2023-01-14 19:03:21.655026,/nfl/player-stat/defense-interception-yards
5,6,Jonathan Jones,New England Patriots,DB,89,2023-01-14 19:03:21.655026,/nfl/player-stat/defense-interception-yards
6,7,Marcus Jones,New England Patriots,DB,87,2023-01-14 19:03:21.655026,/nfl/player-stat/defense-interception-yards
7,7,Rudy Ford,Green Bay Packers,S,87,2023-01-14 19:03:21.655026,/nfl/player-stat/defense-interception-yards
8,9,Duron Harmon,Las Vegas Raiders,S,86,2023-01-14 19:03:21.655026,/nfl/player-stat/defense-interception-yards
9,10,Matt Milano,Buffalo Bills,LB,84,2023-01-14 19:03:21.655026,/nfl/player-stat/defense-interception-yards
10,11,Kyler Gordon,Chicago Bears,DB,78,2023-01-14 19:03:21.655026,/nfl/player-stat/defense-interception-yards
11,12,De'Vondre Campbell,Green Bay Packers,LB,77,2023-01-14 19:03:21.655026,/nfl/player-stat/defense-interception-yards
12,12,Marco Wilson,Arizona Cardinals,CB,77,2023-01-14 19:03:21.655026,/nfl/player-stat/defense-interception-yards
13,14,Andrew Adams,Tennessee Titans,DB,76,2023-01-14 19:03:21.655026,/nfl/player-stat/defense-interception-yards
14,15,Darnell Savage,Green Bay Packers,S,75,2023-01-14 19:03:21.655026,/nfl/player-stat/defense-interception-yards
15,16,CJ Henderson,Carolina Panthers,CB,74,2023-01-14 19:03:21.655026,/nfl/player-stat/defense-interception-yards
16,17,Andre Cisco,Jacksonville Jaguars,S,72,2023-01-14 19:03:21.655026,/nfl/player-stat/defense-interception-yards
17,18,Quandre Diggs,Seattle Seahawks,S,70,2023-01-14 19:03:21.655026,/nfl/player-stat/defense-interception-yards
18,18,Kerby Joseph,Detroit Lions,S,70,2023-01-14 19:03:21.655026,/nfl/player-stat/defense-interception-yards
19,20,Mike Edwards,Tampa Bay Buccaneers,S,68,2023-01-14 19:03:21.655026,/nfl/player-stat/defense-interception-yards
20,21,Devin McCourty,New England Patriots,DB,66,2023-01-14 19:03:21.655026,/nfl/player-stat/defense-interception-yards
21,21,Kendall Fuller,Washington Commanders,CB,66,2023-01-14 19:03:21.655026,/nfl/player-stat/defense-interception-yards
