,Rank,Player,Team,Pos,Value,asof,url
0,1,Jordan Poyer,Buffalo Bills,S,4,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
1,2,Marcus Williams,Baltimore Ravens,S,3,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
2,2,Eddie Jackson,Chicago Bears,DB,3,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
3,2,Minkah Fitzpatrick,Pittsburgh Steelers,S,3,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
4,5,Lamarcus Joyner,New York Jets,S,2,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
5,5,Andre Cisco,Jacksonville Jaguars,S,2,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
6,5,Jamel Dean,Tampa Bay Buccaneers,CB,2,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
7,5,Vonn Bell,Cincinnati Bengals,S,2,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
8,5,Darius Slay,Philadelphia Eagles,CB,2,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
9,5,Talanoa Hufanga,San Francisco 49ers,S,2,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
10,5,Trevon Diggs,Dallas Cowboys,CB,2,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
11,5,Tariq Woolen,Seattle Seahawks,CB,2,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
12,5,Bryce Callahan,Los Angeles Chargers,CB,2,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
13,5,Cameron Sutton,Pittsburgh Steelers,CB,2,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
14,5,Devin Lloyd,Jacksonville Jaguars,LB,2,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
15,5,Marlon Humphrey,Baltimore Ravens,CB,2,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
16,5,Jalen Pitre,Houston Texans,DB,2,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
17,5,James Bradberry,Philadelphia Eagles,CB,2,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
18,19,Jaycee Horn,Carolina Panthers,CB,1,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
19,19,Mike Edwards,Tampa Bay Buccaneers,S,1,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
20,19,Michael Carter II,New York Jets,CB,1,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
21,19,Tyrann Mathieu,New Orleans Saints,S,1,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
22,19,Grant Delpit,Cleveland Browns,S,1,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
23,19,Nasir Adderley,Los Angeles Chargers,S,1,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
24,19,Jonathan Jones,New England Patriots,DB,1,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
25,19,Jessie Bates III,Cincinnati Bengals,S,1,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
26,19,Ashtyn Davis,New York Jets,S,1,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
27,19,Jonas Griffith,Denver Broncos,LB,1,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
28,19,Ahkello Witherspoon,Pittsburgh Steelers,CB,1,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
29,19,Josh Bynes,Baltimore Ravens,LB,1,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
30,19,Dee Alford,Atlanta Falcons,CB,1,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
31,19,Sean Murphy-Bunting,Tampa Bay Buccaneers,CB,1,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
32,19,Tashaun Gipson Sr.,San Francisco 49ers,S,1,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
33,19,Rayshawn Jenkins,Jacksonville Jaguars,S,1,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
34,19,Jalen Ramsey,Los Angeles Rams,DB,1,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
35,19,Will Harris,Detroit Lions,CB,1,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
36,19,Logan Ryan,Tampa Bay Buccaneers,S,1,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
37,19,Amik Robertson,Las Vegas Raiders,CB,1,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
38,19,Darrick Forrest,Washington Commanders,S,1,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
39,19,Teair Tart,Tennessee Titans,DT,1,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
40,19,Cobie Durant,Los Angeles Rams,DB,1,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
41,19,Amani Hooker,Tennessee Titans,DB,1,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
42,19,Frankie Luvu,Carolina Panthers,LB,1,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
43,19,Jordan Whitehead,New York Jets,S,1,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
44,19,Boogie Basham,Buffalo Bills,DE,1,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
45,19,Duron Harmon,Las Vegas Raiders,S,1,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
46,19,Jerry Hughes,Houston Texans,DE,1,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
47,19,Donovan Wilson,Dallas Cowboys,S,1,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
48,19,Antoine Winfield Jr.,Tampa Bay Buccaneers,S,1,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
49,19,Jevon Holland,Miami Dolphins,S,1,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
50,19,Drue Tranquill,Los Angeles Chargers,LB,1,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
51,19,Asante Samuel Jr.,Los Angeles Chargers,CB,1,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
52,19,Tyson Campbell,Jacksonville Jaguars,CB,1,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
53,19,Christian Kirksey,Houston Texans,LB,1,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
54,19,Harrison Smith,Minnesota Vikings,S,1,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
55,19,Travon Walker,Jacksonville Jaguars,LB,1,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
56,19,Logan Wilson,Cincinnati Bengals,LB,1,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
57,19,Charvarius Ward,San Francisco 49ers,CB,1,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
58,19,Jack Jones,New England Patriots,DB,1,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
59,19,T.J. Watt,Pittsburgh Steelers,LB,1,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
60,19,Dane Jackson,Buffalo Bills,CB,1,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
61,19,Derrick Brown,Carolina Panthers,DT,1,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
62,19,Josh Metellus,Minnesota Vikings,S,1,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
63,19,Richie Grant,Atlanta Falcons,S,1,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
64,19,Troy Hill,Los Angeles Rams,CB,1,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
65,19,Matt Milano,Buffalo Bills,LB,1,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
66,19,Jalen Mills,New England Patriots,CB,1,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
67,19,Rodney McLeod,Indianapolis Colts,S,1,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
68,19,Denzel Ward,Cleveland Browns,CB,1,2022-10-05 16:59:04.257094,/nfl/player-stat/defense-interceptions
