,Rank,Player,Team,Pos,Value,asof,url
0,1,Foyesade Oluokun,Jacksonville Jaguars,LB,102,2022-12-15 02:33:59.336551,/nfl/player-stat/defense-solo-tackles
1,2,Jordyn Brooks,Seattle Seahawks,LB,93,2022-12-15 02:33:59.336551,/nfl/player-stat/defense-solo-tackles
2,3,Nick Bolton,Kansas City Chiefs,LB,84,2022-12-15 02:33:59.336551,/nfl/player-stat/defense-solo-tackles
3,4,Zaire Franklin,Indianapolis Colts,LB,79,2022-12-15 02:33:59.336551,/nfl/player-stat/defense-solo-tackles
4,5,Jordan Hicks,Minnesota Vikings,LB,76,2022-12-15 02:33:59.336551,/nfl/player-stat/defense-solo-tackles
5,6,C.J. Mosley,New York Jets,LB,75,2022-12-15 02:33:59.336551,/nfl/player-stat/defense-solo-tackles
6,7,Roquan Smith,Baltimore Ravens,LB,74,2022-12-15 02:33:59.336551,/nfl/player-stat/defense-solo-tackles
7,8,Drue Tranquill,Los Angeles Chargers,LB,73,2022-12-15 02:33:59.336551,/nfl/player-stat/defense-solo-tackles
8,9,Rashaan Evans,Atlanta Falcons,LB,72,2022-12-15 02:33:59.336551,/nfl/player-stat/defense-solo-tackles
9,10,Dre Greenlaw,San Francisco 49ers,LB,71,2022-12-15 02:33:59.336551,/nfl/player-stat/defense-solo-tackles
10,11,Eric Kendricks,Minnesota Vikings,LB,70,2022-12-15 02:33:59.336551,/nfl/player-stat/defense-solo-tackles
11,12,T.J. Edwards,Philadelphia Eagles,LB,68,2022-12-15 02:33:59.336551,/nfl/player-stat/defense-solo-tackles
12,12,Bobby Okereke,Indianapolis Colts,LB,68,2022-12-15 02:33:59.336551,/nfl/player-stat/defense-solo-tackles
13,14,Jonathan Owens,Houston Texans,DB,67,2022-12-15 02:33:59.336551,/nfl/player-stat/defense-solo-tackles
14,15,Patrick Queen,Baltimore Ravens,LB,66,2022-12-15 02:33:59.336551,/nfl/player-stat/defense-solo-tackles
15,15,Jalen Pitre,Houston Texans,DB,66,2022-12-15 02:33:59.336551,/nfl/player-stat/defense-solo-tackles
16,17,Julian Love,New York Giants,S,65,2022-12-15 02:33:59.336551,/nfl/player-stat/defense-solo-tackles
17,18,Budda Baker,Arizona Cardinals,S,64,2022-12-15 02:33:59.336551,/nfl/player-stat/defense-solo-tackles
18,18,DeShon Elliott,Detroit Lions,S,64,2022-12-15 02:33:59.336551,/nfl/player-stat/defense-solo-tackles
19,18,Alex Anzalone,Detroit Lions,LB,64,2022-12-15 02:33:59.336551,/nfl/player-stat/defense-solo-tackles
20,21,Donovan Wilson,Dallas Cowboys,S,63,2022-12-15 02:33:59.336551,/nfl/player-stat/defense-solo-tackles
21,21,Logan Wilson,Cincinnati Bengals,LB,63,2022-12-15 02:33:59.336551,/nfl/player-stat/defense-solo-tackles
22,21,Cody Barton,Seattle Seahawks,LB,63,2022-12-15 02:33:59.336551,/nfl/player-stat/defense-solo-tackles
23,24,Alex Singleton,Denver Broncos,LB,62,2022-12-15 02:33:59.336551,/nfl/player-stat/defense-solo-tackles
24,24,Devin White,Tampa Bay Buccaneers,LB,62,2022-12-15 02:33:59.336551,/nfl/player-stat/defense-solo-tackles
25,26,Derwin James Jr.,Los Angeles Chargers,S,61,2022-12-15 02:33:59.336551,/nfl/player-stat/defense-solo-tackles
26,26,L'Jarius Sneed,Kansas City Chiefs,CB,61,2022-12-15 02:33:59.336551,/nfl/player-stat/defense-solo-tackles
27,28,Lavonte David,Tampa Bay Buccaneers,LB,60,2022-12-15 02:33:59.336551,/nfl/player-stat/defense-solo-tackles
28,28,Roger McCreary,Tennessee Titans,CB,60,2022-12-15 02:33:59.336551,/nfl/player-stat/defense-solo-tackles
29,28,Christian Kirksey,Houston Texans,LB,60,2022-12-15 02:33:59.336551,/nfl/player-stat/defense-solo-tackles
30,31,Bobby Wagner,Los Angeles Rams,LB,59,2022-12-15 02:33:59.336551,/nfl/player-stat/defense-solo-tackles
31,31,Myles Jack,Pittsburgh Steelers,LB,59,2022-12-15 02:33:59.336551,/nfl/player-stat/defense-solo-tackles
32,31,Eddie Jackson,Chicago Bears,DB,59,2022-12-15 02:33:59.336551,/nfl/player-stat/defense-solo-tackles
33,34,Harrison Smith,Minnesota Vikings,S,58,2022-12-15 02:33:59.336551,/nfl/player-stat/defense-solo-tackles
34,34,Matt Milano,Buffalo Bills,LB,58,2022-12-15 02:33:59.336551,/nfl/player-stat/defense-solo-tackles
