,Rank,Player,Team,Pos,Value,asof,url
0,1,Hassan Haskins,Tennessee Titans,RB,11,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
1,2,Andrew Wingard,Jacksonville Jaguars,S,10,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
2,3,Giovanni Ricci,Carolina Panthers,TE,9,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
3,3,Justin Hardee,New York Jets,CB,9,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
4,5,Sean Chandler,Carolina Panthers,S,8,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
5,5,Jeremy Reaves,Washington Commanders,S,8,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
6,5,M.J. Stewart,Houston Texans,DB,8,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
7,5,Josh Metellus,Minnesota Vikings,S,8,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
8,5,Demetrius Flannigan-Fowles,San Francisco 49ers,LB,8,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
9,5,Zech McPhearson,Philadelphia Eagles,CB,8,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
10,5,Brenden Schooler,New England Patriots,DB,8,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
11,5,Sam Franklin Jr.,Carolina Panthers,S,8,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
12,13,DeeJay Dallas,Seattle Seahawks,RB,7,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
13,13,Eric Murray,Houston Texans,DB,7,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
14,13,Miles Boykin,Pittsburgh Steelers,WR,7,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
15,13,Dare Ogunbowale,Houston Texans,RB,7,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
16,13,Shaquille Quarterman,Jacksonville Jaguars,LB,7,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
17,13,Cody Davis,New England Patriots,DB,7,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
18,13,Chad Muma,Jacksonville Jaguars,LB,7,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
19,13,Dylan Cole,Tennessee Titans,LB,7,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
20,13,Jaylon Jones,Chicago Bears,DB,7,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
21,13,Isaiah McDuffie,Green Bay Packers,LB,7,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
22,13,Caleb Johnson,Jacksonville Jaguars,LB,7,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
23,13,J.T. Gray,New Orleans Saints,DB,7,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
24,13,DeAndre Houston-Carson,Chicago Bears,DB,7,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
25,13,Andrew Van Ginkel,Miami Dolphins,LB,7,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
26,27,Dennis Gardeck,Arizona Cardinals,LB,6,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
27,27,Kyron Johnson,Philadelphia Eagles,LB,6,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
28,27,Josh Woods,Detroit Lions,LB,6,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
29,27,Nick Bellore,Seattle Seahawks,LB,6,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
30,27,Chris Board,Detroit Lions,LB,6,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
31,27,George Odum,San Francisco 49ers,S,6,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
32,27,Blake Cashman,Houston Texans,LB,6,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
33,27,Cam Lewis,Buffalo Bills,CB,6,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
34,27,Troy Dye,Minnesota Vikings,LB,6,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
35,27,Elijah Lee,Kansas City Chiefs,LB,6,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
36,27,Zack Baun,New Orleans Saints,LB,6,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
37,27,Markus Bailey,Cincinnati Bengals,LB,6,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
38,27,Stephen Anderson,Arizona Cardinals,TE,6,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
39,40,Oren Burks,San Francisco 49ers,LB,5,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
40,40,Deon Bush,Kansas City Chiefs,DB,5,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
41,40,Chris Claybrooks,Jacksonville Jaguars,CB,5,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
42,40,Nick Kwiatkoski,Atlanta Falcons,LB,5,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
43,40,Jack Cochrane,Kansas City Chiefs,LB,5,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
44,40,Cade Otton,Tampa Bay Buccaneers,TE,5,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
45,40,Daniel Sorensen,New Orleans Saints,S,5,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
46,40,Joe Jones,Tennessee Titans,LB,5,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
47,40,Ko Kieft,Tampa Bay Buccaneers,TE,5,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
48,40,Christian Rozeboom,Los Angeles Rams,LB,5,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
49,40,Keisean Nixon,Green Bay Packers,CB,5,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
50,40,Josh Blackwell,Chicago Bears,DB,5,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
51,40,Mike Ford,Atlanta Falcons,CB,5,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
52,40,Dallis Flowers,Indianapolis Colts,CB,5,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
53,40,Ben Banogu,Indianapolis Colts,DE,5,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
54,40,Jonas Griffith,Denver Broncos,LB,5,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
55,40,Joey Blount,Seattle Seahawks,S,5,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
56,40,Tremon Smith,Houston Texans,DB,5,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
57,40,Ezekiel Turner,Arizona Cardinals,LB,5,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
58,40,Stanley Morgan Jr.,Cincinnati Bengals,WR,5,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
59,40,Grant Stuard,Indianapolis Colts,LB,5,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
60,40,Jordan Kunaszyk,Cleveland Browns,LB,5,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
61,40,Keion Crossen,Miami Dolphins,DB,5,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
62,40,Siran Neal,Buffalo Bills,CB,5,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
63,40,Kerby Joseph,Detroit Lions,S,5,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
64,40,Tanner Muse,Seattle Seahawks,LB,5,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
65,66,Tre Avery,Tennessee Titans,CB,4,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
66,66,Connor Heyward,Pittsburgh Steelers,TE,4,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
67,66,Cullen Gillaspia,Seattle Seahawks,LB,4,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
68,66,Kris Boyd,Minnesota Vikings,CB,4,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
69,66,Dareke Young,Seattle Seahawks,WR,4,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
70,66,Marcus Kemp,Kansas City Chiefs,WR,4,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
71,66,Eric Saubert,Denver Broncos,TE,4,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
72,66,Daniel Thomas,Jacksonville Jaguars,S,4,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
73,66,Jake Camarda,Tampa Bay Buccaneers,P,4,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
74,66,Tyler Davis,Green Bay Packers,TE,4,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
75,66,Rasul Douglas,Green Bay Packers,CB,4,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
76,66,Dallin Leavitt,Green Bay Packers,S,4,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
77,66,Kelvin Joseph,Dallas Cowboys,CB,4,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
78,66,Adrian Amos,Green Bay Packers,S,4,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
79,66,Justin Bethel,Miami Dolphins,CB,4,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
80,66,KhaDarel Hodge,Atlanta Falcons,WR,4,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
81,66,Tony Brown,Indianapolis Colts,CB,4,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
82,66,JoJo Domann,Indianapolis Colts,LB,4,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
83,66,Chase Hansen,New Orleans Saints,LB,4,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
84,66,Troy Andersen,Atlanta Falcons,LB,4,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
85,66,Travis Homer,Seattle Seahawks,RB,4,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
86,66,Michael Burton,Kansas City Chiefs,FB,4,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
87,66,David Mayo,Washington Commanders,LB,4,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
88,66,Ameer Abdullah,Las Vegas Raiders,RB,4,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
89,66,Jake Hummel,Los Angeles Rams,LB,4,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
90,66,Julian Love,New York Giants,S,4,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
91,66,Jabrill Peppers,New England Patriots,DB,4,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
92,66,Darrick Forrest,Washington Commanders,S,4,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
93,66,Chris Rumph II,Los Angeles Chargers,LB,4,2022-11-08 07:24:25.834304,/nfl/player-stat/defense-special-teams-total-tackles
