,Rank,Player,Team,Pos,Value,asof,url
0,1,Maxx Crosby,Las Vegas Raiders,DE,19,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
1,2,Nick Bosa,San Francisco 49ers,DL,18,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
2,3,Daron Payne,Washington Commanders,DT,16,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
3,3,Brian Burns,Carolina Panthers,DE,16,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
4,3,Jonathan Allen,Washington Commanders,DT,16,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
5,6,Za'Darius Smith,Minnesota Vikings,LB,15,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
6,6,Josh Sweat,Philadelphia Eagles,DE,15,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
7,6,Myles Garrett,Cleveland Browns,DE,15,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
8,9,J.J. Watt,Arizona Cardinals,DE,14,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
9,9,Christian Wilkins,Miami Dolphins,DT,14,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
10,9,Chris Jones,Kansas City Chiefs,DT,14,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
11,9,Frankie Luvu,Carolina Panthers,LB,14,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
12,9,Denzel Perryman,Las Vegas Raiders,LB,14,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
13,9,Micah Parsons,Dallas Cowboys,LB,14,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
14,15,Matthew Judon,New England Patriots,LB,13,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
15,16,Danielle Hunter,Minnesota Vikings,LB,12,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
16,16,Matt Milano,Buffalo Bills,LB,12,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
17,16,Montez Sweat,Washington Commanders,DE,12,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
18,16,Cameron Heyward,Pittsburgh Steelers,DT,12,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
19,20,Foyesade Oluokun,Jacksonville Jaguars,LB,11,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
20,20,Khalil Mack,Los Angeles Chargers,LB,11,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
21,20,Sam Hubbard,Cincinnati Bengals,DE,11,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
22,20,Quinnen Williams,New York Jets,DL,11,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
23,20,Grady Jarrett,Atlanta Falcons,DL,11,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
24,20,Cameron Jordan,New Orleans Saints,DE,11,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
25,26,Josh Allen,Jacksonville Jaguars,LB,10,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
26,26,Quincy Williams,New York Jets,LB,10,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
27,26,Aaron Donald,Los Angeles Rams,DL,10,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
28,26,Kwity Paye,Indianapolis Colts,DE,10,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
29,26,Zaven Collins,Arizona Cardinals,LB,10,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
30,26,Von Miller,Buffalo Bills,LB,10,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
31,26,DeMarcus Walker,Tennessee Titans,DL,10,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
32,26,Zaire Franklin,Indianapolis Colts,LB,10,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
33,26,Nicholas Morrow,Chicago Bears,LB,10,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
34,26,Alex Highsmith,Pittsburgh Steelers,LB,10,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
35,26,Roquan Smith,Baltimore Ravens,LB,10,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
36,37,Uchenna Nwosu,Seattle Seahawks,LB,9,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
37,37,Jerry Hughes,Houston Texans,DL,9,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
38,37,Dre'Mont Jones,Denver Broncos,DE,9,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
39,37,Jeffery Simmons,Tennessee Titans,DT,9,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
40,37,Preston Smith,Green Bay Packers,LB,9,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
41,37,Willie Gay,Kansas City Chiefs,LB,9,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
42,37,Bobby Wagner,Los Angeles Rams,LB,9,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
43,37,Javon Hargrave,Philadelphia Eagles,DT,9,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
44,37,Demario Davis,New Orleans Saints,LB,9,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
45,37,Maliek Collins,Houston Texans,DL,9,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
46,37,Grover Stewart,Indianapolis Colts,DT,9,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
47,37,Leonard Floyd,Los Angeles Rams,LB,9,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
48,37,Ed Oliver,Buffalo Bills,DT,9,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
49,37,DeForest Buckner,Indianapolis Colts,DT,9,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
50,37,Brandon Graham,Philadelphia Eagles,DE,9,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
51,37,Josh Uche,New England Patriots,LB,9,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
52,37,Haason Reddick,Philadelphia Eagles,LB,9,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
53,37,Nick Bolton,Kansas City Chiefs,LB,9,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
54,37,Demarcus Lawrence,Dallas Cowboys,DE,9,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
55,37,Zach Allen,Arizona Cardinals,DE,9,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
56,37,Greg Rousseau,Buffalo Bills,DE,9,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
57,58,Shaq Thompson,Carolina Panthers,LB,8,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
58,58,Sam Williams,Dallas Cowboys,DE,8,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
59,58,Desmond King II,Houston Texans,DB,8,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
60,58,Elandon Roberts,Miami Dolphins,LB,8,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
61,58,Justin Jones,Chicago Bears,DL,8,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
62,58,Jamin Davis,Washington Commanders,LB,8,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
63,58,Dorance Armstrong,Dallas Cowboys,DE,8,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
64,58,Lavonte David,Tampa Bay Buccaneers,LB,8,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
65,58,Eric Kendricks,Minnesota Vikings,LB,8,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
66,58,Devin White,Tampa Bay Buccaneers,LB,8,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
67,58,Frank Clark,Kansas City Chiefs,DE,8,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
68,58,Patrick Queen,Baltimore Ravens,LB,8,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
69,58,T.J. Edwards,Philadelphia Eagles,LB,8,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
70,58,Yannick Ngakoue,Indianapolis Colts,DE,8,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
71,58,Malcolm Rodriguez,Detroit Lions,LB,8,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
72,58,Carl Granderson,New Orleans Saints,DE,8,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
73,58,Denico Autry,Tennessee Titans,DL,8,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
74,58,Sebastian Joseph-Day,Los Angeles Chargers,DL,8,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
75,76,Jayron Kearse,Dallas Cowboys,S,7,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
76,76,Kyle Van Noy,Los Angeles Chargers,LB,7,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
77,76,Markus Golden,Arizona Cardinals,LB,7,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
78,76,Jaelan Phillips,Miami Dolphins,LB,7,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
79,76,Carl Lawson,New York Jets,DL,7,2023-01-01 15:48:56.991277,/nfl/player-stat/defense-tackles-for-loss
