,Rank,Player,Team,Pos,Value,asof,url
0,1,Tyler Bass,Buffalo Bills,K,18,2022-10-11 16:27:07.045077,/nfl/player-stat/extra-point-kicks-attempted
1,2,Justin Tucker,Baltimore Ravens,K,16,2022-10-11 16:27:07.045077,/nfl/player-stat/extra-point-kicks-attempted
2,3,Cade York,Cleveland Browns,K,15,2022-10-11 16:27:07.045077,/nfl/player-stat/extra-point-kicks-attempted
3,4,Jason Myers,Seattle Seahawks,K,14,2022-10-11 16:27:07.045077,/nfl/player-stat/extra-point-kicks-attempted
4,4,Jason Sanders,Miami Dolphins,K,14,2022-10-11 16:27:07.045077,/nfl/player-stat/extra-point-kicks-attempted
5,4,Jake Elliott,Philadelphia Eagles,K,14,2022-10-11 16:27:07.045077,/nfl/player-stat/extra-point-kicks-attempted
6,7,Greg Zuerlein,New York Jets,K,13,2022-10-11 16:27:07.045077,/nfl/player-stat/extra-point-kicks-attempted
7,8,Greg Joseph,Minnesota Vikings,K,12,2022-10-11 16:27:07.045077,/nfl/player-stat/extra-point-kicks-attempted
8,8,Randy Bullock,Tennessee Titans,K,12,2022-10-11 16:27:07.045077,/nfl/player-stat/extra-point-kicks-attempted
9,8,Austin Seibert,Detroit Lions,K,12,2022-10-11 16:27:07.045077,/nfl/player-stat/extra-point-kicks-attempted
10,11,Mason Crosby,Green Bay Packers,K,11,2022-10-11 16:27:07.045077,/nfl/player-stat/extra-point-kicks-attempted
11,11,Robbie Gould,San Francisco 49ers,K,11,2022-10-11 16:27:07.045077,/nfl/player-stat/extra-point-kicks-attempted
12,11,Dustin Hopkins,Los Angeles Chargers,K,11,2022-10-11 16:27:07.045077,/nfl/player-stat/extra-point-kicks-attempted
13,14,Nick Folk,New England Patriots,K,10,2022-10-11 16:27:07.045077,/nfl/player-stat/extra-point-kicks-attempted
14,14,Riley Patterson,Jacksonville Jaguars,K,10,2022-10-11 16:27:07.045077,/nfl/player-stat/extra-point-kicks-attempted
15,14,Younghoe Koo,Atlanta Falcons,K,10,2022-10-11 16:27:07.045077,/nfl/player-stat/extra-point-kicks-attempted
16,14,Wil Lutz,New Orleans Saints,K,10,2022-10-11 16:27:07.045077,/nfl/player-stat/extra-point-kicks-attempted
17,18,Daniel Carlson,Las Vegas Raiders,K,9,2022-10-11 16:27:07.045077,/nfl/player-stat/extra-point-kicks-attempted
