,Rank,Player,Team,Pos,Value,asof,url
0,1,Ka'imi Fairbairn,Houston Texans,K,100.0%,2023-01-01 15:48:45.282474,/nfl/player-stat/field-goal-percentage-50-plus
1,1,Eddy Pineiro,Carolina Panthers,K,100.0%,2023-01-01 15:48:45.282474,/nfl/player-stat/field-goal-percentage-50-plus
2,1,Evan McPherson,Cincinnati Bengals,K,100.0%,2023-01-01 15:48:45.282474,/nfl/player-stat/field-goal-percentage-50-plus
3,1,Matthew Wright,Jacksonville Jaguars,K,100.0%,2023-01-01 15:48:45.282474,/nfl/player-stat/field-goal-percentage-50-plus
4,1,Jason Myers,Seattle Seahawks,K,100.0%,2023-01-01 15:48:45.282474,/nfl/player-stat/field-goal-percentage-50-plus
5,1,Robbie Gould,San Francisco 49ers,K,100.0%,2023-01-01 15:48:45.282474,/nfl/player-stat/field-goal-percentage-50-plus
6,1,Rodrigo Blankenship,Indianapolis Colts,K,100.0%,2023-01-01 15:48:45.282474,/nfl/player-stat/field-goal-percentage-50-plus
7,8,Graham Gano,New York Giants,K,88.9%,2023-01-01 15:48:45.282474,/nfl/player-stat/field-goal-percentage-50-plus
8,9,Brett Maher,Dallas Cowboys,K,81.8%,2023-01-01 15:48:45.282474,/nfl/player-stat/field-goal-percentage-50-plus
9,9,Daniel Carlson,Las Vegas Raiders,K,81.8%,2023-01-01 15:48:45.282474,/nfl/player-stat/field-goal-percentage-50-plus
10,11,Nick Folk,New England Patriots,K,80.0%,2023-01-01 15:48:45.282474,/nfl/player-stat/field-goal-percentage-50-plus
11,11,Joey Slye,Washington Commanders,K,80.0%,2023-01-01 15:48:45.282474,/nfl/player-stat/field-goal-percentage-50-plus
12,11,Matt Prater,Arizona Cardinals,K,80.0%,2023-01-01 15:48:45.282474,/nfl/player-stat/field-goal-percentage-50-plus
13,11,Cairo Santos,Chicago Bears,K,80.0%,2023-01-01 15:48:45.282474,/nfl/player-stat/field-goal-percentage-50-plus
14,15,Matt Gay,Los Angeles Rams,K,77.8%,2023-01-01 15:48:45.282474,/nfl/player-stat/field-goal-percentage-50-plus
15,16,Wil Lutz,New Orleans Saints,K,75.0%,2023-01-01 15:48:45.282474,/nfl/player-stat/field-goal-percentage-50-plus
