,Rank,Player,Team,Pos,Value,asof,url
0,1,Nick Folk,New England Patriots,K,1,2023-02-09 11:52:55.509271,/nfl/player-stat/field-goals-attempted-0-to-19
1,1,Evan McPherson,Cincinnati Bengals,K,1,2023-02-09 11:52:55.509271,/nfl/player-stat/field-goals-attempted-0-to-19
2,1,Matt Ammendola,Houston Texans,K,1,2023-02-09 11:52:55.509271,/nfl/player-stat/field-goals-attempted-0-to-19
3,1,Joey Slye,Washington Commanders,K,1,2023-02-09 11:52:55.509271,/nfl/player-stat/field-goals-attempted-0-to-19
4,5,Younghoe Koo,Atlanta Falcons,K,0,2023-02-09 11:52:55.509271,/nfl/player-stat/field-goals-attempted-0-to-19
5,5,Chris Board,Detroit Lions,LB,0,2023-02-09 11:52:55.509271,/nfl/player-stat/field-goals-attempted-0-to-19
6,5,Sam Hubbard,Cincinnati Bengals,DE,0,2023-02-09 11:52:55.509271,/nfl/player-stat/field-goals-attempted-0-to-19
7,5,Austin Trammell,Los Angeles Rams,WR,0,2023-02-09 11:52:55.509271,/nfl/player-stat/field-goals-attempted-0-to-19
8,5,John Cominsky,Detroit Lions,DL,0,2023-02-09 11:52:55.509271,/nfl/player-stat/field-goals-attempted-0-to-19
9,5,Rodney McLeod Jr.,Indianapolis Colts,S,0,2023-02-09 11:52:55.509271,/nfl/player-stat/field-goals-attempted-0-to-19
10,5,Nathan Peterman,Chicago Bears,QB,0,2023-02-09 11:52:55.509271,/nfl/player-stat/field-goals-attempted-0-to-19
11,5,Isiah Pacheco,Kansas City Chiefs,RB,0,2023-02-09 11:52:55.509271,/nfl/player-stat/field-goals-attempted-0-to-19
12,5,Malcolm Brown,Los Angeles Rams,RB,0,2023-02-09 11:52:55.509271,/nfl/player-stat/field-goals-attempted-0-to-19
13,5,Maxx Williams,Arizona Cardinals,TE,0,2023-02-09 11:52:55.509271,/nfl/player-stat/field-goals-attempted-0-to-19
14,5,Davante Adams,Las Vegas Raiders,WR,0,2023-02-09 11:52:55.509271,/nfl/player-stat/field-goals-attempted-0-to-19
15,5,Khaleke Hudson,Washington Commanders,LB,0,2023-02-09 11:52:55.509271,/nfl/player-stat/field-goals-attempted-0-to-19
16,5,Chase Allen,Chicago Bears,TE,0,2023-02-09 11:52:55.509271,/nfl/player-stat/field-goals-attempted-0-to-19
