,Rank,Player,Team,Pos,Value,asof,url
0,1,Ryan Succop,Tampa Bay Buccaneers,K,6,2022-11-01 08:10:09.467065,/nfl/player-stat/field-goals-succeeded-20-to-29
1,1,Matt Gay,Los Angeles Rams,K,6,2022-11-01 08:10:09.467065,/nfl/player-stat/field-goals-succeeded-20-to-29
2,3,Brett Maher,Dallas Cowboys,K,5,2022-11-01 08:10:09.467065,/nfl/player-stat/field-goals-succeeded-20-to-29
3,3,Riley Patterson,Jacksonville Jaguars,K,5,2022-11-01 08:10:09.467065,/nfl/player-stat/field-goals-succeeded-20-to-29
4,3,Daniel Carlson,Las Vegas Raiders,K,5,2022-11-01 08:10:09.467065,/nfl/player-stat/field-goals-succeeded-20-to-29
5,3,Brandon McManus,Denver Broncos,K,5,2022-11-01 08:10:09.467065,/nfl/player-stat/field-goals-succeeded-20-to-29
6,7,Randy Bullock,Tennessee Titans,K,4,2022-11-01 08:10:09.467065,/nfl/player-stat/field-goals-succeeded-20-to-29
7,7,Justin Tucker,Baltimore Ravens,K,4,2022-11-01 08:10:09.467065,/nfl/player-stat/field-goals-succeeded-20-to-29
8,7,Greg Joseph,Minnesota Vikings,K,4,2022-11-01 08:10:09.467065,/nfl/player-stat/field-goals-succeeded-20-to-29
9,7,Robbie Gould,San Francisco 49ers,K,4,2022-11-01 08:10:09.467065,/nfl/player-stat/field-goals-succeeded-20-to-29
10,11,Chase McLaughlin,Indianapolis Colts,K,3,2022-11-01 08:10:09.467065,/nfl/player-stat/field-goals-succeeded-20-to-29
11,11,Matt Ammendola,Arizona Cardinals,K,3,2022-11-01 08:10:09.467065,/nfl/player-stat/field-goals-succeeded-20-to-29
12,11,Michael Badgley,Detroit Lions,K,3,2022-11-01 08:10:09.467065,/nfl/player-stat/field-goals-succeeded-20-to-29
13,11,Joey Slye,Washington Commanders,K,3,2022-11-01 08:10:09.467065,/nfl/player-stat/field-goals-succeeded-20-to-29
14,11,Jason Myers,Seattle Seahawks,K,3,2022-11-01 08:10:09.467065,/nfl/player-stat/field-goals-succeeded-20-to-29
15,11,Younghoe Koo,Atlanta Falcons,K,3,2022-11-01 08:10:09.467065,/nfl/player-stat/field-goals-succeeded-20-to-29
16,11,Cade York,Cleveland Browns,K,3,2022-11-01 08:10:09.467065,/nfl/player-stat/field-goals-succeeded-20-to-29
17,11,Jason Sanders,Miami Dolphins,K,3,2022-11-01 08:10:09.467065,/nfl/player-stat/field-goals-succeeded-20-to-29
18,11,Taylor Bertolet,Carolina Panthers,KR,3,2022-11-01 08:10:09.467065,/nfl/player-stat/field-goals-succeeded-20-to-29
19,11,Chris Boswell,Pittsburgh Steelers,K,3,2022-11-01 08:10:09.467065,/nfl/player-stat/field-goals-succeeded-20-to-29
20,21,Mason Crosby,Green Bay Packers,K,2,2022-11-01 08:10:09.467065,/nfl/player-stat/field-goals-succeeded-20-to-29
21,21,Jake Elliott,Philadelphia Eagles,K,2,2022-11-01 08:10:09.467065,/nfl/player-stat/field-goals-succeeded-20-to-29
22,21,Nick Folk,New England Patriots,K,2,2022-11-01 08:10:09.467065,/nfl/player-stat/field-goals-succeeded-20-to-29
23,21,Evan McPherson,Cincinnati Bengals,K,2,2022-11-01 08:10:09.467065,/nfl/player-stat/field-goals-succeeded-20-to-29
24,21,Ka'imi Fairbairn,Houston Texans,K,2,2022-11-01 08:10:09.467065,/nfl/player-stat/field-goals-succeeded-20-to-29
25,21,Rodrigo Blankenship,Arizona Cardinals,K,2,2022-11-01 08:10:09.467065,/nfl/player-stat/field-goals-succeeded-20-to-29
26,21,Greg Zuerlein,New York Jets,K,2,2022-11-01 08:10:09.467065,/nfl/player-stat/field-goals-succeeded-20-to-29
27,21,Dustin Hopkins,Los Angeles Chargers,K,2,2022-11-01 08:10:09.467065,/nfl/player-stat/field-goals-succeeded-20-to-29
28,29,Wil Lutz,New Orleans Saints,K,1,2022-11-01 08:10:09.467065,/nfl/player-stat/field-goals-succeeded-20-to-29
