,Rank,Player,Team,Pos,Value,asof,url
0,1,Tariq Woolen,Seattle Seahawks,CB,2,2022-10-25 10:52:59.148748,/nfl/player-stat/fumbles-recovered-lost-by-opposition
1,1,BJ Hill,Cincinnati Bengals,DT,2,2022-10-25 10:52:59.148748,/nfl/player-stat/fumbles-recovered-lost-by-opposition
2,1,Sam Williams,Dallas Cowboys,DE,2,2022-10-25 10:52:59.148748,/nfl/player-stat/fumbles-recovered-lost-by-opposition
3,1,Brenden Schooler,New England Patriots,DB,2,2022-10-25 10:52:59.148748,/nfl/player-stat/fumbles-recovered-lost-by-opposition
4,1,Haason Reddick,Philadelphia Eagles,LB,2,2022-10-25 10:52:59.148748,/nfl/player-stat/fumbles-recovered-lost-by-opposition
5,1,Dane Belton,New York Giants,S,2,2022-10-25 10:52:59.148748,/nfl/player-stat/fumbles-recovered-lost-by-opposition
6,1,Mike Jackson,Seattle Seahawks,CB,2,2022-10-25 10:52:59.148748,/nfl/player-stat/fumbles-recovered-lost-by-opposition
7,1,Rashaan Evans,Atlanta Falcons,LB,2,2022-10-25 10:52:59.148748,/nfl/player-stat/fumbles-recovered-lost-by-opposition
8,1,Melvin Ingram III,Miami Dolphins,LB,2,2022-10-25 10:52:59.148748,/nfl/player-stat/fumbles-recovered-lost-by-opposition
9,1,Javon Hargrave,Philadelphia Eagles,DT,2,2022-10-25 10:52:59.148748,/nfl/player-stat/fumbles-recovered-lost-by-opposition
10,1,Foyesade Oluokun,Jacksonville Jaguars,LB,2,2022-10-25 10:52:59.148748,/nfl/player-stat/fumbles-recovered-lost-by-opposition
11,1,Byron Murphy Jr.,Arizona Cardinals,CB,2,2022-10-25 10:52:59.148748,/nfl/player-stat/fumbles-recovered-lost-by-opposition
12,1,Bud Dupree,Tennessee Titans,LB,2,2022-10-25 10:52:59.148748,/nfl/player-stat/fumbles-recovered-lost-by-opposition
13,14,Ross Dwelley,San Francisco 49ers,TE,1,2022-10-25 10:52:59.148748,/nfl/player-stat/fumbles-recovered-lost-by-opposition
14,14,Marlon Humphrey,Baltimore Ravens,CB,1,2022-10-25 10:52:59.148748,/nfl/player-stat/fumbles-recovered-lost-by-opposition
15,14,Denzel Ward,Cleveland Browns,CB,1,2022-10-25 10:52:59.148748,/nfl/player-stat/fumbles-recovered-lost-by-opposition
16,14,Amani Oruwariye,Detroit Lions,CB,1,2022-10-25 10:52:59.148748,/nfl/player-stat/fumbles-recovered-lost-by-opposition
17,14,Josey Jewell,Denver Broncos,LB,1,2022-10-25 10:52:59.148748,/nfl/player-stat/fumbles-recovered-lost-by-opposition
