,Rank,Player,Team,Pos,Value,asof,url
0,1,Amik Robertson,Las Vegas Raiders,CB,1,2022-11-23 18:37:03.894850,/nfl/player-stat/fumbles-recovered-touchdowns
1,1,Kyle Dugger,New England Patriots,DB,1,2022-11-23 18:37:03.894850,/nfl/player-stat/fumbles-recovered-touchdowns
2,1,Melvin Ingram III,Miami Dolphins,LB,1,2022-11-23 18:37:03.894850,/nfl/player-stat/fumbles-recovered-touchdowns
3,1,Chris Banjo,Arizona Cardinals,S,1,2022-11-23 18:37:03.894850,/nfl/player-stat/fumbles-recovered-touchdowns
4,1,Demarcus Lawrence,Dallas Cowboys,DE,1,2022-11-23 18:37:03.894850,/nfl/player-stat/fumbles-recovered-touchdowns
5,1,Casey Toohill,Washington Commanders,DE,1,2022-11-23 18:37:03.894850,/nfl/player-stat/fumbles-recovered-touchdowns
6,1,Micah Parsons,Dallas Cowboys,LB,1,2022-11-23 18:37:03.894850,/nfl/player-stat/fumbles-recovered-touchdowns
7,1,Denzel Ward,Cleveland Browns,CB,1,2022-11-23 18:37:03.894850,/nfl/player-stat/fumbles-recovered-touchdowns
8,1,Eric Kendricks,Minnesota Vikings,LB,1,2022-11-23 18:37:03.894850,/nfl/player-stat/fumbles-recovered-touchdowns
9,1,Marquis Haynes Sr.,Carolina Panthers,DE,1,2022-11-23 18:37:03.894850,/nfl/player-stat/fumbles-recovered-touchdowns
10,1,Byron Murphy Jr.,Arizona Cardinals,CB,1,2022-11-23 18:37:03.894850,/nfl/player-stat/fumbles-recovered-touchdowns
11,12,Jordan Kunaszyk,Cleveland Browns,LB,0,2022-11-23 18:37:03.894850,/nfl/player-stat/fumbles-recovered-touchdowns
12,12,Noah Igbinoghene,Miami Dolphins,CB,0,2022-11-23 18:37:03.894850,/nfl/player-stat/fumbles-recovered-touchdowns
13,12,Phil Hoskins,Carolina Panthers,DT,0,2022-11-23 18:37:03.894850,/nfl/player-stat/fumbles-recovered-touchdowns
14,12,Kyle Peko,Las Vegas Raiders,DT,0,2022-11-23 18:37:03.894850,/nfl/player-stat/fumbles-recovered-touchdowns
15,12,Garret Wallow,Houston Texans,LB,0,2022-11-23 18:37:03.894850,/nfl/player-stat/fumbles-recovered-touchdowns
16,12,DeMarvin Leal,Pittsburgh Steelers,DE,0,2022-11-23 18:37:03.894850,/nfl/player-stat/fumbles-recovered-touchdowns
17,12,Tyler Lockett,Seattle Seahawks,WR,0,2022-11-23 18:37:03.894850,/nfl/player-stat/fumbles-recovered-touchdowns
18,12,Will Clapp,Los Angeles Chargers,C,0,2022-11-23 18:37:03.894850,/nfl/player-stat/fumbles-recovered-touchdowns
19,12,Shy Tuttle,New Orleans Saints,DT,0,2022-11-23 18:37:03.894850,/nfl/player-stat/fumbles-recovered-touchdowns
20,12,Isaiahh Loudermilk,Pittsburgh Steelers,DT,0,2022-11-23 18:37:03.894850,/nfl/player-stat/fumbles-recovered-touchdowns
21,12,Tylan Wallace,Baltimore Ravens,WR,0,2022-11-23 18:37:03.894850,/nfl/player-stat/fumbles-recovered-touchdowns
22,12,Christian Darrisaw,Minnesota Vikings,T,0,2022-11-23 18:37:03.894850,/nfl/player-stat/fumbles-recovered-touchdowns
23,12,Terrance Mitchell,Tennessee Titans,DB,0,2022-11-23 18:37:03.894850,/nfl/player-stat/fumbles-recovered-touchdowns
