,Rank,Player,Team,Pos,Value,asof,url
0,1,Fletcher Cox,Philadelphia Eagles,DT,13,2022-12-15 02:32:48.656064,/nfl/player-stat/games-played
1,1,Jalen Hurts,Philadelphia Eagles,QB,13,2022-12-15 02:32:48.656064,/nfl/player-stat/games-played
2,1,Tyler Linderbaum,Baltimore Ravens,C,13,2022-12-15 02:32:48.656064,/nfl/player-stat/games-played
3,1,Kerby Joseph,Detroit Lions,S,13,2022-12-15 02:32:48.656064,/nfl/player-stat/games-played
4,1,Tae Crowder,New York Giants,LB,13,2022-12-15 02:32:48.656064,/nfl/player-stat/games-played
5,1,Richie James,New York Giants,WR,13,2022-12-15 02:32:48.656064,/nfl/player-stat/games-played
6,1,Cam Brown,New York Giants,LB,13,2022-12-15 02:32:48.656064,/nfl/player-stat/games-played
7,1,Montravius Adams,Pittsburgh Steelers,DT,13,2022-12-15 02:32:48.656064,/nfl/player-stat/games-played
8,1,Skyy Moore,Kansas City Chiefs,WR,13,2022-12-15 02:32:48.656064,/nfl/player-stat/games-played
9,1,Greg Joseph,Minnesota Vikings,K,13,2022-12-15 02:32:48.656064,/nfl/player-stat/games-played
10,1,Ian Thomas,Carolina Panthers,TE,13,2022-12-15 02:32:48.656064,/nfl/player-stat/games-played
11,1,Brandon Facyson,Indianapolis Colts,CB,13,2022-12-15 02:32:48.656064,/nfl/player-stat/games-played
12,1,Justin Jackson,Detroit Lions,RB,13,2022-12-15 02:32:48.656064,/nfl/player-stat/games-played
13,1,Matthew Orzech,Los Angeles Rams,LS,13,2022-12-15 02:32:48.656064,/nfl/player-stat/games-played
14,1,Saahdiq Charles,Washington Commanders,T,13,2022-12-15 02:32:48.656064,/nfl/player-stat/games-played
15,1,Jacoby Brissett,Cleveland Browns,QB,13,2022-12-15 02:32:48.656064,/nfl/player-stat/games-played
16,1,Jacob Martin,Denver Broncos,DL,13,2022-12-15 02:32:48.656064,/nfl/player-stat/games-played
17,1,Connor Williams,Miami Dolphins,OL,13,2022-12-15 02:32:48.656064,/nfl/player-stat/games-played
18,1,Jaylon Moore,San Francisco 49ers,OL,13,2022-12-15 02:32:48.656064,/nfl/player-stat/games-played
19,1,Matthew Judon,New England Patriots,LB,13,2022-12-15 02:32:48.656064,/nfl/player-stat/games-played
20,1,Zack Martin,Dallas Cowboys,G,13,2022-12-15 02:32:48.656064,/nfl/player-stat/games-played
21,1,Eddy Pineiro,Carolina Panthers,K,13,2022-12-15 02:32:48.656064,/nfl/player-stat/games-played
22,1,Elandon Roberts,Miami Dolphins,LB,13,2022-12-15 02:32:48.656064,/nfl/player-stat/games-played
23,1,Brandon Graham,Philadelphia Eagles,DE,13,2022-12-15 02:32:48.656064,/nfl/player-stat/games-played
24,1,Ezra Cleveland,Minnesota Vikings,G,13,2022-12-15 02:32:48.656064,/nfl/player-stat/games-played
25,1,Zander Horvath,Los Angeles Chargers,FB,13,2022-12-15 02:32:48.656064,/nfl/player-stat/games-played
26,1,Anthony Pittman,Detroit Lions,LB,13,2022-12-15 02:32:48.656064,/nfl/player-stat/games-played
27,1,Patrick Queen,Baltimore Ravens,LB,13,2022-12-15 02:32:48.656064,/nfl/player-stat/games-played
28,1,Donovan Wilson,Dallas Cowboys,S,13,2022-12-15 02:32:48.656064,/nfl/player-stat/games-played
29,1,Laremy Tunsil,Houston Texans,OL,13,2022-12-15 02:32:48.656064,/nfl/player-stat/games-played
30,1,Austin Corbett,Carolina Panthers,G,13,2022-12-15 02:32:48.656064,/nfl/player-stat/games-played
31,1,Tony Pollard,Dallas Cowboys,RB,13,2022-12-15 02:32:48.656064,/nfl/player-stat/games-played
32,1,Roy Lopez,Houston Texans,DL,13,2022-12-15 02:32:48.656064,/nfl/player-stat/games-played
33,1,Josh Myers,Green Bay Packers,C,13,2022-12-15 02:32:48.656064,/nfl/player-stat/games-played
34,1,Penei Sewell,Detroit Lions,T,13,2022-12-15 02:32:48.656064,/nfl/player-stat/games-played
35,1,Josh Blackwell,Chicago Bears,DB,13,2022-12-15 02:32:48.656064,/nfl/player-stat/games-played
36,1,Michael Hoecht,Los Angeles Rams,DT,13,2022-12-15 02:32:48.656064,/nfl/player-stat/games-played
37,1,Geno Smith,Seattle Seahawks,QB,13,2022-12-15 02:32:48.656064,/nfl/player-stat/games-played
38,1,Quenton Nelson,Indianapolis Colts,G,13,2022-12-15 02:32:48.656064,/nfl/player-stat/games-played
39,1,Melvin Ingram III,Miami Dolphins,LB,13,2022-12-15 02:32:48.656064,/nfl/player-stat/games-played
40,1,Taron Johnson,Buffalo Bills,CB,13,2022-12-15 02:32:48.656064,/nfl/player-stat/games-played
