,Rank,Player,Team,Pos,Value,asof,url
0,1,DJ Moore,Carolina Panthers,WR,9,2022-11-08 07:22:58.796124,/nfl/player-stat/games-started
1,1,Cole Strange,New England Patriots,OL,9,2022-11-08 07:22:58.796124,/nfl/player-stat/games-started
2,1,Christian Kirk,Jacksonville Jaguars,WR,9,2022-11-08 07:22:58.796124,/nfl/player-stat/games-started
3,1,La'el Collins,Cincinnati Bengals,T,9,2022-11-08 07:22:58.796124,/nfl/player-stat/games-started
4,1,Will Hernandez,Arizona Cardinals,OL,9,2022-11-08 07:22:58.796124,/nfl/player-stat/games-started
5,1,Zaire Franklin,Indianapolis Colts,LB,9,2022-11-08 07:22:58.796124,/nfl/player-stat/games-started
6,1,Jevon Holland,Miami Dolphins,S,9,2022-11-08 07:22:58.796124,/nfl/player-stat/games-started
7,1,Tyson Campbell,Jacksonville Jaguars,CB,9,2022-11-08 07:22:58.796124,/nfl/player-stat/games-started
8,1,Jake Matthews,Atlanta Falcons,T,9,2022-11-08 07:22:58.796124,/nfl/player-stat/games-started
9,1,Charles Cross,Seattle Seahawks,T,9,2022-11-08 07:22:58.796124,/nfl/player-stat/games-started
10,1,Jerome Baker,Miami Dolphins,LB,9,2022-11-08 07:22:58.796124,/nfl/player-stat/games-started
11,1,Taylor Moton,Carolina Panthers,T,9,2022-11-08 07:22:58.796124,/nfl/player-stat/games-started
12,1,Ikem Ekwonu,Carolina Panthers,T,9,2022-11-08 07:22:58.796124,/nfl/player-stat/games-started
13,1,Stephon Gilmore,Indianapolis Colts,CB,9,2022-11-08 07:22:58.796124,/nfl/player-stat/games-started
14,1,Darnell Mooney,Chicago Bears,WR,9,2022-11-08 07:22:58.796124,/nfl/player-stat/games-started
15,1,Chris Lindstrom,Atlanta Falcons,G,9,2022-11-08 07:22:58.796124,/nfl/player-stat/games-started
16,1,Jordan Whitehead,New York Jets,S,9,2022-11-08 07:22:58.796124,/nfl/player-stat/games-started
17,1,Preston Smith,Green Bay Packers,LB,9,2022-11-08 07:22:58.796124,/nfl/player-stat/games-started
18,1,Leonard Fournette,Tampa Bay Buccaneers,RB,9,2022-11-08 07:22:58.796124,/nfl/player-stat/games-started
19,1,C.J. Mosley,New York Jets,LB,9,2022-11-08 07:22:58.796124,/nfl/player-stat/games-started
20,1,Benjamin St-Juste,Washington Commanders,CB,9,2022-11-08 07:22:58.796124,/nfl/player-stat/games-started
21,1,Lamarcus Joyner,New York Jets,S,9,2022-11-08 07:22:58.796124,/nfl/player-stat/games-started
22,1,Tom Brady,Tampa Bay Buccaneers,QB,9,2022-11-08 07:22:58.796124,/nfl/player-stat/games-started
23,1,Jaylen Waddle,Miami Dolphins,WR,9,2022-11-08 07:22:58.796124,/nfl/player-stat/games-started
24,1,D.J. Reed,New York Jets,CB,9,2022-11-08 07:22:58.796124,/nfl/player-stat/games-started
25,1,Tyrann Mathieu,New Orleans Saints,S,9,2022-11-08 07:22:58.796124,/nfl/player-stat/games-started
26,1,Eric Stokes,Green Bay Packers,CB,9,2022-11-08 07:22:58.796124,/nfl/player-stat/games-started
27,1,James Hurst,New Orleans Saints,OL,9,2022-11-08 07:22:58.796124,/nfl/player-stat/games-started
28,1,Sheldon Rankins,New York Jets,DL,9,2022-11-08 07:22:58.796124,/nfl/player-stat/games-started
29,1,Robert Hainsey,Tampa Bay Buccaneers,OL,9,2022-11-08 07:22:58.796124,/nfl/player-stat/games-started
30,1,John Franklin-Myers,New York Jets,DL,9,2022-11-08 07:22:58.796124,/nfl/player-stat/games-started
31,1,Justin Jones,Chicago Bears,DL,9,2022-11-08 07:22:58.796124,/nfl/player-stat/games-started
32,1,Dean Lowry,Green Bay Packers,DL,9,2022-11-08 07:22:58.796124,/nfl/player-stat/games-started
33,1,Geno Smith,Seattle Seahawks,QB,9,2022-11-08 07:22:58.796124,/nfl/player-stat/games-started
34,1,Tyreek Hill,Miami Dolphins,WR,9,2022-11-08 07:22:58.796124,/nfl/player-stat/games-started
35,1,Poona Ford,Seattle Seahawks,DT,9,2022-11-08 07:22:58.796124,/nfl/player-stat/games-started
36,1,Austin Corbett,Carolina Panthers,G,9,2022-11-08 07:22:58.796124,/nfl/player-stat/games-started
37,1,Patrick Queen,Baltimore Ravens,LB,9,2022-11-08 07:22:58.796124,/nfl/player-stat/games-started
38,1,Demario Davis,New Orleans Saints,LB,9,2022-11-08 07:22:58.796124,/nfl/player-stat/games-started
39,1,Kenny Moore II,Indianapolis Colts,CB,9,2022-11-08 07:22:58.796124,/nfl/player-stat/games-started
40,1,Carl Lawson,New York Jets,DL,9,2022-11-08 07:22:58.796124,/nfl/player-stat/games-started
41,1,Travon Walker,Jacksonville Jaguars,LB,9,2022-11-08 07:22:58.796124,/nfl/player-stat/games-started
42,1,Cesar Ruiz,New Orleans Saints,C,9,2022-11-08 07:22:58.796124,/nfl/player-stat/games-started
43,1,Montez Sweat,Washington Commanders,DE,9,2022-11-08 07:22:58.796124,/nfl/player-stat/games-started
44,1,Marcedes Lewis,Green Bay Packers,TE,9,2022-11-08 07:22:58.796124,/nfl/player-stat/games-started
45,1,Lamar Jackson,Baltimore Ravens,QB,9,2022-11-08 07:22:58.796124,/nfl/player-stat/games-started
46,1,Jalen Thompson,Arizona Cardinals,S,9,2022-11-08 07:22:58.796124,/nfl/player-stat/games-started
47,1,Ja'Whaun Bentley,New England Patriots,LB,9,2022-11-08 07:22:58.796124,/nfl/player-stat/games-started
48,1,Kevin Zeitler,Baltimore Ravens,G,9,2022-11-08 07:22:58.796124,/nfl/player-stat/games-started
49,1,Mike Jackson,Seattle Seahawks,CB,9,2022-11-08 07:22:58.796124,/nfl/player-stat/games-started
50,1,Byron Murphy Jr.,Arizona Cardinals,CB,9,2022-11-08 07:22:58.796124,/nfl/player-stat/games-started
51,1,Rashaan Evans,Atlanta Falcons,LB,9,2022-11-08 07:22:58.796124,/nfl/player-stat/games-started
52,1,Andrew Norwell,Washington Commanders,G,9,2022-11-08 07:22:58.796124,/nfl/player-stat/games-started
53,1,Brian Burns,Carolina Panthers,DE,9,2022-11-08 07:22:58.796124,/nfl/player-stat/games-started
54,1,Tyler Conklin,New York Jets,TE,9,2022-11-08 07:22:58.796124,/nfl/player-stat/games-started
55,1,Adrian Amos,Green Bay Packers,S,9,2022-11-08 07:22:58.796124,/nfl/player-stat/games-started
56,1,Abraham Lucas,Seattle Seahawks,T,9,2022-11-08 07:22:58.796124,/nfl/player-stat/games-started
