,Rank,Player,Team,Pos,Value,asof,url
0,1,Matt Milano,Buffalo Bills,LB,1,2022-09-27 19:21:31.711661,/nfl/player-stat/interceptions-returned-touchdowns
1,1,James Bradberry,Philadelphia Eagles,CB,1,2022-09-27 19:21:31.711661,/nfl/player-stat/interceptions-returned-touchdowns
2,1,Mike Edwards,Tampa Bay Buccaneers,S,1,2022-09-27 19:21:31.711661,/nfl/player-stat/interceptions-returned-touchdowns
3,1,Jaylen Watson,Kansas City Chiefs,CB,1,2022-09-27 19:21:31.711661,/nfl/player-stat/interceptions-returned-touchdowns
4,1,Minkah Fitzpatrick,Pittsburgh Steelers,S,1,2022-09-27 19:21:31.711661,/nfl/player-stat/interceptions-returned-touchdowns
5,6,C.J. Beathard,Jacksonville Jaguars,QB,0,2022-09-27 19:21:31.711661,/nfl/player-stat/interceptions-returned-touchdowns
6,6,Mac Jones,New England Patriots,QB,0,2022-09-27 19:21:31.711661,/nfl/player-stat/interceptions-returned-touchdowns
7,6,Jonathan Owens,Houston Texans,DB,0,2022-09-27 19:21:31.711661,/nfl/player-stat/interceptions-returned-touchdowns
8,6,Greg Dortch,Arizona Cardinals,WR,0,2022-09-27 19:21:31.711661,/nfl/player-stat/interceptions-returned-touchdowns
9,6,Zach Tom,Green Bay Packers,OL,0,2022-09-27 19:21:31.711661,/nfl/player-stat/interceptions-returned-touchdowns
10,6,Dak Prescott,Dallas Cowboys,QB,0,2022-09-27 19:21:31.711661,/nfl/player-stat/interceptions-returned-touchdowns
11,6,Matt Nelson,Detroit Lions,T,0,2022-09-27 19:21:31.711661,/nfl/player-stat/interceptions-returned-touchdowns
12,6,Michael Dwumfour,Houston Texans,DL,0,2022-09-27 19:21:31.711661,/nfl/player-stat/interceptions-returned-touchdowns
13,6,Jeremiah Owusu-Koramoah,Cleveland Browns,LB,0,2022-09-27 19:21:31.711661,/nfl/player-stat/interceptions-returned-touchdowns
14,6,Cole Strange,New England Patriots,G,0,2022-09-27 19:21:31.711661,/nfl/player-stat/interceptions-returned-touchdowns
15,6,Cameron Erving,Carolina Panthers,T,0,2022-09-27 19:21:31.711661,/nfl/player-stat/interceptions-returned-touchdowns
16,6,Arthur Maulet,Pittsburgh Steelers,CB,0,2022-09-27 19:21:31.711661,/nfl/player-stat/interceptions-returned-touchdowns
17,6,Hunter Renfrow,Las Vegas Raiders,WR,0,2022-09-27 19:21:31.711661,/nfl/player-stat/interceptions-returned-touchdowns
18,6,Daniel Thomas,Jacksonville Jaguars,S,0,2022-09-27 19:21:31.711661,/nfl/player-stat/interceptions-returned-touchdowns
19,6,Kendrick Green,Pittsburgh Steelers,C,0,2022-09-27 19:21:31.711661,/nfl/player-stat/interceptions-returned-touchdowns
20,6,James Mitchell,Detroit Lions,TE,0,2022-09-27 19:21:31.711661,/nfl/player-stat/interceptions-returned-touchdowns
21,6,Carson Tinker,Seattle Seahawks,LB,0,2022-09-27 19:21:31.711661,/nfl/player-stat/interceptions-returned-touchdowns
22,6,Josh Woods,Detroit Lions,LB,0,2022-09-27 19:21:31.711661,/nfl/player-stat/interceptions-returned-touchdowns
23,6,Mike McGlinchey,San Francisco 49ers,T,0,2022-09-27 19:21:31.711661,/nfl/player-stat/interceptions-returned-touchdowns
24,6,Thomas Morstead,Miami Dolphins,P,0,2022-09-27 19:21:31.711661,/nfl/player-stat/interceptions-returned-touchdowns
25,6,Phil Haynes,Seattle Seahawks,G,0,2022-09-27 19:21:31.711661,/nfl/player-stat/interceptions-returned-touchdowns
26,6,Pat Elflein,Carolina Panthers,G,0,2022-09-27 19:21:31.711661,/nfl/player-stat/interceptions-returned-touchdowns
27,6,Jedrick Wills Jr.,Cleveland Browns,T,0,2022-09-27 19:21:31.711661,/nfl/player-stat/interceptions-returned-touchdowns
28,6,Jerome Ford,Cleveland Browns,RB,0,2022-09-27 19:21:31.711661,/nfl/player-stat/interceptions-returned-touchdowns
29,6,Rashard Lawrence,Arizona Cardinals,DT,0,2022-09-27 19:21:31.711661,/nfl/player-stat/interceptions-returned-touchdowns
