,Rank,Player,Team,Pos,Value,asof,url
0,1,Cordarrelle Patterson,Atlanta Falcons,RB,1,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
1,1,Devin Duvernay,Baltimore Ravens,WR,1,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
2,1,Kene Nwangwu,Minnesota Vikings,RB,1,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
3,4,Tua Tagovailoa,Miami Dolphins,QB,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
4,4,Dan Arnold,Jacksonville Jaguars,TE,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
5,4,Jayon Brown,Las Vegas Raiders,LB,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
6,4,Taron Johnson,Buffalo Bills,CB,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
7,4,Eric Tomlinson,Denver Broncos,TE,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
8,4,Taco Charlton,Chicago Bears,DE,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
9,4,Derrick Henry,Tennessee Titans,RB,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
10,4,Scott Daly,Detroit Lions,LS,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
11,4,Patrick O'Connor,Tampa Bay Buccaneers,DL,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
12,4,Dax Hill,Cincinnati Bengals,S,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
13,4,Chauncey Golston,Dallas Cowboys,DE,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
14,4,Colby Parkinson,Seattle Seahawks,TE,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
15,4,Rhamondre Stevenson,New England Patriots,RB,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
16,4,Mason Rudolph,Pittsburgh Steelers,QB,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
17,4,Jaquan Johnson,Buffalo Bills,S,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
18,4,Larry Rountree III,Los Angeles Chargers,RB,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
19,4,Bernhard Raimann,Indianapolis Colts,T,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
20,4,Troy Reeder,Los Angeles Chargers,LB,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
21,4,Jessie Bates III,Cincinnati Bengals,S,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
22,4,Darnell Mooney,Chicago Bears,WR,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
23,4,Pressley Harvin III,Pittsburgh Steelers,P,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
24,4,Joseph Ossai,Cincinnati Bengals,DE,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
25,4,Max Scharping,Cincinnati Bengals,G,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
26,4,Jakobi Meyers,New England Patriots,WR,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
27,4,Joe Thuney,Kansas City Chiefs,OL,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
28,4,Trysten Hill,Arizona Cardinals,DT,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
29,4,Mark Robinson,Pittsburgh Steelers,LB,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
30,4,Jonnu Smith,New England Patriots,TE,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
31,4,Dee Delaney,Tampa Bay Buccaneers,CB,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
32,4,Bruce Irvin,Seattle Seahawks,LB,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
33,4,Justin Ellis,New York Giants,DL,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
34,4,Jordan Howard,Philadelphia Eagles,RB,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
35,4,Ryan Griffin,Chicago Bears,TE,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
36,4,Andrus Peat,New Orleans Saints,G,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
37,4,Ronald Darby,Denver Broncos,CB,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
38,4,Jeremy Chinn,Carolina Panthers,S,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
39,4,Drue Chrisman,Cincinnati Bengals,P,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
40,4,Sam Cosmi,Washington Commanders,T,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
41,4,Lewis Cine,Minnesota Vikings,S,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
42,4,Noah Brown,Dallas Cowboys,WR,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
43,4,Keke Coutee,Indianapolis Colts,WR,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
44,4,Patrick Taylor,Green Bay Packers,RB,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
45,4,Antonio Gibson,Washington Commanders,RB,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
46,4,Terrell Edmunds,Pittsburgh Steelers,S,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
47,4,Anthony Nelson,Tampa Bay Buccaneers,LB,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
48,4,Ross Blacklock,Minnesota Vikings,DL,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
49,4,David Anenih,Pittsburgh Steelers,LB,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
50,4,Tavierre Thomas,Houston Texans,DB,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
51,4,Daniel Wise,Washington Commanders,DT,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
52,4,William Jackson III,Pittsburgh Steelers,CB,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
53,4,Anthony Harris,Philadelphia Eagles,S,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
54,4,Jon Rhattigan,Seattle Seahawks,LB,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
55,4,Cesar Ruiz,New Orleans Saints,C,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
56,4,Adam Thielen,Minnesota Vikings,WR,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
57,4,Cameron Sutton,Pittsburgh Steelers,CB,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
58,4,Zach Ertz,Arizona Cardinals,TE,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
59,4,Shaquill Griffin,Jacksonville Jaguars,CB,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
60,4,Kirk Cousins,Minnesota Vikings,QB,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
61,4,Nick Vigil,Arizona Cardinals,LB,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
62,4,Michael Hoecht,Los Angeles Rams,DT,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
63,4,Antonio Williams,New York Giants,RB,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
64,4,Kellen Mond,Cleveland Browns,QB,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
65,4,Breece Hall,New York Jets,RB,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
66,4,Curtis Samuel,Washington Commanders,WR,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
67,4,Tyler Conklin,New York Jets,TE,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
68,4,Devin Harper,Dallas Cowboys,LB,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
69,4,Kenneth Murray Jr.,Los Angeles Chargers,LB,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
70,4,Greg Newsome II,Cleveland Browns,CB,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
71,4,Tre Herndon,Jacksonville Jaguars,CB,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
72,4,David Long Jr.,Tennessee Titans,LB,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
73,4,Camaron Cheeseman,Washington Commanders,LS,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
74,4,Nate Hobbs,Las Vegas Raiders,CB,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
75,4,Jalyn Armour-Davis,Baltimore Ravens,CB,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
76,4,Fred Johnson,Tampa Bay Buccaneers,OL,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
77,4,Trestan Ebner,Chicago Bears,RB,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
78,4,Jamie Gillan,New York Giants,P,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
79,4,Alvin Kamara,New Orleans Saints,RB,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
80,4,Minkah Fitzpatrick,Pittsburgh Steelers,S,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
81,4,Andre Roberts,Carolina Panthers,WR,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
82,4,Trent Taylor,Cincinnati Bengals,WR,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
83,4,T.J. Carrie,Carolina Panthers,DB,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
84,4,Tom Brady,Tampa Bay Buccaneers,QB,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
85,4,Stefon Diggs,Buffalo Bills,WR,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
86,4,Jarren Williams,New York Giants,CB,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
87,4,Mike Evans,Tampa Bay Buccaneers,WR,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
88,4,Jordan Elliott,Cleveland Browns,DT,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
89,4,Jelani Woods,Indianapolis Colts,TE,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
90,4,Kyler Gordon,Chicago Bears,DB,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
91,4,Jackson Barton,Las Vegas Raiders,T,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
92,4,Derwin James Jr.,Los Angeles Chargers,S,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
93,4,Josh Metellus,Minnesota Vikings,S,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
94,4,Ihmir Smith-Marsette,Minnesota Vikings,WR,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
95,4,Anthony Schwartz,Cleveland Browns,WR,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
96,4,Dre'Mont Jones,Denver Broncos,DE,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
97,4,Brian Burns,Carolina Panthers,DE,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
98,4,Alec Lindstrom,Dallas Cowboys,C,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
99,4,Lynn Bowden Jr.,New England Patriots,WR,0,2022-12-15 02:33:22.767881,/nfl/player-stat/kickoff-return-touchdowns
