,Rank,Player,Team,Pos,Value,asof,url
0,1,Donovan Peoples-Jones,Cleveland Browns,WR,1,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
1,1,Marcus Jones,New England Patriots,DB,1,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
2,1,Kalif Raymond,Detroit Lions,WR,1,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
3,4,Tom Brady,Tampa Bay Buccaneers,QB,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
4,4,Taco Charlton,Chicago Bears,DE,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
5,4,Derek Barnett,Philadelphia Eagles,DE,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
6,4,Wesley French,Indianapolis Colts,C,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
7,4,Damarri Mathis,Denver Broncos,CB,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
8,4,Adam Gotsis,Jacksonville Jaguars,DL,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
9,4,Nick Vannett,New York Giants,TE,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
10,4,Trent Sieg,Las Vegas Raiders,LS,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
11,4,Justin Skule,Tampa Bay Buccaneers,T,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
12,4,Dee Eskridge,Seattle Seahawks,WR,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
13,4,Larnel Coleman,Carolina Panthers,T,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
14,4,Odafe Oweh,Baltimore Ravens,LB,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
15,4,Kyle Van Noy,Los Angeles Chargers,LB,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
16,4,Henry Mondeaux,New York Giants,DL,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
17,4,Marquise Copeland,Los Angeles Rams,DT,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
18,4,Eddy Pineiro,Carolina Panthers,K,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
19,4,Ryan Stonehouse,Tennessee Titans,P,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
20,4,Trevor Lawrence,Jacksonville Jaguars,QB,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
21,4,Shaquill Griffin,Jacksonville Jaguars,CB,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
22,4,Zyon McCollum,Tampa Bay Buccaneers,CB,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
23,4,James Winchester,Kansas City Chiefs,LS,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
24,4,Keanu Neal,Tampa Bay Buccaneers,S,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
25,4,Keelan Doss,Los Angeles Chargers,WR,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
26,4,Quinton Bell,Atlanta Falcons,LB,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
27,4,Devin Lloyd,Jacksonville Jaguars,LB,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
28,4,Marcus Johnson,New York Giants,WR,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
29,4,Alex Wright,Cleveland Browns,DE,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
30,4,Mason Crosby,Green Bay Packers,K,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
31,4,Courtland Sutton,Denver Broncos,WR,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
32,4,Keir Thomas,Los Angeles Rams,LB,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
33,4,Jack Conklin,Cleveland Browns,T,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
34,4,Taylor Bertolet,Carolina Panthers,KR,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
35,4,Tyler Kroft,San Francisco 49ers,TE,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
36,4,Justin Herron,Las Vegas Raiders,T,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
37,4,Tim Settle,Buffalo Bills,DT,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
38,4,Jamir Jones,Pittsburgh Steelers,LB,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
39,4,TJ Carter,Los Angeles Rams,CB,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
40,4,Daniel Bellinger,New York Giants,TE,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
41,4,Lamarcus Joyner,New York Jets,S,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
42,4,Joe Gaziano,Los Angeles Chargers,DL,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
43,4,Roy Lopez,Houston Texans,DL,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
44,4,Chris Rumph II,Los Angeles Chargers,LB,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
45,4,Evan McPherson,Cincinnati Bengals,K,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
46,4,Trent Taylor,Cincinnati Bengals,WR,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
47,4,Joshua Onujiogu,Seattle Seahawks,LB,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
48,4,Michael Thomas,Cincinnati Bengals,S,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
49,4,Rashaad Coward,Arizona Cardinals,T,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
50,4,Foyesade Oluokun,Jacksonville Jaguars,LB,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
51,4,Elijah Riley,Pittsburgh Steelers,S,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
52,4,AJ Parker,Detroit Lions,CB,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
53,4,Lecitus Smith,Arizona Cardinals,OL,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
54,4,Leo Chenal,Kansas City Chiefs,LB,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
55,4,Duane Brown,New York Jets,T,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
56,4,Jalen Reeves-Maybin,Houston Texans,LB,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
57,4,JuJu Smith-Schuster,Kansas City Chiefs,WR,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
58,4,Jalen Guyton,Los Angeles Chargers,WR,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
59,4,Christian Holmes,Washington Commanders,CB,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
60,4,Pete Werner,New Orleans Saints,LB,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
61,4,Markus Golden,Arizona Cardinals,LB,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
62,4,Tyler Linderbaum,Baltimore Ravens,C,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
63,4,Davante Adams,Las Vegas Raiders,WR,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
64,4,Lucas Patrick,Chicago Bears,OL,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
65,4,Andrew Brown,Chicago Bears,DT,0,2023-01-01 15:48:23.585818,/nfl/player-stat/punt-return-touchdowns
