,Rank,Player,Team,Pos,Value,asof,url
0,1,Tress Way,Washington Commanders,P,1867,2022-10-25 10:52:29.358432,/nfl/player-stat/punting-gross-yards
1,2,Johnny Hekker,Carolina Panthers,P,1828,2022-10-25 10:52:29.358432,/nfl/player-stat/punting-gross-yards
2,3,Corliss Waitman,Denver Broncos,P,1759,2022-10-25 10:52:29.358432,/nfl/player-stat/punting-gross-yards
3,4,Braden Mann,New York Jets,P,1714,2022-10-25 10:52:29.358432,/nfl/player-stat/punting-gross-yards
4,5,Ryan Stonehouse,Tennessee Titans,P,1647,2022-10-25 10:52:29.358432,/nfl/player-stat/punting-gross-yards
5,6,Pressley Harvin III,Pittsburgh Steelers,P,1599,2022-10-25 10:52:29.358432,/nfl/player-stat/punting-gross-yards
6,7,Bryan Anger,Dallas Cowboys,P,1555,2022-10-25 10:52:29.358432,/nfl/player-stat/punting-gross-yards
7,8,Jake Camarda,Tampa Bay Buccaneers,P,1509,2022-10-25 10:52:29.358432,/nfl/player-stat/punting-gross-yards
8,9,Pat O'Donnell,Green Bay Packers,P,1426,2022-10-25 10:52:29.358432,/nfl/player-stat/punting-gross-yards
9,10,Blake Gillikin,New Orleans Saints,P,1401,2022-10-25 10:52:29.358432,/nfl/player-stat/punting-gross-yards
10,11,Jamie Gillan,New York Giants,P,1335,2022-10-25 10:52:29.358432,/nfl/player-stat/punting-gross-yards
11,12,Cameron Johnston,Houston Texans,P,1332,2022-10-25 10:52:29.358432,/nfl/player-stat/punting-gross-yards
12,13,Thomas Morstead,Miami Dolphins,P,1327,2022-10-25 10:52:29.358432,/nfl/player-stat/punting-gross-yards
13,14,Trenton Gill,Chicago Bears,P,1299,2022-10-25 10:52:29.358432,/nfl/player-stat/punting-gross-yards
14,15,Andy Lee,Arizona Cardinals,P,1256,2022-10-25 10:52:29.358432,/nfl/player-stat/punting-gross-yards
15,16,JK Scott,Los Angeles Chargers,P,1240,2022-10-25 10:52:29.358432,/nfl/player-stat/punting-gross-yards
16,17,Bradley Pinion,Atlanta Falcons,P,1237,2022-10-25 10:52:29.358432,/nfl/player-stat/punting-gross-yards
17,18,Matt Haack,Indianapolis Colts,P,1223,2022-10-25 10:52:29.358432,/nfl/player-stat/punting-gross-yards
18,19,Ryan Wright,Minnesota Vikings,P,1216,2022-10-25 10:52:29.358432,/nfl/player-stat/punting-gross-yards
19,20,Jake Bailey,New England Patriots,P,1123,2022-10-25 10:52:29.358432,/nfl/player-stat/punting-gross-yards
20,21,Corey Bojorquez,Cleveland Browns,P,1115,2022-10-25 10:52:29.358432,/nfl/player-stat/punting-gross-yards
21,22,Arryn Siposs,Philadelphia Eagles,P,1102,2022-10-25 10:52:29.358432,/nfl/player-stat/punting-gross-yards
22,23,Mitch Wishnowsky,San Francisco 49ers,P,1075,2022-10-25 10:52:29.358432,/nfl/player-stat/punting-gross-yards
23,24,Kevin Huber,Cincinnati Bengals,P,1073,2022-10-25 10:52:29.358432,/nfl/player-stat/punting-gross-yards
24,25,Michael Dickson,Seattle Seahawks,P,1024,2022-10-25 10:52:29.358432,/nfl/player-stat/punting-gross-yards
25,26,Jordan Stout,Baltimore Ravens,P,1012,2022-10-25 10:52:29.358432,/nfl/player-stat/punting-gross-yards
26,27,Logan Cooke,Jacksonville Jaguars,P,1010,2022-10-25 10:52:29.358432,/nfl/player-stat/punting-gross-yards
27,28,Riley Dixon,Los Angeles Rams,P,1007,2022-10-25 10:52:29.358432,/nfl/player-stat/punting-gross-yards
