,Rank,Player,Team,Pos,Value,asof,url
0,1,Mitch Wishnowsky,San Francisco 49ers,P,59.3%,2022-11-01 08:10:24.310333,/nfl/player-stat/punting-inside-twenty-percentage
1,2,Ryan Wright,Minnesota Vikings,P,53.1%,2022-11-01 08:10:24.310333,/nfl/player-stat/punting-inside-twenty-percentage
2,3,Cameron Johnston,Houston Texans,P,51.4%,2022-11-01 08:10:24.310333,/nfl/player-stat/punting-inside-twenty-percentage
3,4,Pat O'Donnell,Green Bay Packers,P,48.5%,2022-11-01 08:10:24.310333,/nfl/player-stat/punting-inside-twenty-percentage
4,4,Matt Haack,Indianapolis Colts,P,48.5%,2022-11-01 08:10:24.310333,/nfl/player-stat/punting-inside-twenty-percentage
5,6,Thomas Morstead,Miami Dolphins,P,46.7%,2022-11-01 08:10:24.310333,/nfl/player-stat/punting-inside-twenty-percentage
6,7,Arryn Siposs,Philadelphia Eagles,P,46.4%,2022-11-01 08:10:24.310333,/nfl/player-stat/punting-inside-twenty-percentage
7,8,Corey Bojorquez,Cleveland Browns,P,44.0%,2022-11-01 08:10:24.310333,/nfl/player-stat/punting-inside-twenty-percentage
8,9,JK Scott,Los Angeles Chargers,P,42.9%,2022-11-01 08:10:24.310333,/nfl/player-stat/punting-inside-twenty-percentage
9,9,Ryan Stonehouse,Tennessee Titans,P,42.9%,2022-11-01 08:10:24.310333,/nfl/player-stat/punting-inside-twenty-percentage
10,9,AJ Cole,Las Vegas Raiders,P,42.9%,2022-11-01 08:10:24.310333,/nfl/player-stat/punting-inside-twenty-percentage
11,12,Johnny Hekker,Carolina Panthers,P,42.5%,2022-11-01 08:10:24.310333,/nfl/player-stat/punting-inside-twenty-percentage
12,13,Tress Way,Washington Commanders,P,42.2%,2022-11-01 08:10:24.310333,/nfl/player-stat/punting-inside-twenty-percentage
13,13,Corliss Waitman,Denver Broncos,P,42.2%,2022-11-01 08:10:24.310333,/nfl/player-stat/punting-inside-twenty-percentage
14,15,Tommy Townsend,Kansas City Chiefs,P,42.1%,2022-11-01 08:10:24.310333,/nfl/player-stat/punting-inside-twenty-percentage
15,16,Sam Martin,Buffalo Bills,P,38.5%,2022-11-01 08:10:24.310333,/nfl/player-stat/punting-inside-twenty-percentage
16,17,Bryan Anger,Dallas Cowboys,P,37.1%,2022-11-01 08:10:24.310333,/nfl/player-stat/punting-inside-twenty-percentage
17,18,Jake Bailey,New England Patriots,P,36.7%,2022-11-01 08:10:24.310333,/nfl/player-stat/punting-inside-twenty-percentage
18,19,Jordan Stout,Baltimore Ravens,P,36.0%,2022-11-01 08:10:24.310333,/nfl/player-stat/punting-inside-twenty-percentage
19,20,Logan Cooke,Jacksonville Jaguars,P,34.6%,2022-11-01 08:10:24.310333,/nfl/player-stat/punting-inside-twenty-percentage
20,21,Bradley Pinion,Atlanta Falcons,P,33.3%,2022-11-01 08:10:24.310333,/nfl/player-stat/punting-inside-twenty-percentage
21,22,Blake Gillikin,New Orleans Saints,P,32.3%,2022-11-01 08:10:24.310333,/nfl/player-stat/punting-inside-twenty-percentage
22,23,Jake Camarda,Tampa Bay Buccaneers,P,31.6%,2022-11-01 08:10:24.310333,/nfl/player-stat/punting-inside-twenty-percentage
23,24,Jamie Gillan,New York Giants,P,30.3%,2022-11-01 08:10:24.310333,/nfl/player-stat/punting-inside-twenty-percentage
24,25,Michael Dickson,Seattle Seahawks,P,29.6%,2022-11-01 08:10:24.310333,/nfl/player-stat/punting-inside-twenty-percentage
25,26,Trenton Gill,Chicago Bears,P,29.0%,2022-11-01 08:10:24.310333,/nfl/player-stat/punting-inside-twenty-percentage
26,27,Kevin Huber,Cincinnati Bengals,P,28.6%,2022-11-01 08:10:24.310333,/nfl/player-stat/punting-inside-twenty-percentage
27,28,Braden Mann,New York Jets,P,27.5%,2022-11-01 08:10:24.310333,/nfl/player-stat/punting-inside-twenty-percentage
28,29,Pressley Harvin III,Pittsburgh Steelers,P,25.0%,2022-11-01 08:10:24.310333,/nfl/player-stat/punting-inside-twenty-percentage
29,30,Jack Fox,Detroit Lions,P,23.8%,2022-11-01 08:10:24.310333,/nfl/player-stat/punting-inside-twenty-percentage
30,31,Riley Dixon,Los Angeles Rams,P,23.1%,2022-11-01 08:10:24.310333,/nfl/player-stat/punting-inside-twenty-percentage
31,32,Andy Lee,Arizona Cardinals,P,20.0%,2022-11-01 08:10:24.310333,/nfl/player-stat/punting-inside-twenty-percentage
