,Rank,Player,Team,Pos,Value,asof,url
0,1,Corliss Waitman,Denver Broncos,P,96,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
1,2,Ryan Stonehouse,Tennessee Titans,P,90,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
2,3,Cameron Johnston,Houston Texans,P,88,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
3,4,Tress Way,Washington Commanders,P,83,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
4,4,Braden Mann,New York Jets,P,83,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
5,6,Johnny Hekker,Carolina Panthers,P,81,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
6,7,Jake Camarda,Tampa Bay Buccaneers,P,79,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
7,8,Blake Gillikin,New Orleans Saints,P,77,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
8,9,Jamie Gillan,New York Giants,P,74,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
9,10,Ryan Wright,Minnesota Vikings,P,73,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
10,10,JK Scott,Los Angeles Chargers,P,73,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
11,12,Riley Dixon,Los Angeles Rams,P,71,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
12,13,Matt Haack,Indianapolis Colts,P,70,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
13,14,Pressley Harvin III,Pittsburgh Steelers,P,69,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
14,15,Bryan Anger,Dallas Cowboys,P,68,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
15,16,Andy Lee,Arizona Cardinals,P,67,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
16,17,Michael Dickson,Seattle Seahawks,P,66,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
17,17,Trenton Gill,Chicago Bears,P,66,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
18,19,Bradley Pinion,Atlanta Falcons,P,62,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
19,20,Mitch Wishnowsky,San Francisco 49ers,P,61,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
20,20,Thomas Morstead,Miami Dolphins,P,61,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
21,20,Corey Bojorquez,Cleveland Browns,P,61,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
22,23,AJ Cole,Las Vegas Raiders,P,59,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
23,24,Logan Cooke,Jacksonville Jaguars,P,58,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
24,25,Jordan Stout,Baltimore Ravens,P,57,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
25,26,Tommy Townsend,Kansas City Chiefs,P,53,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
26,27,Jack Fox,Detroit Lions,P,52,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
27,27,Pat O'Donnell,Green Bay Packers,P,52,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
28,29,Sam Martin,Buffalo Bills,P,45,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
29,30,Arryn Siposs,Philadelphia Eagles,P,44,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
30,31,Michael Palardy,New England Patriots,P,42,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
31,32,Jake Bailey,New England Patriots,P,37,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
32,33,Kevin Huber,Cincinnati Bengals,P,31,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
33,34,Drue Chrisman,Cincinnati Bengals,P,28,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
34,35,Brett Kern,Philadelphia Eagles,P,10,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
35,36,Jake Elliott,Philadelphia Eagles,K,1,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
36,37,Kyle Fuller,Baltimore Ravens,CB,0,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
37,37,Geron Christian,Miami Dolphins,T,0,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
38,37,Eno Benjamin,New Orleans Saints,RB,0,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
39,37,Alex Cappa,Cincinnati Bengals,G,0,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
40,37,Joel Bitonio,Cleveland Browns,G,0,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
41,37,Chandler Brewer,Los Angeles Rams,T,0,2023-01-14 19:03:08.363671,/nfl/player-stat/punting-plays
