,Rank,Player,Team,Pos,Value,asof,url
0,1,Ryan Stonehouse,Tennessee Titans,P,54.0,2022-11-01 07:49:26.602137,/nfl/player-stat/punting-yards-per-punt
1,2,Tommy Townsend,Kansas City Chiefs,P,52.9,2022-11-01 07:49:26.602137,/nfl/player-stat/punting-yards-per-punt
2,3,Jamie Gillan,New York Giants,P,50.2,2022-11-01 07:49:26.602137,/nfl/player-stat/punting-yards-per-punt
3,4,AJ Cole,Las Vegas Raiders,P,50.1,2022-11-01 07:49:26.602137,/nfl/player-stat/punting-yards-per-punt
4,5,Logan Cooke,Jacksonville Jaguars,P,49.9,2022-11-01 07:49:26.602137,/nfl/player-stat/punting-yards-per-punt
5,6,Jack Fox,Detroit Lions,P,49.6,2022-11-01 07:49:26.602137,/nfl/player-stat/punting-yards-per-punt
6,7,Johnny Hekker,Carolina Panthers,P,49.2,2022-11-01 07:49:26.602137,/nfl/player-stat/punting-yards-per-punt
7,8,Jordan Stout,Baltimore Ravens,P,48.9,2022-11-01 07:49:26.602137,/nfl/player-stat/punting-yards-per-punt
8,9,Cameron Johnston,Houston Texans,P,48.7,2022-11-01 07:49:26.602137,/nfl/player-stat/punting-yards-per-punt
9,10,Michael Dickson,Seattle Seahawks,P,48.7,2022-11-01 07:49:26.602137,/nfl/player-stat/punting-yards-per-punt
10,11,Bryan Anger,Dallas Cowboys,P,48.5,2022-11-01 07:49:26.602137,/nfl/player-stat/punting-yards-per-punt
11,12,Riley Dixon,Los Angeles Rams,P,48.5,2022-11-01 07:49:26.602137,/nfl/player-stat/punting-yards-per-punt
12,13,Trenton Gill,Chicago Bears,P,48.5,2022-11-01 07:49:26.602137,/nfl/player-stat/punting-yards-per-punt
13,14,Bradley Pinion,Atlanta Falcons,P,48.2,2022-11-01 07:49:26.602137,/nfl/player-stat/punting-yards-per-punt
14,15,Tress Way,Washington Commanders,P,48.0,2022-11-01 07:49:26.602137,/nfl/player-stat/punting-yards-per-punt
15,16,Blake Gillikin,New Orleans Saints,P,47.8,2022-11-01 07:49:26.602137,/nfl/player-stat/punting-yards-per-punt
16,17,Braden Mann,New York Jets,P,47.6,2022-11-01 07:49:26.602137,/nfl/player-stat/punting-yards-per-punt
17,18,Corey Bojorquez,Cleveland Browns,P,47.3,2022-11-01 07:49:26.602137,/nfl/player-stat/punting-yards-per-punt
18,19,Jake Camarda,Tampa Bay Buccaneers,P,46.7,2022-11-01 07:49:26.602137,/nfl/player-stat/punting-yards-per-punt
19,20,Andy Lee,Arizona Cardinals,P,46.5,2022-11-01 07:49:26.602137,/nfl/player-stat/punting-yards-per-punt
20,21,Sam Martin,Buffalo Bills,P,46.4,2022-11-01 07:49:26.602137,/nfl/player-stat/punting-yards-per-punt
21,22,Corliss Waitman,Denver Broncos,P,45.9,2022-11-01 07:49:26.602137,/nfl/player-stat/punting-yards-per-punt
22,23,Pat O'Donnell,Green Bay Packers,P,45.9,2022-11-01 07:49:26.602137,/nfl/player-stat/punting-yards-per-punt
23,24,Arryn Siposs,Philadelphia Eagles,P,45.9,2022-11-01 07:49:26.602137,/nfl/player-stat/punting-yards-per-punt
24,25,Thomas Morstead,Miami Dolphins,P,45.5,2022-11-01 07:49:26.602137,/nfl/player-stat/punting-yards-per-punt
25,26,Ryan Wright,Minnesota Vikings,P,45.3,2022-11-01 07:49:26.602137,/nfl/player-stat/punting-yards-per-punt
26,27,Pressley Harvin III,Pittsburgh Steelers,P,44.5,2022-11-01 07:49:26.602137,/nfl/player-stat/punting-yards-per-punt
27,28,Mitch Wishnowsky,San Francisco 49ers,P,44.4,2022-11-01 07:49:26.602137,/nfl/player-stat/punting-yards-per-punt
28,29,JK Scott,Los Angeles Chargers,P,44.3,2022-11-01 07:49:26.602137,/nfl/player-stat/punting-yards-per-punt
29,30,Matt Haack,Indianapolis Colts,P,43.9,2022-11-01 07:49:26.602137,/nfl/player-stat/punting-yards-per-punt
30,31,Kevin Huber,Cincinnati Bengals,P,43.6,2022-11-01 07:49:26.602137,/nfl/player-stat/punting-yards-per-punt
31,32,Jake Bailey,New England Patriots,P,42.9,2022-11-01 07:49:26.602137,/nfl/player-stat/punting-yards-per-punt
