,Rank,Player,Team,Pos,Value,asof,url
0,1,Matt Ryan,Indianapolis Colts,QB,1,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
1,1,Davis Mills,Houston Texans,QB,1,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
2,3,Quandre Diggs,Seattle Seahawks,S,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
3,3,Germaine Pratt,Cincinnati Bengals,LB,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
4,3,Taylor Lewan,Tennessee Titans,T,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
5,3,Wyatt Teller,Cleveland Browns,G,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
6,3,Matt Nelson,Detroit Lions,T,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
7,3,Jordyn Brooks,Seattle Seahawks,LB,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
8,3,Damien Lewis,Seattle Seahawks,G,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
9,3,Trent Williams,San Francisco 49ers,T,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
10,3,Boston Scott,Philadelphia Eagles,RB,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
11,3,Arthur Maulet,Pittsburgh Steelers,CB,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
12,3,Isaiahh Loudermilk,Pittsburgh Steelers,DE,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
13,3,Nate Sudfeld,Detroit Lions,QB,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
14,3,Josh Woods,Detroit Lions,LB,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
15,3,Eddy Pineiro,Carolina Panthers,K,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
16,3,Jaylen Warren,Pittsburgh Steelers,RB,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
17,3,Phil Haynes,Seattle Seahawks,G,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
18,3,Rasul Douglas,Green Bay Packers,CB,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
19,3,Brittain Brown,Las Vegas Raiders,RB,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
20,3,Channing Tindall,Miami Dolphins,LB,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
21,3,Bobby Hart,Buffalo Bills,T,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
22,3,Dalton Risner,Denver Broncos,G,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
23,3,Akeem Spence,San Francisco 49ers,DT,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
24,3,Kareem Hunt,Cleveland Browns,RB,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
25,3,David Sills V,New York Giants,WR,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
26,3,Erik Harris,Atlanta Falcons,S,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
27,3,Simi Fehoko,Dallas Cowboys,WR,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
28,3,Rodney Hudson,Arizona Cardinals,OL,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
29,3,Folorunso Fatukasi,Jacksonville Jaguars,DT,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
30,3,Josiah Deguara,Green Bay Packers,TE,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
31,3,Patrick Taylor,Green Bay Packers,RB,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
32,3,Jalen Reagor,Minnesota Vikings,WR,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
33,3,Joe Jones,Tennessee Titans,LB,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
34,3,Blake Hance,San Francisco 49ers,G,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
35,3,Alohi Gilman,Los Angeles Chargers,S,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
36,3,Travon Walker,Jacksonville Jaguars,LB,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
37,3,Nik Needham,Miami Dolphins,CB,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
38,3,Raekwon Davis,Miami Dolphins,DT,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
39,3,T.J. Slaton,Green Bay Packers,DL,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
40,3,Brandon Aiyuk,San Francisco 49ers,WR,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
41,3,Demarcus Lawrence,Dallas Cowboys,DE,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
42,3,Lucas Patrick,Chicago Bears,OL,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
43,3,Brian Allen,Los Angeles Rams,C,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
44,3,Zach Ertz,Arizona Cardinals,TE,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
45,3,Myles Jack,Pittsburgh Steelers,LB,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
46,3,Daniel Jones,New York Giants,QB,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
47,3,Rock Ya-Sin,Las Vegas Raiders,CB,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
48,3,Hassan Haskins,Tennessee Titans,RB,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
49,3,Patrick Scales,Chicago Bears,LS,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
50,3,Jordan Willis,San Francisco 49ers,DL,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
51,3,Elijah Campbell,Miami Dolphins,DB,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
52,3,Justice Hill,Baltimore Ravens,RB,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
53,3,Anthony Rush,Atlanta Falcons,DT,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
54,3,Cordarrelle Patterson,Atlanta Falcons,RB,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
55,3,Mike Boone,Denver Broncos,RB,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
56,3,Benny Snell Jr.,Pittsburgh Steelers,RB,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
57,3,Isaiah Thomas,Cleveland Browns,DE,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
58,3,Jordan Stout,Baltimore Ravens,P,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
59,3,Budda Baker,Arizona Cardinals,S,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
60,3,Quinnen Williams,New York Jets,DL,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
61,3,Arron Mosby,Carolina Panthers,LB,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
62,3,Myjai Sanders,Arizona Cardinals,LB,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
63,3,Patrick O'Connor,Tampa Bay Buccaneers,DL,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
64,3,Marcus Peters,Baltimore Ravens,CB,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
65,3,Bryan Mone,Seattle Seahawks,DT,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
66,3,Trent Brown,New England Patriots,T,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
67,3,Ben Ellefson,Minnesota Vikings,TE,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
68,3,Alontae Taylor,New Orleans Saints,CB,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
69,3,Marvin Jones Jr.,Jacksonville Jaguars,WR,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
70,3,Rudy Ford,Green Bay Packers,S,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
71,3,Jerome Baker,Miami Dolphins,LB,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
72,3,Joey Blount,Seattle Seahawks,S,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
73,3,Shaq Thompson,Carolina Panthers,LB,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
74,3,Taron Johnson,Buffalo Bills,CB,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
75,3,Reggie Gilliam,Buffalo Bills,FB,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
76,3,Tariq Castro-Fields,Washington Commanders,CB,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
77,3,David Bell,Cleveland Browns,WR,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
78,3,Jalen Davis,Cincinnati Bengals,CB,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
79,3,Ezra Cleveland,Minnesota Vikings,G,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
80,3,D'Andre Swift,Detroit Lions,RB,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
81,3,Greg Rousseau,Buffalo Bills,DE,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
82,3,P.J. Williams,New Orleans Saints,CB,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
83,3,Brandon Allen,Cincinnati Bengals,QB,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
84,3,Dalton Schultz,Dallas Cowboys,TE,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
85,3,Lamarcus Joyner,New York Jets,S,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
86,3,Jonathan Allen,Washington Commanders,DT,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
87,3,Kaden Elliss,New Orleans Saints,LB,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
88,3,Mac Jones,New England Patriots,QB,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
89,3,Jonathan Owens,Houston Texans,DB,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
90,3,Randall Cobb,Green Bay Packers,WR,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
91,3,Laremy Tunsil,Houston Texans,OL,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
92,3,Kevin Givens,San Francisco 49ers,DL,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
93,3,Greg Dortch,Arizona Cardinals,WR,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
94,3,Zach Tom,Green Bay Packers,OL,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
95,3,Taylor Heinicke,Washington Commanders,QB,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
96,3,Ross Dwelley,San Francisco 49ers,TE,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
97,3,Michael Dwumfour,Houston Texans,DL,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
98,3,Jeremiah Owusu-Koramoah,Cleveland Browns,LB,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
99,3,Cole Strange,New England Patriots,G,0,2022-09-27 19:19:00.018745,/nfl/player-stat/quarterback-ties
