,Rank,Player,Team,Pos,Value,asof,url
0,1,Will Dissly,Seattle Seahawks,TE,100.0%,2022-09-22 15:15:49.831286,/nfl/player-stat/receiving-catch-rate
1,1,Mark Ingram II,New Orleans Saints,RB,100.0%,2022-09-22 15:15:49.831286,/nfl/player-stat/receiving-catch-rate
2,1,Travis Homer,Seattle Seahawks,RB,100.0%,2022-09-22 15:15:49.831286,/nfl/player-stat/receiving-catch-rate
3,1,Devin Duvernay,Baltimore Ravens,WR,100.0%,2022-09-22 15:15:49.831286,/nfl/player-stat/receiving-catch-rate
4,1,Kareem Hunt,Cleveland Browns,RB,100.0%,2022-09-22 15:15:49.831286,/nfl/player-stat/receiving-catch-rate
5,1,Darrell Henderson Jr.,Los Angeles Rams,RB,100.0%,2022-09-22 15:15:49.831286,/nfl/player-stat/receiving-catch-rate
6,1,Nick Chubb,Cleveland Browns,RB,100.0%,2022-09-22 15:15:49.831286,/nfl/player-stat/receiving-catch-rate
7,1,Melvin Gordon III,Denver Broncos,RB,100.0%,2022-09-22 15:15:49.831286,/nfl/player-stat/receiving-catch-rate
8,1,Clyde Edwards-Helaire,Kansas City Chiefs,RB,100.0%,2022-09-22 15:15:49.831286,/nfl/player-stat/receiving-catch-rate
9,1,Zach Pascal,Philadelphia Eagles,WR,100.0%,2022-09-22 15:15:49.831286,/nfl/player-stat/receiving-catch-rate
10,1,Chris Godwin,Tampa Bay Buccaneers,WR,100.0%,2022-09-22 15:15:49.831286,/nfl/player-stat/receiving-catch-rate
11,1,Keenan Allen,Los Angeles Chargers,WR,100.0%,2022-09-22 15:15:49.831286,/nfl/player-stat/receiving-catch-rate
12,1,Olamide Zaccheaus,Atlanta Falcons,WR,100.0%,2022-09-22 15:15:49.831286,/nfl/player-stat/receiving-catch-rate
13,1,Miles Sanders,Philadelphia Eagles,RB,100.0%,2022-09-22 15:15:49.831286,/nfl/player-stat/receiving-catch-rate
14,1,Mike Gesicki,Miami Dolphins,TE,100.0%,2022-09-22 15:15:49.831286,/nfl/player-stat/receiving-catch-rate
15,1,Jeff Wilson Jr.,San Francisco 49ers,RB,100.0%,2022-09-22 15:15:49.831286,/nfl/player-stat/receiving-catch-rate
16,1,J.D. McKissic,Washington Commanders,RB,100.0%,2022-09-22 15:15:49.831286,/nfl/player-stat/receiving-catch-rate
17,1,Raheem Mostert,Miami Dolphins,RB,100.0%,2022-09-22 15:15:49.831286,/nfl/player-stat/receiving-catch-rate
18,1,O.J. Howard,Houston Texans,TE,100.0%,2022-09-22 15:15:49.831286,/nfl/player-stat/receiving-catch-rate
19,20,Austin Ekeler,Los Angeles Chargers,RB,92.9%,2022-09-22 15:15:49.831286,/nfl/player-stat/receiving-catch-rate
20,21,Evan Engram,Jacksonville Jaguars,TE,91.7%,2022-09-22 15:15:49.831286,/nfl/player-stat/receiving-catch-rate
21,22,Nyheim Hines,Indianapolis Colts,RB,90.9%,2022-09-22 15:15:49.831286,/nfl/player-stat/receiving-catch-rate
22,23,Russell Gage,Tampa Bay Buccaneers,WR,87.5%,2022-09-22 15:15:49.831286,/nfl/player-stat/receiving-catch-rate
23,23,Najee Harris,Pittsburgh Steelers,RB,87.5%,2022-09-22 15:15:49.831286,/nfl/player-stat/receiving-catch-rate
24,25,Stefon Diggs,Buffalo Bills,WR,87.0%,2022-09-22 15:15:49.831286,/nfl/player-stat/receiving-catch-rate
25,26,Michael Carter,New York Jets,RB,85.7%,2022-09-22 15:15:49.831286,/nfl/player-stat/receiving-catch-rate
26,26,Sammy Watkins,Green Bay Packers,WR,85.7%,2022-09-22 15:15:49.831286,/nfl/player-stat/receiving-catch-rate
27,26,DeAndre Carter,Los Angeles Chargers,WR,85.7%,2022-09-22 15:15:49.831286,/nfl/player-stat/receiving-catch-rate
28,26,Zack Moss,Buffalo Bills,RB,85.7%,2022-09-22 15:15:49.831286,/nfl/player-stat/receiving-catch-rate
29,30,DK Metcalf,Seattle Seahawks,WR,84.6%,2022-09-22 15:15:49.831286,/nfl/player-stat/receiving-catch-rate
30,30,Greg Dortch,Arizona Cardinals,WR,84.6%,2022-09-22 15:15:49.831286,/nfl/player-stat/receiving-catch-rate
31,32,KhaDarel Hodge,Atlanta Falcons,WR,83.3%,2022-09-22 15:15:49.831286,/nfl/player-stat/receiving-catch-rate
32,32,Johnny Mundt,Minnesota Vikings,TE,83.3%,2022-09-22 15:15:49.831286,/nfl/player-stat/receiving-catch-rate
33,32,K.J. Osborn,Minnesota Vikings,WR,83.3%,2022-09-22 15:15:49.831286,/nfl/player-stat/receiving-catch-rate
34,32,Braxton Berrios,New York Jets,WR,83.3%,2022-09-22 15:15:49.831286,/nfl/player-stat/receiving-catch-rate
35,32,Richie James,New York Giants,WR,83.3%,2022-09-22 15:15:49.831286,/nfl/player-stat/receiving-catch-rate
