,Rank,Player,Team,Pos,Value,asof,url
0,1,Rashod Bateman,Baltimore Ravens,WR,75,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
1,1,Robbie Anderson,Carolina Panthers,WR,75,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
2,3,Jerry Jeudy,Denver Broncos,WR,67,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
3,4,Corey Davis,New York Jets,WR,66,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
4,5,Sterling Shepard,New York Giants,WR,65,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
5,6,Justin Jefferson,Minnesota Vikings,WR,64,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
6,7,Tyreek Hill,Miami Dolphins,WR,60,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
7,8,Jaylen Waddle,Miami Dolphins,WR,59,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
8,9,Sammy Watkins,Green Bay Packers,WR,55,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
9,10,A.J. Brown,Philadelphia Eagles,WR,54,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
10,11,Stefon Diggs,Buffalo Bills,WR,53,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
11,11,Quez Watkins,Philadelphia Eagles,WR,53,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
12,13,Dante Pettis,Chicago Bears,WR,51,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
13,13,Chris Olave,New Orleans Saints,WR,51,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
14,15,Ian Thomas,Carolina Panthers,TE,50,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
15,16,Amon-Ra St. Brown,Detroit Lions,WR,49,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
16,16,Christian Kirk,Jacksonville Jaguars,WR,49,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
17,16,Terry McLaurin,Washington Commanders,WR,49,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
18,19,Julio Jones,Tampa Bay Buccaneers,WR,48,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
19,20,Gabe Davis,Buffalo Bills,WR,47,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
20,21,Tony Pollard,Dallas Cowboys,RB,46,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
21,22,Jauan Jennings,San Francisco 49ers,WR,44,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
22,22,Nelson Agholor,New England Patriots,WR,44,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
23,24,Brandin Cooks,Houston Texans,WR,42,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
24,24,Keenan Allen,Los Angeles Chargers,WR,42,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
25,26,Davante Adams,Las Vegas Raiders,WR,41,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
26,26,Mike Evans,Tampa Bay Buccaneers,WR,41,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
27,26,Kendrick Bourne,New England Patriots,WR,41,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
28,26,Justin Watson,Kansas City Chiefs,WR,41,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
29,30,Jahan Dotson,Washington Commanders,WR,40,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
30,30,Jarvis Landry,New Orleans Saints,WR,40,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
31,32,Mike Williams,Los Angeles Chargers,WR,39,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
32,32,Ashton Dulin,Indianapolis Colts,WR,39,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
33,32,Jake Kumerow,Buffalo Bills,WR,39,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
34,32,KhaDarel Hodge,Atlanta Falcons,WR,39,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
35,36,Ross Dwelley,San Francisco 49ers,TE,38,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
36,36,Will Dissly,Seattle Seahawks,TE,38,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
37,38,Travis Kelce,Kansas City Chiefs,TE,35,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
38,38,DeAndre Carter,Los Angeles Chargers,WR,35,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
39,38,Courtland Sutton,Denver Broncos,WR,35,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
40,41,Isaiah Likely,Baltimore Ravens,TE,34,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
41,42,Zach Gentry,Pittsburgh Steelers,TE,32,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
42,43,Pat Freiermuth,Pittsburgh Steelers,TE,31,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
43,43,Darren Waller,Las Vegas Raiders,TE,31,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
44,43,Drake London,Atlanta Falcons,WR,31,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
45,43,Brandon Aiyuk,San Francisco 49ers,WR,31,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
46,43,Garrett Wilson,New York Jets,WR,31,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
47,43,Dontrell Hilliard,Tennessee Titans,RB,31,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
48,49,Mecole Hardman,Kansas City Chiefs,WR,30,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
49,49,Equanimeous St. Brown,Chicago Bears,WR,30,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
50,49,Skyy Moore,Kansas City Chiefs,WR,30,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
51,49,Harrison Bryant,Cleveland Browns,TE,30,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
52,53,DJ Moore,Carolina Panthers,WR,29,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
53,53,Greg Dortch,Arizona Cardinals,WR,29,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
54,53,Allen Robinson II,Los Angeles Rams,WR,29,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
55,53,Nico Collins,Houston Texans,WR,29,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
56,57,Josh Reynolds,Detroit Lions,WR,28,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
57,57,Isaiah McKenzie,Buffalo Bills,WR,28,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
58,57,Michael Pittman Jr.,Indianapolis Colts,WR,28,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
59,57,Noah Brown,Dallas Cowboys,WR,28,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
60,57,Breshad Perriman,Tampa Bay Buccaneers,WR,28,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
61,57,Cooper Kupp,Los Angeles Rams,WR,28,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
62,63,Jakobi Meyers,New England Patriots,WR,27,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
63,63,Tyler Lockett,Seattle Seahawks,WR,27,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
64,63,Andrew Beck,Denver Broncos,FB,27,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
65,63,Dallas Goedert,Philadelphia Eagles,TE,27,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
66,63,Treylon Burks,Tennessee Titans,WR,27,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
67,63,Curtis Samuel,Washington Commanders,WR,27,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
68,63,Logan Thomas,Washington Commanders,TE,27,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
69,70,Marquise Brown,Arizona Cardinals,WR,26,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
70,70,Gerald Everett,Los Angeles Chargers,TE,26,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
71,70,Juwan Johnson,New Orleans Saints,TE,26,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
72,70,Devin Duvernay,Baltimore Ravens,WR,26,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
73,70,Antonio Gibson,Washington Commanders,RB,26,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
74,75,Diontae Johnson,Pittsburgh Steelers,WR,25,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
75,75,Christian Watson,Green Bay Packers,WR,25,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
76,75,Colby Parkinson,Seattle Seahawks,TE,25,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
77,75,Mark Andrews,Baltimore Ravens,TE,25,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
78,75,Clyde Edwards-Helaire,Kansas City Chiefs,RB,25,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
79,75,Brock Wright,Detroit Lions,TE,25,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
80,75,D'Andre Swift,Detroit Lions,RB,25,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
81,82,Kareem Hunt,Cleveland Browns,RB,24,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
82,82,Chris Godwin,Tampa Bay Buccaneers,WR,24,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
83,82,CeeDee Lamb,Dallas Cowboys,WR,24,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
84,82,Elijah Moore,New York Jets,WR,24,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
85,82,Ja'Marr Chase,Cincinnati Bengals,WR,24,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
86,82,David Sills V,New York Giants,WR,24,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
87,88,Armani Rogers,Washington Commanders,TE,23,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
88,88,Romeo Doubs,Green Bay Packers,WR,23,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
89,88,Mike Strachan,Indianapolis Colts,WR,23,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
90,88,Travis Etienne Jr.,Jacksonville Jaguars,RB,23,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
91,88,Scotty Miller,Tampa Bay Buccaneers,WR,23,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
92,88,Ameer Abdullah,Las Vegas Raiders,RB,23,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
93,88,George Pickens,Pittsburgh Steelers,WR,23,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
94,88,Robert Tonyan,Green Bay Packers,TE,23,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
95,88,Mack Hollins,Las Vegas Raiders,WR,23,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
96,97,Cody Hollister,Tennessee Titans,WR,22,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
97,97,Olamide Zaccheaus,Atlanta Falcons,WR,22,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
98,97,Eric Saubert,Denver Broncos,TE,22,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
99,97,Eno Benjamin,Arizona Cardinals,RB,22,2022-09-22 15:15:46.883283,/nfl/player-stat/receiving-longest-yards
