,Rank,Player,Team,Pos,Value,asof,url
0,1,Justin Jefferson,Minnesota Vikings,WR,135,2023-02-09 11:52:31.608585,/nfl/player-stat/receiving-receptions
1,2,Travis Kelce,Kansas City Chiefs,TE,131,2023-02-09 11:52:31.608585,/nfl/player-stat/receiving-receptions
2,3,Tyreek Hill,Miami Dolphins,WR,126,2023-02-09 11:52:31.608585,/nfl/player-stat/receiving-receptions
3,4,CeeDee Lamb,Dallas Cowboys,WR,121,2023-02-09 11:52:31.608585,/nfl/player-stat/receiving-receptions
4,5,Stefon Diggs,Buffalo Bills,WR,119,2023-02-09 11:52:31.608585,/nfl/player-stat/receiving-receptions
5,6,Chris Godwin,Tampa Bay Buccaneers,WR,114,2023-02-09 11:52:31.608585,/nfl/player-stat/receiving-receptions
6,7,Austin Ekeler,Los Angeles Chargers,RB,109,2023-02-09 11:52:31.608585,/nfl/player-stat/receiving-receptions
7,8,Ja'Marr Chase,Cincinnati Bengals,WR,107,2023-02-09 11:52:31.608585,/nfl/player-stat/receiving-receptions
8,9,Amon-Ra St. Brown,Detroit Lions,WR,106,2023-02-09 11:52:31.608585,/nfl/player-stat/receiving-receptions
9,10,DeVonta Smith,Philadelphia Eagles,WR,103,2023-02-09 11:52:31.608585,/nfl/player-stat/receiving-receptions
10,11,Davante Adams,Las Vegas Raiders,WR,100,2023-02-09 11:52:31.608585,/nfl/player-stat/receiving-receptions
11,11,DK Metcalf,Seattle Seahawks,WR,100,2023-02-09 11:52:31.608585,/nfl/player-stat/receiving-receptions
12,13,Christian Kirk,Jacksonville Jaguars,WR,99,2023-02-09 11:52:31.608585,/nfl/player-stat/receiving-receptions
13,13,Michael Pittman Jr.,Indianapolis Colts,WR,99,2023-02-09 11:52:31.608585,/nfl/player-stat/receiving-receptions
14,15,Christian McCaffrey,San Francisco 49ers,RB,97,2023-02-09 11:52:31.608585,/nfl/player-stat/receiving-receptions
