,Rank,Player,Team,Pos,Value,asof,url
0,1,Davante Adams,Las Vegas Raiders,WR,142,2022-12-15 02:33:17.999712,/nfl/player-stat/receiving-targeted
1,1,Justin Jefferson,Minnesota Vikings,WR,142,2022-12-15 02:33:17.999712,/nfl/player-stat/receiving-targeted
2,3,Tyreek Hill,Miami Dolphins,WR,139,2022-12-15 02:33:17.999712,/nfl/player-stat/receiving-targeted
3,4,Stefon Diggs,Buffalo Bills,WR,133,2022-12-15 02:33:17.999712,/nfl/player-stat/receiving-targeted
4,5,Travis Kelce,Kansas City Chiefs,TE,117,2022-12-15 02:33:17.999712,/nfl/player-stat/receiving-targeted
5,5,CeeDee Lamb,Dallas Cowboys,WR,117,2022-12-15 02:33:17.999712,/nfl/player-stat/receiving-targeted
6,7,Diontae Johnson,Pittsburgh Steelers,WR,113,2022-12-15 02:33:17.999712,/nfl/player-stat/receiving-targeted
7,8,Austin Ekeler,Los Angeles Chargers,RB,112,2022-12-15 02:33:17.999712,/nfl/player-stat/receiving-targeted
8,9,DK Metcalf,Seattle Seahawks,WR,110,2022-12-15 02:33:17.999712,/nfl/player-stat/receiving-targeted
9,10,Amari Cooper,Cleveland Browns,WR,109,2022-12-15 02:33:17.999712,/nfl/player-stat/receiving-targeted
10,10,Amon-Ra St. Brown,Detroit Lions,WR,109,2022-12-15 02:33:17.999712,/nfl/player-stat/receiving-targeted
11,12,Chris Godwin,Tampa Bay Buccaneers,WR,108,2022-12-15 02:33:17.999712,/nfl/player-stat/receiving-targeted
12,13,Michael Pittman Jr.,Indianapolis Colts,WR,107,2022-12-15 02:33:17.999712,/nfl/player-stat/receiving-targeted
13,14,Christian Kirk,Jacksonville Jaguars,WR,106,2022-12-15 02:33:17.999712,/nfl/player-stat/receiving-targeted
14,15,A.J. Brown,Philadelphia Eagles,WR,102,2022-12-15 02:33:17.999712,/nfl/player-stat/receiving-targeted
15,16,Garrett Wilson,New York Jets,WR,101,2022-12-15 02:33:17.999712,/nfl/player-stat/receiving-targeted
16,17,Tyler Lockett,Seattle Seahawks,WR,99,2022-12-15 02:33:17.999712,/nfl/player-stat/receiving-targeted
17,18,Mike Evans,Tampa Bay Buccaneers,WR,98,2022-12-15 02:33:17.999712,/nfl/player-stat/receiving-targeted
18,18,Terry McLaurin,Washington Commanders,WR,98,2022-12-15 02:33:17.999712,/nfl/player-stat/receiving-targeted
19,18,Cooper Kupp,Los Angeles Rams,WR,98,2022-12-15 02:33:17.999712,/nfl/player-stat/receiving-targeted
20,18,Chris Olave,New Orleans Saints,WR,98,2022-12-15 02:33:17.999712,/nfl/player-stat/receiving-targeted
21,18,Zay Jones,Jacksonville Jaguars,WR,98,2022-12-15 02:33:17.999712,/nfl/player-stat/receiving-targeted
22,23,Ja'Marr Chase,Cincinnati Bengals,WR,97,2022-12-15 02:33:17.999712,/nfl/player-stat/receiving-targeted
23,24,DeVonta Smith,Philadelphia Eagles,WR,95,2022-12-15 02:33:17.999712,/nfl/player-stat/receiving-targeted
24,25,Jaylen Waddle,Miami Dolphins,WR,94,2022-12-15 02:33:17.999712,/nfl/player-stat/receiving-targeted
25,26,Joshua Palmer,Los Angeles Chargers,WR,92,2022-12-15 02:33:17.999712,/nfl/player-stat/receiving-targeted
