,Rank,Player,Team,Pos,Value,asof,url
0,1,Travis Kelce,Kansas City Chiefs,TE,15,2023-02-09 11:52:33.885519,/nfl/player-stat/receiving-touchdowns
1,2,Davante Adams,Las Vegas Raiders,WR,14,2023-02-09 11:52:33.885519,/nfl/player-stat/receiving-touchdowns
2,3,Ja'Marr Chase,Cincinnati Bengals,WR,11,2023-02-09 11:52:33.885519,/nfl/player-stat/receiving-touchdowns
3,3,A.J. Brown,Philadelphia Eagles,WR,11,2023-02-09 11:52:33.885519,/nfl/player-stat/receiving-touchdowns
4,3,George Kittle,San Francisco 49ers,TE,11,2023-02-09 11:52:33.885519,/nfl/player-stat/receiving-touchdowns
5,3,Stefon Diggs,Buffalo Bills,WR,11,2023-02-09 11:52:33.885519,/nfl/player-stat/receiving-touchdowns
6,7,Christian Kirk,Jacksonville Jaguars,WR,10,2023-02-09 11:52:33.885519,/nfl/player-stat/receiving-touchdowns
7,7,CeeDee Lamb,Dallas Cowboys,WR,10,2023-02-09 11:52:33.885519,/nfl/player-stat/receiving-touchdowns
8,9,Jerick McKinnon,Kansas City Chiefs,RB,9,2023-02-09 11:52:33.885519,/nfl/player-stat/receiving-touchdowns
9,9,Tyler Lockett,Seattle Seahawks,WR,9,2023-02-09 11:52:33.885519,/nfl/player-stat/receiving-touchdowns
10,9,Amari Cooper,Cleveland Browns,WR,9,2023-02-09 11:52:33.885519,/nfl/player-stat/receiving-touchdowns
11,12,Jaylen Waddle,Miami Dolphins,WR,8,2023-02-09 11:52:33.885519,/nfl/player-stat/receiving-touchdowns
12,12,Tee Higgins,Cincinnati Bengals,WR,8,2023-02-09 11:52:33.885519,/nfl/player-stat/receiving-touchdowns
13,12,DK Metcalf,Seattle Seahawks,WR,8,2023-02-09 11:52:33.885519,/nfl/player-stat/receiving-touchdowns
14,12,Dalton Schultz,Dallas Cowboys,TE,8,2023-02-09 11:52:33.885519,/nfl/player-stat/receiving-touchdowns
15,12,DeVonta Smith,Philadelphia Eagles,WR,8,2023-02-09 11:52:33.885519,/nfl/player-stat/receiving-touchdowns
16,12,Justin Jefferson,Minnesota Vikings,WR,8,2023-02-09 11:52:33.885519,/nfl/player-stat/receiving-touchdowns
17,12,Brandon Aiyuk,San Francisco 49ers,WR,8,2023-02-09 11:52:33.885519,/nfl/player-stat/receiving-touchdowns
18,12,Gabe Davis,Buffalo Bills,WR,8,2023-02-09 11:52:33.885519,/nfl/player-stat/receiving-touchdowns
19,20,Juwan Johnson,New Orleans Saints,TE,7,2023-02-09 11:52:33.885519,/nfl/player-stat/receiving-touchdowns
20,20,Tyreek Hill,Miami Dolphins,WR,7,2023-02-09 11:52:33.885519,/nfl/player-stat/receiving-touchdowns
21,20,Jahan Dotson,Washington Commanders,WR,7,2023-02-09 11:52:33.885519,/nfl/player-stat/receiving-touchdowns
22,20,Christian Watson,Green Bay Packers,WR,7,2023-02-09 11:52:33.885519,/nfl/player-stat/receiving-touchdowns
23,20,Dawson Knox,Buffalo Bills,TE,7,2023-02-09 11:52:33.885519,/nfl/player-stat/receiving-touchdowns
24,20,DJ Moore,Carolina Panthers,WR,7,2023-02-09 11:52:33.885519,/nfl/player-stat/receiving-touchdowns
25,20,Cole Kmet,Chicago Bears,TE,7,2023-02-09 11:52:33.885519,/nfl/player-stat/receiving-touchdowns
26,27,Jakobi Meyers,New England Patriots,WR,6,2023-02-09 11:52:33.885519,/nfl/player-stat/receiving-touchdowns
27,27,Christian McCaffrey,San Francisco 49ers,RB,6,2023-02-09 11:52:33.885519,/nfl/player-stat/receiving-touchdowns
