,Rank,Player,Team,Pos,Value,asof,url
0,1,Tyreek Hill,Miami Dolphins,WR,1379,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
1,2,Justin Jefferson,Minnesota Vikings,WR,1277,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
2,3,Stefon Diggs,Buffalo Bills,WR,1202,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
3,4,Davante Adams,Las Vegas Raiders,WR,1176,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
4,5,Jaylen Waddle,Miami Dolphins,WR,972,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
5,6,Travis Kelce,Kansas City Chiefs,TE,968,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
6,7,A.J. Brown,Philadelphia Eagles,WR,950,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
7,8,Terry McLaurin,Washington Commanders,WR,945,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
8,9,CeeDee Lamb,Dallas Cowboys,WR,928,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
9,10,Chris Olave,New Orleans Saints,WR,887,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
10,11,Tee Higgins,Cincinnati Bengals,WR,861,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
11,12,Tyler Lockett,Seattle Seahawks,WR,836,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
12,13,Amari Cooper,Cleveland Browns,WR,832,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
13,14,Amon-Ra St. Brown,Detroit Lions,WR,830,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
14,15,Christian Kirk,Jacksonville Jaguars,WR,829,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
15,16,Cooper Kupp,Los Angeles Rams,WR,812,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
16,17,DK Metcalf,Seattle Seahawks,WR,798,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
17,18,Garrett Wilson,New York Jets,WR,790,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
18,19,Mike Evans,Tampa Bay Buccaneers,WR,761,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
19,20,Michael Pittman Jr.,Indianapolis Colts,WR,755,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
20,21,DeVonta Smith,Philadelphia Eagles,WR,711,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
21,22,Ja'Marr Chase,Cincinnati Bengals,WR,702,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
22,23,Brandon Aiyuk,San Francisco 49ers,WR,698,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
23,24,Courtland Sutton,Denver Broncos,WR,688,2022-12-08 02:37:27.453315,/nfl/player-stat/receiving-yards
