,Rank,Player,Team,Pos,Value,asof,url
0,1,D'Onta Foreman,Carolina Panthers,RB,1,2022-11-08 07:23:26.956759,/nfl/player-stat/rushing-2pt-conversions-succeeded
1,1,Patrick Mahomes,Kansas City Chiefs,QB,1,2022-11-08 07:23:26.956759,/nfl/player-stat/rushing-2pt-conversions-succeeded
2,1,Jalen Hurts,Philadelphia Eagles,QB,1,2022-11-08 07:23:26.956759,/nfl/player-stat/rushing-2pt-conversions-succeeded
3,1,Travis Etienne Jr.,Jacksonville Jaguars,RB,1,2022-11-08 07:23:26.956759,/nfl/player-stat/rushing-2pt-conversions-succeeded
4,1,Mark Ingram II,New Orleans Saints,RB,1,2022-11-08 07:23:26.956759,/nfl/player-stat/rushing-2pt-conversions-succeeded
5,1,Phillip Lindsay,Indianapolis Colts,RB,1,2022-11-08 07:23:26.956759,/nfl/player-stat/rushing-2pt-conversions-succeeded
6,1,Jamaal Williams,Detroit Lions,RB,1,2022-11-08 07:23:26.956759,/nfl/player-stat/rushing-2pt-conversions-succeeded
7,1,Kyler Murray,Arizona Cardinals,QB,1,2022-11-08 07:23:26.956759,/nfl/player-stat/rushing-2pt-conversions-succeeded
8,1,Eno Benjamin,Arizona Cardinals,RB,1,2022-11-08 07:23:26.956759,/nfl/player-stat/rushing-2pt-conversions-succeeded
9,1,Nick Chubb,Cleveland Browns,RB,1,2022-11-08 07:23:26.956759,/nfl/player-stat/rushing-2pt-conversions-succeeded
10,1,Jared Goff,Detroit Lions,QB,1,2022-11-08 07:23:26.956759,/nfl/player-stat/rushing-2pt-conversions-succeeded
11,12,Sean Chandler,Carolina Panthers,S,0,2022-11-08 07:23:26.956759,/nfl/player-stat/rushing-2pt-conversions-succeeded
12,12,Xavier Woods,Carolina Panthers,S,0,2022-11-08 07:23:26.956759,/nfl/player-stat/rushing-2pt-conversions-succeeded
13,12,Marcus Cannon,New England Patriots,OL,0,2022-11-08 07:23:26.956759,/nfl/player-stat/rushing-2pt-conversions-succeeded
14,12,Ahkello Witherspoon,Pittsburgh Steelers,CB,0,2022-11-08 07:23:26.956759,/nfl/player-stat/rushing-2pt-conversions-succeeded
15,12,Jaylen Watson,Kansas City Chiefs,CB,0,2022-11-08 07:23:26.956759,/nfl/player-stat/rushing-2pt-conversions-succeeded
16,12,Ifeadi Odenigbo,Indianapolis Colts,DE,0,2022-11-08 07:23:26.956759,/nfl/player-stat/rushing-2pt-conversions-succeeded
17,12,Cor'Dale Flott,New York Giants,DB,0,2022-11-08 07:23:26.956759,/nfl/player-stat/rushing-2pt-conversions-succeeded
18,12,Cedrick Wilson Jr.,Miami Dolphins,WR,0,2022-11-08 07:23:26.956759,/nfl/player-stat/rushing-2pt-conversions-succeeded
19,12,Jake Tonges,Chicago Bears,TE,0,2022-11-08 07:23:26.956759,/nfl/player-stat/rushing-2pt-conversions-succeeded
20,12,Nik Bonitto,Denver Broncos,DE,0,2022-11-08 07:23:26.956759,/nfl/player-stat/rushing-2pt-conversions-succeeded
21,12,Jonathan Bullard,Minnesota Vikings,DL,0,2022-11-08 07:23:26.956759,/nfl/player-stat/rushing-2pt-conversions-succeeded
22,12,Drew Lock,Seattle Seahawks,QB,0,2022-11-08 07:23:26.956759,/nfl/player-stat/rushing-2pt-conversions-succeeded
23,12,Michael Jordan,Carolina Panthers,G,0,2022-11-08 07:23:26.956759,/nfl/player-stat/rushing-2pt-conversions-succeeded
24,12,DeAngelo Malone,Atlanta Falcons,LB,0,2022-11-08 07:23:26.956759,/nfl/player-stat/rushing-2pt-conversions-succeeded
25,12,Kris Boyd,Minnesota Vikings,CB,0,2022-11-08 07:23:26.956759,/nfl/player-stat/rushing-2pt-conversions-succeeded
26,12,Cole Van Lanen,Jacksonville Jaguars,OL,0,2022-11-08 07:23:26.956759,/nfl/player-stat/rushing-2pt-conversions-succeeded
27,12,Thayer Munford Jr.,Las Vegas Raiders,T,0,2022-11-08 07:23:26.956759,/nfl/player-stat/rushing-2pt-conversions-succeeded
28,12,Jaylinn Hawkins,Atlanta Falcons,S,0,2022-11-08 07:23:26.956759,/nfl/player-stat/rushing-2pt-conversions-succeeded
29,12,Quez Watkins,Philadelphia Eagles,WR,0,2022-11-08 07:23:26.956759,/nfl/player-stat/rushing-2pt-conversions-succeeded
30,12,Saahdiq Charles,Washington Commanders,T,0,2022-11-08 07:23:26.956759,/nfl/player-stat/rushing-2pt-conversions-succeeded
31,12,Donovan Smith,Tampa Bay Buccaneers,T,0,2022-11-08 07:23:26.956759,/nfl/player-stat/rushing-2pt-conversions-succeeded
32,12,Justin Watson,Kansas City Chiefs,WR,0,2022-11-08 07:23:26.956759,/nfl/player-stat/rushing-2pt-conversions-succeeded
33,12,Jake Matthews,Atlanta Falcons,T,0,2022-11-08 07:23:26.956759,/nfl/player-stat/rushing-2pt-conversions-succeeded
34,12,Emmanuel Moseley,San Francisco 49ers,CB,0,2022-11-08 07:23:26.956759,/nfl/player-stat/rushing-2pt-conversions-succeeded
35,12,Ogbonnia Okoronkwo,Houston Texans,DL,0,2022-11-08 07:23:26.956759,/nfl/player-stat/rushing-2pt-conversions-succeeded
36,12,Justin Pugh,Arizona Cardinals,OL,0,2022-11-08 07:23:26.956759,/nfl/player-stat/rushing-2pt-conversions-succeeded
37,12,Cullen Gillaspia,Seattle Seahawks,LB,0,2022-11-08 07:23:26.956759,/nfl/player-stat/rushing-2pt-conversions-succeeded
38,12,Rodney Hudson,Arizona Cardinals,OL,0,2022-11-08 07:23:26.956759,/nfl/player-stat/rushing-2pt-conversions-succeeded
39,12,J.C. Jackson,Los Angeles Chargers,CB,0,2022-11-08 07:23:26.956759,/nfl/player-stat/rushing-2pt-conversions-succeeded
40,12,Kion Smith,Miami Dolphins,T,0,2022-11-08 07:23:26.956759,/nfl/player-stat/rushing-2pt-conversions-succeeded
41,12,Charles Cross,Seattle Seahawks,T,0,2022-11-08 07:23:26.956759,/nfl/player-stat/rushing-2pt-conversions-succeeded
42,12,Jonathan Ward,Arizona Cardinals,RB,0,2022-11-08 07:23:26.956759,/nfl/player-stat/rushing-2pt-conversions-succeeded
43,12,Tommy Togiai,Cleveland Browns,DT,0,2022-11-08 07:23:26.956759,/nfl/player-stat/rushing-2pt-conversions-succeeded
44,12,Jamaree Salyer,Los Angeles Chargers,G,0,2022-11-08 07:23:26.956759,/nfl/player-stat/rushing-2pt-conversions-succeeded
