,Rank,Player,Team,Pos,Value,asof,url
0,1,Jamaal Williams,Detroit Lions,RB,12,2022-11-23 18:36:13.655927,/nfl/player-stat/rushing-and-receiving-touchdowns
1,2,Nick Chubb,Cleveland Browns,RB,11,2022-11-23 18:36:13.655927,/nfl/player-stat/rushing-and-receiving-touchdowns
2,2,Travis Kelce,Kansas City Chiefs,TE,11,2022-11-23 18:36:13.655927,/nfl/player-stat/rushing-and-receiving-touchdowns
3,2,Austin Ekeler,Los Angeles Chargers,RB,11,2022-11-23 18:36:13.655927,/nfl/player-stat/rushing-and-receiving-touchdowns
4,5,Derrick Henry,Tennessee Titans,RB,10,2022-11-23 18:36:13.655927,/nfl/player-stat/rushing-and-receiving-touchdowns
5,5,Davante Adams,Las Vegas Raiders,WR,10,2022-11-23 18:36:13.655927,/nfl/player-stat/rushing-and-receiving-touchdowns
6,7,Stefon Diggs,Buffalo Bills,WR,8,2022-11-23 18:36:13.655927,/nfl/player-stat/rushing-and-receiving-touchdowns
7,7,Tony Pollard,Dallas Cowboys,RB,8,2022-11-23 18:36:13.655927,/nfl/player-stat/rushing-and-receiving-touchdowns
8,7,Jalen Hurts,Philadelphia Eagles,QB,8,2022-11-23 18:36:13.655927,/nfl/player-stat/rushing-and-receiving-touchdowns
9,7,Joe Mixon,Cincinnati Bengals,HB,8,2022-11-23 18:36:13.655927,/nfl/player-stat/rushing-and-receiving-touchdowns
10,11,Christian Kirk,Jacksonville Jaguars,WR,7,2022-11-23 18:36:13.655927,/nfl/player-stat/rushing-and-receiving-touchdowns
11,11,Amari Cooper,Cleveland Browns,WR,7,2022-11-23 18:36:13.655927,/nfl/player-stat/rushing-and-receiving-touchdowns
12,11,Kenneth Walker III,Seattle Seahawks,RB,7,2022-11-23 18:36:13.655927,/nfl/player-stat/rushing-and-receiving-touchdowns
13,11,Josh Jacobs,Las Vegas Raiders,RB,7,2022-11-23 18:36:13.655927,/nfl/player-stat/rushing-and-receiving-touchdowns
14,11,Cooper Kupp,Los Angeles Rams,WR,7,2022-11-23 18:36:13.655927,/nfl/player-stat/rushing-and-receiving-touchdowns
15,11,Dalvin Cook,Minnesota Vikings,RB,7,2022-11-23 18:36:13.655927,/nfl/player-stat/rushing-and-receiving-touchdowns
16,11,Justin Fields,Chicago Bears,QB,7,2022-11-23 18:36:13.655927,/nfl/player-stat/rushing-and-receiving-touchdowns
17,18,Brandon Aiyuk,San Francisco 49ers,WR,6,2022-11-23 18:36:13.655927,/nfl/player-stat/rushing-and-receiving-touchdowns
18,18,Mecole Hardman,Kansas City Chiefs,WR,6,2022-11-23 18:36:13.655927,/nfl/player-stat/rushing-and-receiving-touchdowns
19,18,Ezekiel Elliott,Dallas Cowboys,RB,6,2022-11-23 18:36:13.655927,/nfl/player-stat/rushing-and-receiving-touchdowns
20,18,Jaylen Waddle,Miami Dolphins,WR,6,2022-11-23 18:36:13.655927,/nfl/player-stat/rushing-and-receiving-touchdowns
21,18,Christian McCaffrey,San Francisco 49ers,RB,6,2022-11-23 18:36:13.655927,/nfl/player-stat/rushing-and-receiving-touchdowns
22,18,Christian Watson,Green Bay Packers,WR,6,2022-11-23 18:36:13.655927,/nfl/player-stat/rushing-and-receiving-touchdowns
23,18,Saquon Barkley,New York Giants,RB,6,2022-11-23 18:36:13.655927,/nfl/player-stat/rushing-and-receiving-touchdowns
24,18,Clyde Edwards-Helaire,Kansas City Chiefs,RB,6,2022-11-23 18:36:13.655927,/nfl/player-stat/rushing-and-receiving-touchdowns
25,18,A.J. Brown,Philadelphia Eagles,WR,6,2022-11-23 18:36:13.655927,/nfl/player-stat/rushing-and-receiving-touchdowns
26,18,Taysom Hill,New Orleans Saints,TE,6,2022-11-23 18:36:13.655927,/nfl/player-stat/rushing-and-receiving-touchdowns
27,18,Miles Sanders,Philadelphia Eagles,RB,6,2022-11-23 18:36:13.655927,/nfl/player-stat/rushing-and-receiving-touchdowns
28,18,Ja'Marr Chase,Cincinnati Bengals,WR,6,2022-11-23 18:36:13.655927,/nfl/player-stat/rushing-and-receiving-touchdowns
29,18,Leonard Fournette,Tampa Bay Buccaneers,RB,6,2022-11-23 18:36:13.655927,/nfl/player-stat/rushing-and-receiving-touchdowns
30,31,Tyler Lockett,Seattle Seahawks,WR,5,2022-11-23 18:36:13.655927,/nfl/player-stat/rushing-and-receiving-touchdowns
31,31,CeeDee Lamb,Dallas Cowboys,WR,5,2022-11-23 18:36:13.655927,/nfl/player-stat/rushing-and-receiving-touchdowns
32,31,Cole Kmet,Chicago Bears,TE,5,2022-11-23 18:36:13.655927,/nfl/player-stat/rushing-and-receiving-touchdowns
33,31,Gabe Davis,Buffalo Bills,WR,5,2022-11-23 18:36:13.655927,/nfl/player-stat/rushing-and-receiving-touchdowns
34,31,Rhamondre Stevenson,New England Patriots,RB,5,2022-11-23 18:36:13.655927,/nfl/player-stat/rushing-and-receiving-touchdowns
35,31,Antonio Gibson,Washington Commanders,RB,5,2022-11-23 18:36:13.655927,/nfl/player-stat/rushing-and-receiving-touchdowns
36,31,D'Andre Swift,Detroit Lions,RB,5,2022-11-23 18:36:13.655927,/nfl/player-stat/rushing-and-receiving-touchdowns
37,31,Juwan Johnson,New Orleans Saints,TE,5,2022-11-23 18:36:13.655927,/nfl/player-stat/rushing-and-receiving-touchdowns
38,31,Allen Lazard,Green Bay Packers,WR,5,2022-11-23 18:36:13.655927,/nfl/player-stat/rushing-and-receiving-touchdowns
39,31,James Robinson,New York Jets,RB,5,2022-11-23 18:36:13.655927,/nfl/player-stat/rushing-and-receiving-touchdowns
40,31,Breece Hall,New York Jets,RB,5,2022-11-23 18:36:13.655927,/nfl/player-stat/rushing-and-receiving-touchdowns
41,31,Najee Harris,Pittsburgh Steelers,RB,5,2022-11-23 18:36:13.655927,/nfl/player-stat/rushing-and-receiving-touchdowns
42,31,Mark Andrews,Baltimore Ravens,TE,5,2022-11-23 18:36:13.655927,/nfl/player-stat/rushing-and-receiving-touchdowns
43,31,Justin Jefferson,Minnesota Vikings,WR,5,2022-11-23 18:36:13.655927,/nfl/player-stat/rushing-and-receiving-touchdowns
44,31,Khalil Herbert,Chicago Bears,RB,5,2022-11-23 18:36:13.655927,/nfl/player-stat/rushing-and-receiving-touchdowns
45,31,Aaron Jones,Green Bay Packers,RB,5,2022-11-23 18:36:13.655927,/nfl/player-stat/rushing-and-receiving-touchdowns
46,31,Cordarrelle Patterson,Atlanta Falcons,RB,5,2022-11-23 18:36:13.655927,/nfl/player-stat/rushing-and-receiving-touchdowns
