,Rank,Player,Team,Pos,Value,asof,url
0,1,Justin Fields,Chicago Bears,QB,7.1,2023-01-14 19:02:24.305144,/nfl/player-stat/rushing-yards-per-attempt
1,2,Lamar Jackson,Baltimore Ravens,QB,6.8,2023-01-14 19:02:24.305144,/nfl/player-stat/rushing-yards-per-attempt
2,3,Josh Allen,Buffalo Bills,QB,6.1,2023-01-14 19:02:24.305144,/nfl/player-stat/rushing-yards-per-attempt
3,4,Daniel Jones,New York Giants,QB,5.9,2023-01-14 19:02:24.305144,/nfl/player-stat/rushing-yards-per-attempt
4,5,Khalil Herbert,Chicago Bears,RB,5.7,2023-01-14 19:02:24.305144,/nfl/player-stat/rushing-yards-per-attempt
5,6,Aaron Jones,Green Bay Packers,RB,5.3,2023-01-14 19:02:24.305144,/nfl/player-stat/rushing-yards-per-attempt
6,7,Tony Pollard,Dallas Cowboys,RB,5.2,2023-01-14 19:02:24.305144,/nfl/player-stat/rushing-yards-per-attempt
7,8,Travis Etienne Jr.,Jacksonville Jaguars,RB,5.1,2023-01-14 19:02:24.305144,/nfl/player-stat/rushing-yards-per-attempt
8,9,Nick Chubb,Cleveland Browns,RB,5.0,2023-01-14 19:02:24.305144,/nfl/player-stat/rushing-yards-per-attempt
9,10,Rhamondre Stevenson,New England Patriots,RB,5.0,2023-01-14 19:02:24.305144,/nfl/player-stat/rushing-yards-per-attempt
10,11,Tyler Allgeier,Atlanta Falcons,RB,4.9,2023-01-14 19:02:24.305144,/nfl/player-stat/rushing-yards-per-attempt
11,12,Raheem Mostert,Miami Dolphins,RB,4.9,2023-01-14 19:02:24.305144,/nfl/player-stat/rushing-yards-per-attempt
12,13,Miles Sanders,Philadelphia Eagles,RB,4.9,2023-01-14 19:02:24.305144,/nfl/player-stat/rushing-yards-per-attempt
13,14,Jeff Wilson Jr.,Miami Dolphins,RB,4.9,2023-01-14 19:02:24.305144,/nfl/player-stat/rushing-yards-per-attempt
