,Rank,Player,Team,Pos,Value,asof,url
0,1,Ryan Succop,Tampa Bay Buccaneers,K,22,2022-11-08 07:24:32.454781,/nfl/player-stat/scoring-field-goals
1,2,Nick Folk,New England Patriots,K,19,2022-11-08 07:24:32.454781,/nfl/player-stat/scoring-field-goals
2,3,Jason Myers,Seattle Seahawks,K,18,2022-11-08 07:24:32.454781,/nfl/player-stat/scoring-field-goals
3,3,Justin Tucker,Baltimore Ravens,K,18,2022-11-08 07:24:32.454781,/nfl/player-stat/scoring-field-goals
4,3,Daniel Carlson,Las Vegas Raiders,K,18,2022-11-08 07:24:32.454781,/nfl/player-stat/scoring-field-goals
5,6,Graham Gano,New York Giants,K,17,2022-11-08 07:24:32.454781,/nfl/player-stat/scoring-field-goals
6,7,Greg Zuerlein,New York Jets,K,16,2022-11-08 07:24:32.454781,/nfl/player-stat/scoring-field-goals
7,8,Brandon McManus,Denver Broncos,K,15,2022-11-08 07:24:32.454781,/nfl/player-stat/scoring-field-goals
8,8,Brett Maher,Dallas Cowboys,K,15,2022-11-08 07:24:32.454781,/nfl/player-stat/scoring-field-goals
9,8,Younghoe Koo,Atlanta Falcons,K,15,2022-11-08 07:24:32.454781,/nfl/player-stat/scoring-field-goals
10,11,Ka'imi Fairbairn,Houston Texans,K,14,2022-11-08 07:24:32.454781,/nfl/player-stat/scoring-field-goals
11,11,Chase McLaughlin,Indianapolis Colts,K,14,2022-11-08 07:24:32.454781,/nfl/player-stat/scoring-field-goals
12,11,Eddy Pineiro,Carolina Panthers,K,14,2022-11-08 07:24:32.454781,/nfl/player-stat/scoring-field-goals
13,11,Wil Lutz,New Orleans Saints,K,14,2022-11-08 07:24:32.454781,/nfl/player-stat/scoring-field-goals
14,11,Cade York,Cleveland Browns,K,14,2022-11-08 07:24:32.454781,/nfl/player-stat/scoring-field-goals
15,16,Cairo Santos,Chicago Bears,K,13,2022-11-08 07:24:32.454781,/nfl/player-stat/scoring-field-goals
16,16,Riley Patterson,Jacksonville Jaguars,K,13,2022-11-08 07:24:32.454781,/nfl/player-stat/scoring-field-goals
17,18,Chris Boswell,Pittsburgh Steelers,K,12,2022-11-08 07:24:32.454781,/nfl/player-stat/scoring-field-goals
18,18,Tyler Bass,Buffalo Bills,K,12,2022-11-08 07:24:32.454781,/nfl/player-stat/scoring-field-goals
19,20,Greg Joseph,Minnesota Vikings,K,11,2022-11-08 07:24:32.454781,/nfl/player-stat/scoring-field-goals
20,20,Matt Gay,Los Angeles Rams,K,11,2022-11-08 07:24:32.454781,/nfl/player-stat/scoring-field-goals
21,20,Jason Sanders,Miami Dolphins,K,11,2022-11-08 07:24:32.454781,/nfl/player-stat/scoring-field-goals
22,20,Evan McPherson,Cincinnati Bengals,K,11,2022-11-08 07:24:32.454781,/nfl/player-stat/scoring-field-goals
23,24,Randy Bullock,Tennessee Titans,K,10,2022-11-08 07:24:32.454781,/nfl/player-stat/scoring-field-goals
24,24,Robbie Gould,San Francisco 49ers,K,10,2022-11-08 07:24:32.454781,/nfl/player-stat/scoring-field-goals
25,26,Mason Crosby,Green Bay Packers,K,9,2022-11-08 07:24:32.454781,/nfl/player-stat/scoring-field-goals
