,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Baltimore,54.41%,51.52%,44.39%,52.54%,56.27%,55.26%,2023-01-04,/nfl/stat/1st-half-time-of-possession-share-pct
1,2,Washington,53.80%,62.96%,66.22%,51.25%,56.34%,50.43%,2023-01-04,/nfl/stat/1st-half-time-of-possession-share-pct
2,3,Pittsburgh,53.78%,55.13%,55.61%,51.98%,55.19%,48.76%,2023-01-04,/nfl/stat/1st-half-time-of-possession-share-pct
3,4,Las Vegas,53.19%,54.20%,54.06%,53.99%,52.57%,48.20%,2023-01-04,/nfl/stat/1st-half-time-of-possession-share-pct
4,5,Cleveland,52.92%,44.83%,33.78%,52.60%,53.23%,51.67%,2023-01-04,/nfl/stat/1st-half-time-of-possession-share-pct
5,6,Chicago,52.12%,58.17%,47.11%,56.78%,47.47%,51.63%,2023-01-04,/nfl/stat/1st-half-time-of-possession-share-pct
6,7,Cincinnati,52.09%,49.93%,71.44%,55.58%,49.75%,49.07%,2023-01-04,/nfl/stat/1st-half-time-of-possession-share-pct
7,8,LA Rams,51.79%,59.70%,62.61%,51.94%,51.60%,53.10%,2023-01-04,/nfl/stat/1st-half-time-of-possession-share-pct
8,9,Tampa Bay,51.19%,59.19%,51.83%,52.22%,50.16%,49.33%,2023-01-04,/nfl/stat/1st-half-time-of-possession-share-pct
9,10,Green Bay,50.79%,49.52%,51.00%,48.91%,52.25%,55.54%,2023-01-04,/nfl/stat/1st-half-time-of-possession-share-pct
10,11,Minnesota,50.69%,45.80%,49.00%,52.81%,47.97%,48.11%,2023-01-04,/nfl/stat/1st-half-time-of-possession-share-pct
11,12,Detroit,50.69%,50.70%,52.89%,49.94%,51.64%,48.69%,2023-01-04,/nfl/stat/1st-half-time-of-possession-share-pct
12,13,Dallas,50.64%,60.31%,57.94%,49.75%,51.77%,54.60%,2023-01-04,/nfl/stat/1st-half-time-of-possession-share-pct
13,14,Tennessee,50.35%,44.89%,42.06%,48.72%,51.97%,53.98%,2023-01-04,/nfl/stat/1st-half-time-of-possession-share-pct
14,15,LA Chargers,50.30%,46.63%,37.39%,51.81%,48.78%,49.00%,2023-01-04,/nfl/stat/1st-half-time-of-possession-share-pct
15,16,San Francisco,50.14%,43.74%,45.94%,54.20%,46.08%,48.82%,2023-01-04,/nfl/stat/1st-half-time-of-possession-share-pct
16,17,Indianapolis,49.78%,52.35%,45.61%,48.64%,50.67%,51.52%,2023-01-04,/nfl/stat/1st-half-time-of-possession-share-pct
17,18,Carolina,49.45%,49.65%,48.17%,50.72%,47.83%,53.26%,2023-01-04,/nfl/stat/1st-half-time-of-possession-share-pct
18,19,Kansas City,49.24%,49.87%,51.00%,48.47%,50.02%,49.88%,2023-01-04,/nfl/stat/1st-half-time-of-possession-share-pct
19,20,Arizona,48.97%,43.20%,42.89%,47.72%,50.22%,48.57%,2023-01-04,/nfl/stat/1st-half-time-of-possession-share-pct
20,21,Miami,48.83%,57.61%,64.89%,51.71%,46.59%,51.66%,2023-01-04,/nfl/stat/1st-half-time-of-possession-share-pct
21,22,Atlanta,48.72%,48.02%,57.11%,49.80%,47.63%,48.89%,2023-01-04,/nfl/stat/1st-half-time-of-possession-share-pct
22,23,Buffalo,48.71%,44.85%,43.17%,48.83%,48.64%,52.18%,2023-01-04,/nfl/stat/1st-half-time-of-possession-share-pct
23,24,Philadelphia,48.57%,30.98%,23.89%,48.19%,48.96%,48.81%,2023-01-04,/nfl/stat/1st-half-time-of-possession-share-pct
24,25,New Orleans,48.52%,59.43%,76.11%,51.46%,46.24%,51.73%,2023-01-04,/nfl/stat/1st-half-time-of-possession-share-pct
25,26,Jacksonville,48.14%,49.48%,43.78%,46.76%,48.97%,46.06%,2023-01-04,/nfl/stat/1st-half-time-of-possession-share-pct
26,27,Houston,47.97%,55.04%,56.22%,48.08%,47.85%,49.26%,2023-01-04,/nfl/stat/1st-half-time-of-possession-share-pct
27,28,NY Giants,47.58%,49.07%,54.39%,48.46%,46.46%,46.25%,2023-01-04,/nfl/stat/1st-half-time-of-possession-share-pct
28,29,Denver,47.25%,45.65%,49.00%,50.63%,44.62%,50.06%,2023-01-04,/nfl/stat/1st-half-time-of-possession-share-pct
29,30,NY Jets,47.15%,42.30%,52.33%,48.01%,46.28%,45.32%,2023-01-04,/nfl/stat/1st-half-time-of-possession-share-pct
30,31,Seattle,47.03%,48.15%,47.67%,47.78%,46.28%,40.97%,2023-01-04,/nfl/stat/1st-half-time-of-possession-share-pct
31,32,New England,45.26%,34.50%,35.11%,42.67%,47.85%,48.50%,2023-01-04,/nfl/stat/1st-half-time-of-possession-share-pct
