,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Seattle,8.7,10.0,17.0,6.7,10.3,4.8,2022-10-25,/nfl/stat/1st-quarter-points-per-game
1,2,Tennessee,7.5,8.0,3.0,5.7,9.3,3.4,2022-10-25,/nfl/stat/1st-quarter-points-per-game
2,3,Cincinnati,6.9,7.0,14.0,8.0,6.0,4.2,2022-10-25,/nfl/stat/1st-quarter-points-per-game
3,4,Jacksonville,6.0,6.0,8.0,6.0,6.0,2.8,2022-10-25,/nfl/stat/1st-quarter-points-per-game
4,5,Cleveland,5.9,9.0,10.0,7.8,3.3,4.0,2022-10-25,/nfl/stat/1st-quarter-points-per-game
5,5,Kansas City,5.9,2.3,7.0,0.0,10.3,7.2,2022-10-25,/nfl/stat/1st-quarter-points-per-game
6,7,Detroit,5.8,3.0,3.0,8.3,3.3,2.4,2022-10-25,/nfl/stat/1st-quarter-points-per-game
7,8,Buffalo,5.7,4.3,0.0,8.5,4.3,6.5,2022-10-25,/nfl/stat/1st-quarter-points-per-game
8,9,Atlanta,5.3,4.7,0.0,9.0,2.5,3.2,2022-10-25,/nfl/stat/1st-quarter-points-per-game
9,9,San Francisco,5.3,5.7,10.0,7.7,3.5,4.5,2022-10-25,/nfl/stat/1st-quarter-points-per-game
10,9,Baltimore,5.3,2.0,3.0,6.8,3.3,3.0,2022-10-25,/nfl/stat/1st-quarter-points-per-game
11,12,Chicago,5.1,4.3,10.0,3.3,6.5,2.8,2022-10-25,/nfl/stat/1st-quarter-points-per-game
12,13,Dallas,4.6,3.0,0.0,5.0,4.0,7.2,2022-10-25,/nfl/stat/1st-quarter-points-per-game
13,13,Denver,4.6,6.3,6.0,3.0,6.7,3.2,2022-10-25,/nfl/stat/1st-quarter-points-per-game
14,15,Las Vegas,4.3,4.3,3.0,4.3,4.3,3.8,2022-10-25,/nfl/stat/1st-quarter-points-per-game
15,16,New Orleans,3.9,5.7,7.0,4.3,3.5,2.4,2022-10-25,/nfl/stat/1st-quarter-points-per-game
16,16,Green Bay,3.9,5.7,7.0,1.0,6.0,3.2,2022-10-25,/nfl/stat/1st-quarter-points-per-game
17,18,LA Rams,3.8,2.0,0.0,2.5,6.5,4.1,2022-10-25,/nfl/stat/1st-quarter-points-per-game
18,19,Miami,3.7,4.3,13.0,5.8,1.0,5.5,2022-10-25,/nfl/stat/1st-quarter-points-per-game
19,20,Minnesota,3.5,4.7,0.0,4.7,2.3,5.1,2022-10-25,/nfl/stat/1st-quarter-points-per-game
20,21,NY Giants,3.3,3.3,7.0,3.3,3.3,2.1,2022-10-25,/nfl/stat/1st-quarter-points-per-game
21,22,NY Jets,3.0,4.0,7.0,3.7,2.5,3.5,2022-10-25,/nfl/stat/1st-quarter-points-per-game
22,23,Pittsburgh,2.9,3.3,0.0,2.3,3.3,2.1,2022-10-25,/nfl/stat/1st-quarter-points-per-game
23,24,Philadelphia,2.3,2.3,0.0,2.3,2.3,4.9,2022-10-25,/nfl/stat/1st-quarter-points-per-game
24,25,LA Chargers,2.3,1.0,0.0,0.8,4.3,4.8,2022-10-25,/nfl/stat/1st-quarter-points-per-game
25,26,Tampa Bay,2.1,1.0,0.0,2.0,2.3,6.5,2022-10-25,/nfl/stat/1st-quarter-points-per-game
26,27,Washington,1.9,2.0,3.0,3.3,0.0,3.4,2022-10-25,/nfl/stat/1st-quarter-points-per-game
27,28,New England,1.7,2.0,0.0,1.0,2.3,4.3,2022-10-25,/nfl/stat/1st-quarter-points-per-game
28,29,Houston,1.7,0.0,0.0,0.0,2.5,3.5,2022-10-25,/nfl/stat/1st-quarter-points-per-game
29,30,Carolina,1.4,1.0,0.0,1.4,1.5,5.6,2022-10-25,/nfl/stat/1st-quarter-points-per-game
30,30,Indianapolis,1.4,0.0,0.0,2.3,0.8,6.3,2022-10-25,/nfl/stat/1st-quarter-points-per-game
31,32,Arizona,0.9,2.0,3.0,0.8,1.0,5.9,2022-10-25,/nfl/stat/1st-quarter-points-per-game
