,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Cincinnati,57.33%,67.67%,65.00%,64.00%,53.33%,50.30%,2022-11-02,/nfl/stat/1st-quarter-time-of-possession-share-pct
1,1,Baltimore,57.33%,48.93%,41.33%,59.19%,55.47%,54.13%,2022-11-02,/nfl/stat/1st-quarter-time-of-possession-share-pct
2,3,Philadelphia,57.22%,53.85%,38.11%,60.00%,53.52%,47.37%,2022-11-02,/nfl/stat/1st-quarter-time-of-possession-share-pct
3,4,New England,56.47%,56.63%,64.00%,48.30%,61.38%,48.19%,2022-11-02,/nfl/stat/1st-quarter-time-of-possession-share-pct
4,5,Jacksonville,55.74%,54.33%,68.89%,56.44%,55.31%,43.45%,2022-11-02,/nfl/stat/1st-quarter-time-of-possession-share-pct
5,6,Buffalo,55.44%,50.96%,52.44%,54.26%,56.33%,52.54%,2022-11-02,/nfl/stat/1st-quarter-time-of-possession-share-pct
6,7,Atlanta,54.60%,53.15%,61.11%,60.50%,48.69%,50.35%,2022-11-02,/nfl/stat/1st-quarter-time-of-possession-share-pct
7,8,Indianapolis,54.58%,46.26%,55.00%,58.56%,50.61%,47.37%,2022-11-02,/nfl/stat/1st-quarter-time-of-possession-share-pct
8,9,LA Rams,53.52%,57.48%,74.44%,48.69%,65.61%,52.15%,2022-11-02,/nfl/stat/1st-quarter-time-of-possession-share-pct
9,10,Las Vegas,53.43%,51.00%,45.00%,62.63%,46.53%,50.40%,2022-11-02,/nfl/stat/1st-quarter-time-of-possession-share-pct
10,11,Cleveland,52.04%,46.59%,35.00%,49.16%,56.85%,52.30%,2022-11-02,/nfl/stat/1st-quarter-time-of-possession-share-pct
11,12,Tennessee,51.35%,57.81%,48.22%,61.30%,43.89%,54.40%,2022-11-02,/nfl/stat/1st-quarter-time-of-possession-share-pct
12,13,Green Bay,50.79%,55.07%,47.56%,54.00%,48.87%,53.20%,2022-11-02,/nfl/stat/1st-quarter-time-of-possession-share-pct
13,14,New Orleans,50.64%,53.19%,55.00%,53.19%,48.08%,51.01%,2022-11-02,/nfl/stat/1st-quarter-time-of-possession-share-pct
14,15,Tampa Bay,50.32%,59.56%,58.67%,50.64%,50.00%,49.45%,2022-11-02,/nfl/stat/1st-quarter-time-of-possession-share-pct
15,16,San Francisco,49.63%,39.11%,25.56%,54.78%,46.53%,49.83%,2022-11-02,/nfl/stat/1st-quarter-time-of-possession-share-pct
16,17,Detroit,49.38%,44.81%,35.78%,44.00%,56.56%,48.29%,2022-11-02,/nfl/stat/1st-quarter-time-of-possession-share-pct
17,18,Minnesota,49.14%,53.56%,51.44%,57.53%,37.96%,49.75%,2022-11-02,/nfl/stat/1st-quarter-time-of-possession-share-pct
18,19,Dallas,49.01%,45.04%,52.67%,54.53%,39.81%,58.03%,2022-11-02,/nfl/stat/1st-quarter-time-of-possession-share-pct
19,20,Miami,48.14%,70.07%,64.22%,52.86%,43.42%,52.79%,2022-11-02,/nfl/stat/1st-quarter-time-of-possession-share-pct
20,21,Chicago,47.88%,58.04%,47.33%,60.48%,40.31%,51.47%,2022-11-02,/nfl/stat/1st-quarter-time-of-possession-share-pct
21,22,Pittsburgh,47.49%,48.15%,61.89%,49.44%,46.31%,49.07%,2022-11-02,/nfl/stat/1st-quarter-time-of-possession-share-pct
22,23,Seattle,47.47%,49.30%,67.33%,48.47%,46.47%,42.63%,2022-11-02,/nfl/stat/1st-quarter-time-of-possession-share-pct
23,24,Kansas City,46.98%,41.00%,40.11%,42.15%,50.61%,52.38%,2022-11-02,/nfl/stat/1st-quarter-time-of-possession-share-pct
24,25,Houston,45.95%,48.74%,51.78%,44.37%,47.14%,49.86%,2022-11-02,/nfl/stat/1st-quarter-time-of-possession-share-pct
25,26,Carolina,45.60%,46.89%,38.89%,43.49%,49.11%,55.76%,2022-11-02,/nfl/stat/1st-quarter-time-of-possession-share-pct
26,27,Washington,45.08%,37.70%,45.00%,50.39%,39.78%,49.71%,2022-11-02,/nfl/stat/1st-quarter-time-of-possession-share-pct
27,28,NY Jets,44.99%,38.33%,36.00%,46.44%,43.53%,40.52%,2022-11-02,/nfl/stat/1st-quarter-time-of-possession-share-pct
28,29,Denver,44.86%,51.04%,31.11%,46.58%,43.14%,51.76%,2022-11-02,/nfl/stat/1st-quarter-time-of-possession-share-pct
29,30,NY Giants,44.78%,37.37%,32.67%,44.53%,45.03%,49.46%,2022-11-02,/nfl/stat/1st-quarter-time-of-possession-share-pct
30,31,Arizona,41.83%,50.48%,48.56%,34.28%,49.39%,45.02%,2022-11-02,/nfl/stat/1st-quarter-time-of-possession-share-pct
31,32,LA Chargers,41.46%,40.26%,43.78%,40.42%,42.85%,45.53%,2022-11-02,/nfl/stat/1st-quarter-time-of-possession-share-pct
